asset,aliases,company,owner_at_cutoff,partners,modality,construct,target,mechanism,core_adjacent_tier,indication,highest_stage,status,trial_ids,differentiation,biomarker_pd_strategy,dosing_developability,safety_hypothesis,key_unmet_need,critical_risks,preclinical_models,preclinical_results,potential_driver_specificity_0_3,potential_durability_0_3,potential_selectivity_0_3,potential_translatability_0_3,potential_developability_0_3,weighted_potential_0_3,evidence_confidence,evidence_tier,source_ids,last_verified,notes,asset_scope,inventory_depth,registry_trial_count,mapping_confidence,mechanism_provenance,r_and_d_score_scope,pipeline_inclusion,data_cut,schema_version
Batoclimab,IMVT-1401; RVT-1401; HL161; RVT-1401 (Administered via subcutaneous injection); HBM9161 680 mg qw by q2w from week 13; HBM9161 680 mg qw by q2w from week 7; IMVT-1401 (batoclimab) | IMVT-1401; IMVT-1401 (batoclimab),Immunovant,Immunovant,NR (not reported in deep-curation sources),FcRn monoclonal antibody,FcRn monoclonal antibody,FcRn,Broad pathogenic IgG lowering,Adjacent,GD; TED,Phase 2,Completed/earlier program interrupted,NCT03922321; NCT03938545; NCT05907668; NCT05015127; NCT05517421; NCT05517447; NCT05524571,Rapid IgG/TRAb lowering and ATD-sparing hypothesis,"Total IgG, TRAb, thyroid hormones, ATD dose",SC,"Broad IgG lowering, infections, albumin/lipids and injection-site effects; durability uncertain",Disease modification with durable control while preserving normal immunity/thyroid signaling,"Broad IgG lowering, infections, albumin/lipids and injection-site effects; durability uncertain",See cited primary/sponsor evidence,Not pooled; source-specific,1.0,1.0,0.5,2.0,2.0,1.15,Moderate,Registry + primary/sponsor evidence,[683]; NCT05907668; ClinicalTrials.gov; NCT03922321; NCT03938545; NCT05015127; NCT05517421; NCT05517447; NCT05524571,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,7,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: [683]; NCT05907668; ClinicalTrials.gov; NCT03922321; NCT03938545; NCT05015127; NCT05517421; NCT05517447; NCT05524571,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
LASN01,Low-dose LASN01; High-dose LASN01,Laekna,Laekna,NR (not reported in deep-curation sources),Monoclonal antibody,Monoclonal antibody,IL-11R,IL-11R blockade,Adjacent,TED,Phase 2,Completed,NCT05331300; NCT06226545,CAS signal with distinct fibrosis/inflammation rationale,"CAS, proptosis, imaging",300/600 mg randomized cohorts,Tiny randomized sample; PRR null; sponsor-heavy evidence,Disease modification with durable control while preserving normal immunity/thyroid signaling,Tiny randomized sample; PRR null; sponsor-heavy evidence,See cited primary/sponsor evidence,Not pooled; source-specific,0.5,1.0,1.0,1.5,1.5,0.98,Low–moderate,Registry + primary/sponsor evidence,[422]; [521]; ClinicalTrials.gov; NCT05331300; NCT06226545,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,2,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: [422]; [521]; ClinicalTrials.gov; NCT05331300; NCT06226545,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
Kamuvudine-9 (K9),K9; Kamuvudine-9 | K9; Kamuvudine-9,Inflazome/academic,Owner not fully resolved,NR (not reported in deep-curation sources),NRTI-derived small molecule,NRTI-derived small molecule,P2X7/NLRP3 axis,Inflammasome-modulating rationale,Adjacent,TED,Phase 2 terminated,Terminated for low enrollment,NCT06467435,Oral innate-immune pathway approach,CAS/proptosis and inflammatory biomarkers,Trial-defined,No interpretable efficacy; recruitment—not mechanism—drove termination,Disease modification with durable control while preserving normal immunity/thyroid signaling,No interpretable efficacy; recruitment—not mechanism—drove termination,See cited primary/sponsor evidence,Not pooled; source-specific,0.5,1.0,1.0,1.5,2.0,1.03,Low,Registry + primary/sponsor evidence,NCT06467435; PMID 37129905; ClinicalTrials.gov,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,1,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: NCT06467435; PMID 37129905; ClinicalTrials.gov,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
Lu AG22515,NR (no additional alias reported),Lundbeck,Lundbeck,NR (not reported in deep-curation sources),Antibody,Antibody,CD40L,CD40L blockade,Adjacent,TED,Phase 1/2,Clinical development,NCT06557850,Upstream T-cell/B-cell costimulation modulation,"CAS/proptosis, immunophenotyping",Trial-defined,Systemic immune and thrombotic considerations; efficacy unknown,Disease modification with durable control while preserving normal immunity/thyroid signaling,Systemic immune and thrombotic considerations; efficacy unknown,See cited primary/sponsor evidence,Not pooled; source-specific,0.5,1.5,1.0,1.5,1.5,1.1,Low,Registry + primary/sponsor evidence,NCT06557850; ClinicalTrials.gov,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,1,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: NCT06557850; ClinicalTrials.gov,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
AMG 732,NR (no additional alias reported),Amgen,Amgen,NR (not reported in deep-curation sources),Biologic,Biologic,IGF-1R,IGF-1R inhibition,Comparator,TED,Phase 2,Active,NCT06401044; NCT07438405,Next-generation IGF-1R program,PRR/CAS/diplopia,Trial-defined,Class safety and differentiation not yet established,Disease modification with durable control while preserving normal immunity/thyroid signaling,Class safety and differentiation not yet established,See cited primary/sponsor evidence,Not pooled; source-specific,1.0,1.5,1.0,1.5,2.0,1.3,Low,Registry + primary/sponsor evidence,NCT06401044; NCT07438405; ClinicalTrials.gov,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,2,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: NCT06401044; NCT07438405; ClinicalTrials.gov,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
Cizutamig (CND106),CND106; Cizutamig will be dosed according to the protocol.; Cizutamig,UCB,UCB,NR (not reported in deep-curation sources),BCMA×CD3 T-cell engager,BCMA×CD3 bispecific T-cell engager,BCMA×CD3,BCMA-directed plasma-cell/B-lineage depletion through CD3 T-cell engagement,Adjacent,Autoantibody-mediated disease; relevance to GD/TED,Phase 1,Early clinical,NCT07597200,Potentially deep autoantibody-source depletion,"Autoantibodies, plasma-cell/B-cell pharmacology",Trial-defined,CRS/infection and broad humoral depletion; disease-specific proof absent,Disease modification with durable control while preserving normal immunity/thyroid signaling,CRS/infection and broad humoral depletion; disease-specific proof absent,See cited primary/sponsor evidence,Not pooled; source-specific,1.5,2.5,0.5,1.0,1.0,1.43,Low,Registry + primary/sponsor evidence,[564]; [645]; NCT07597200; ClinicalTrials.gov,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,1,high,"Deep-curated primary/sponsor and registry sources identify CND106/cizutamig as a BCMA×CD3 T-cell engager [564, 645].",Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
ZB001,ZB001 for injection,Zenas,Zenas,NR (not reported in deep-curation sources),Biologic,Biologic,IGF-1R,IGF-1R inhibition,Comparator,TED,Phase 1/2,Clinical,NCT05776121,IGF-1R class entrant,Proptosis/CAS/diplopia,Trial-defined,Differentiation and efficacy not established,Disease modification with durable control while preserving normal immunity/thyroid signaling,Differentiation and efficacy not established,See cited primary/sponsor evidence,Not pooled; source-specific,1.0,1.0,1.0,1.5,1.5,1.12,Low,Registry + primary/sponsor evidence,NCT05776121; ClinicalTrials.gov,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,pipeline/approved asset,deep,1,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: NCT05776121; ClinicalTrials.gov,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
KHN939,NR (no additional alias reported),Sponsor per registry,Unresolved,NR (not reported in deep-curation sources),Undisclosed,Undisclosed,Not publicly verified,Unknown—do not infer,Watchlist,TED,Clinical,Registered,NCT07720635; NCT07720648,Undisclosed,Registry endpoints,Registry-defined,Target and modality opacity,Disease modification with durable control while preserving normal immunity/thyroid signaling,Target and modality opacity,See cited primary/sponsor evidence,Not pooled; source-specific,0.0,0.0,0.0,0.5,0.5,0.12,Very low,Registry + primary/sponsor evidence,NCT07720635; NCT07720648; ClinicalTrials.gov,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,unknown-but-retained,deep,2,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: NCT07720635; NCT07720648; ClinicalTrials.gov,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
SCTT11,NR (no additional alias reported),Sponsor per registry,Unresolved,NR (not reported in deep-curation sources),Undisclosed,Undisclosed,Not publicly verified,Unknown—do not infer,Watchlist,TED,Clinical,Registered,NCT06769984,Undisclosed,Registry endpoints,Registry-defined,Target and modality opacity,Disease modification with durable control while preserving normal immunity/thyroid signaling,Target and modality opacity,See cited primary/sponsor evidence,Not pooled; source-specific,0.0,0.0,0.0,0.5,0.5,0.12,Very low,Registry + primary/sponsor evidence,NCT06769984; ClinicalTrials.gov,2026-09-10,R&D potential is hypothesis-weighted and explicitly separate from evidence confidence.,unknown-but-retained,deep,1,high,Deep-curated v1 mechanism and source IDs retained; canonical registry crosswalk added where available: NCT06769984; ClinicalTrials.gov,Scored in the deep v1 priority/comparator/watchlist set; evidence confidence remains separate.,Yes,2026-09-10,2.0.0
Aflibercept,Sub-tenon injection of saline followed by a sub-tenon injection of aflibercept | Group 1; Sub-tenon injection of hyaluronidase (HA) followed by a sub-tenon injection of aflibercept | Group 2; Group 1; Group 2; Sub-tenon injection of saline followed by a sub-tenon injection of aflibercept; Sub-tenon injection of hyaluronidase (HA) followed by a sub-tenon injection of aflibercept,Massachusetts Eye and Ear Infirmary,Massachusetts Eye and Ear Infirmary,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),VEGF-A/PlGF,VEGF pathway inhibition,Completeness,Active TED,Highest registered phase: PHASE2,Registered statuses: COMPLETED,NCT04311606,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT04311606,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Allogeneic CD19/BCMA CAR-T,Allogeneic CAR-T; allogenic anti-CD19/BCMA CAR-T,Shanghai Zhongshan Hospital,Shanghai Zhongshan Hospital,NR (not deeply assessed; completeness row),BIOLOGICAL (registry classification),NR (not deeply assessed; completeness row),CD19/BCMA,CD19/BCMA-directed CAR-T,Completeness,GD / autoimmune hyperthyroidism,Highest registered phase: EARLY_PHASE1,Registered statuses: RECRUITING,NCT07129642; NCT07261345,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT07129642; ClinicalTrials.gov; NCT07261345,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,2,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
BHV-1300,NR (no additional alias reported),Biohaven Therapeutics Ltd.,Biohaven Therapeutics Ltd.,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),IgG/extracellular degradation pathway,IgG-directed extracellular protein degradation,Completeness,GD / autoimmune hyperthyroidism,Highest registered phase: PHASE3,Registered statuses: RECRUITING,NCT06980649; NCT07661056,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT06980649; ClinicalTrials.gov; NCT07661056,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,2,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
Celecoxib,Celebrex,Johns Hopkins University,Johns Hopkins University,NR (not deeply assessed; completeness row),DRUG (registry classification),NR (not deeply assessed; completeness row),COX-2,COX-2 inhibition,Completeness,Active TED,Highest registered phase: PHASE2,Registered statuses: TERMINATED,NCT02845336,NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NR (not deeply assessed; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),NA (not scored; completeness row),Low (registry-level completeness row; not an efficacy judgment),Frozen official registry protocol + curated intervention mapping,ClinicalTrials.gov; NCT02845336,2026-09-10,Completeness row retained in the full inventory; not deeply assessed and not included in R&D potential ranking.,pipeline/approved asset,completeness,1,high,Curated crosswalk target/mechanism mapping linked to frozen registry records; source depth varies by asset.,NA (not scored; completeness row),Yes,2026-09-10,2.0.0
