claim_id,artifact,artifact_location,report_occurrence_count,claim_text,claim_type,population,comparator,endpoint,timepoint,value,unit,source_ids,source_urls,exact_anchors,access_depth,evidence_tier,requires_inline_citation,first_pass_decision,first_pass_rationale,blind_verdict,blind_failure_mode,resolution,final_display_state,canonical_artifact,canonical_row_ids,canonical_artifact_sha256,display_order,data_cut,schema_version,notes
METHOD-009,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=36,1,NOT_YET_RECRUITING status trial은 14개였다.,internal_status_count,168 included trials,NA (no comparator),overall_status count,NA (not timepoint-specific),14,trials,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=NOT_YET_RECRUITING,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,field=overall_status; value=NOT_YET_RECRUITING,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,13,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0008 (BATCH-01): support; same coordinator, stance-hidden, not independent validation."
METHOD-010,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=37,1,TERMINATED status trial은 11개였다.,internal_status_count,168 included trials,NA (no comparator),overall_status count,NA (not timepoint-specific),11,trials,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=TERMINATED,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,field=overall_status; value=TERMINATED,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,14,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0092 (BATCH-04): support; same coordinator, stance-hidden, not independent validation."
METHOD-011,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=38,1,ACTIVE_NOT_RECRUITING status trial은 8개였다.,internal_status_count,168 included trials,NA (no comparator),overall_status count,NA (not timepoint-specific),8,trials,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=ACTIVE_NOT_RECRUITING,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,field=overall_status; value=ACTIVE_NOT_RECRUITING,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,15,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0049 (BATCH-02): support; same coordinator, stance-hidden, not independent validation."
METHOD-012,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=39,1,WITHDRAWN status trial은 5개였다.,internal_status_count,168 included trials,NA (no comparator),overall_status count,NA (not timepoint-specific),5,trials,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=WITHDRAWN,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,field=overall_status; value=WITHDRAWN,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,16,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0155 (BATCH-07): support; same coordinator, stance-hidden, not independent validation."
METHOD-013,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=40,1,ENROLLING_BY_INVITATION status trial은 2개였다.,internal_status_count,168 included trials,NA (no comparator),overall_status count,NA (not timepoint-specific),2,trials,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=ENROLLING_BY_INVITATION,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,field=overall_status; value=ENROLLING_BY_INVITATION,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,17,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0148 (BATCH-06): support; same coordinator, stance-hidden, not independent validation."
METHOD-014,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=41,1,SUSPENDED status trial은 1개였다.,internal_status_count,168 included trials,NA (no comparator),overall_status count,NA (not timepoint-specific),1,trials,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=SUSPENDED,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,field=overall_status; value=SUSPENDED,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,18,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0124 (BATCH-05): support; same coordinator, stance-hidden, not independent validation."
METHOD-015,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=22,1,Randomized trials with posted participant flow: 17개; n_randomized는 first-period participant-flow STARTED 합계로 정의했다.,randomization_semantics_count,168 included trials,NA (no comparator),randomization reporting category,NA (not timepoint-specific),17,trials,NA (internal canonical evidence),NA (no external source URL required),"CANONICAL:clinical_trials_v2.csv::fields=registry_allocation,n_randomized,randomization_basis",Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,"fields=registry_allocation,n_randomized,randomization_basis",2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,19,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0017 (BATCH-01): support; same coordinator, stance-hidden, not independent validation."
METHOD-016,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=23,1,Randomized trials without posted participant flow: 108개; Enrollment를 randomized N으로 대체하지 않고 NR로 유지했다.,randomization_semantics_count,168 included trials,NA (no comparator),randomization reporting category,NA (not timepoint-specific),108,trials,NA (internal canonical evidence),NA (no external source URL required),"CANONICAL:clinical_trials_v2.csv::fields=registry_allocation,n_randomized,randomization_basis",Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,"fields=registry_allocation,n_randomized,randomization_basis",2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,20,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0200 (BATCH-08): support; same coordinator, stance-hidden, not independent validation."
METHOD-017,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=24,1,Nonrandomized or allocation-NA trials: 43개; n_randomized를 NA로 유지했다.,randomization_semantics_count,168 included trials,NA (no comparator),randomization reporting category,NA (not timepoint-specific),43,trials,NA (internal canonical evidence),NA (no external source URL required),"CANONICAL:clinical_trials_v2.csv::fields=registry_allocation,n_randomized,randomization_basis",Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,"Claim is bounded to the cited canonical evidence and does not exceed its population, endpoint, or timepoint.",support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,"fields=registry_allocation,n_randomized,randomization_basis",2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,21,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0101 (BATCH-05): support; same coordinator, stance-hidden, not independent validation."
METHOD-018,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=25,1,25개 result-bearing trial의 n_analyzed는 endpoint-specific이며 enrollment 또는 randomized flow N으로 대체하지 않았다.,internal_methodological_statement,Canonical v2 evidence package,NA (no comparator),result-denominator semantics,2026-09-10 data cut,25개 result-bearing trial의 n_analyzed는 endpoint-specific이며 enrollment 또는 randomized flow N으로 대체하지 않았다.,methodological statement,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv::has_posted_results=Yes | field=n_analyzed,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,The statement is deterministically bounded to the canonical release artifacts or frozen QA contract.,support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv,has_posted_results=Yes; field=n_analyzed,2e913b6ef71fca82c0ccc0e978d8cd481269fd74445dd21906acd521c255cf5b,22,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0050 (BATCH-02): support; same coordinator, stance-hidden, not independent validation."
METHOD-019,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=26,1,"TERMINATED 11개, WITHDRAWN 5개, SUSPENDED 1개 trial과 target-unverified/registry-unspecified asset 4개를 inventory에 유지했다.",internal_methodological_statement,Canonical v2 evidence package,NA (no comparator),retention of non-positive and target-unverified records,2026-09-10 data cut,"TERMINATED 11개, WITHDRAWN 5개, SUSPENDED 1개 trial과 target-unverified/registry-unspecified asset 4개를 inventory에 유지했다.",methodological statement,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:clinical_trials_v2.csv + pipeline_assets_v2.csv::trials: overall_status in TERMINATED/WITHDRAWN/SUSPENDED | assets: target startswith 'Not ',Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,The statement is deterministically bounded to the canonical release artifacts or frozen QA contract.,support,support,NA (no first-pass correction required),final_displayed_blind_support,clinical_trials_v2.csv + pipeline_assets_v2.csv,trials: overall_status in TERMINATED/WITHDRAWN/SUSPENDED; assets: target startswith 'Not ',c5c0373c33a760065d39abfd114ffd03099db7428f2de57a1be8fb3e04d378be,23,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0012 (BATCH-01): support; same coordinator, stance-hidden, not independent validation."
QA-METHOD-001,report_graves_ted_landscape_v2.md,"report_graves_ted_landscape_v2.md::lines=6,27",2,Claim QA는 동일 coordinator의 stance-hidden second pass이며 independent third-party validation이 아니다.,internal_methodological_statement,Canonical v2 evidence package,NA (no comparator),QA independence boundary,2026-09-10 data cut,Claim QA는 동일 coordinator의 stance-hidden second pass이며 independent third-party validation이 아니다.,methodological statement,NA (internal canonical evidence),NA (no external source URL required),CANONICAL:plan2.md::claim-QA contract,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,The statement is deterministically bounded to the canonical release artifacts or frozen QA contract.,support,support,NA (no first-pass correction required),final_displayed_blind_support,plan2.md,claim-QA contract,db3a5bb7757d814309f2d5e736a7cdef1cbc8504b94caa04c4f0d472228d6880,24,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0191 (BATCH-08): support; same coordinator, stance-hidden, not independent validation."
ENDPOINT-001,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=45,1,Biochemical control은 치료 중 FT4/FT3가 정상화된 상태이며 off-treatment remission과 동일하지 않다.,analytical_endpoint_definition,GD/TED endpoint taxonomy,NA (no comparator),biochemical control,NA (not timepoint-specific),NA (not a scalar claim),NA (no unit),NA (internal canonical evidence),NA (no external source URL required),CANONICAL:plan2.md | clinical_trials_v2.csv | soc_outcomes_v2.csv::frozen endpoint-semantics contract | clinical_trials.primary_endpoints | soc_outcomes.endpoint_semantics,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,Analytical boundary is defined by the approved release contract and applied consistently in the canonical SoC and trial tables.,support,support,NA (no first-pass correction required),final_displayed_blind_support,plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv,frozen endpoint-semantics contract; clinical_trials.primary_endpoints; soc_outcomes.endpoint_semantics,e7a98e1ed1684fe56a288c8a1b988366f090890685052ea0e37acdb6327b6ad7,25,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0029 (BATCH-02): support; same coordinator, stance-hidden, not independent validation."
ENDPOINT-002,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=46,1,ATD-sparing response는 ATD 증량 없이 normalization 또는 ATD dose 감소를 뜻하며 durable remission을 자동 의미하지 않는다.,analytical_endpoint_definition,GD/TED endpoint taxonomy,NA (no comparator),ATD-sparing response,NA (not timepoint-specific),NA (not a scalar claim),NA (no unit),NA (internal canonical evidence),NA (no external source URL required),CANONICAL:plan2.md | clinical_trials_v2.csv | soc_outcomes_v2.csv::frozen endpoint-semantics contract | clinical_trials.primary_endpoints | soc_outcomes.endpoint_semantics,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,Analytical boundary is defined by the approved release contract and applied consistently in the canonical SoC and trial tables.,support,support,NA (no first-pass correction required),final_displayed_blind_support,plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv,frozen endpoint-semantics contract; clinical_trials.primary_endpoints; soc_outcomes.endpoint_semantics,e7a98e1ed1684fe56a288c8a1b988366f090890685052ea0e37acdb6327b6ad7,26,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0081 (BATCH-04): support; same coordinator, stance-hidden, not independent validation."
ENDPOINT-003,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=47,1,"Off-ATD normalization은 특정 시점에 ATD 없이 FT3/FT4가 정상인 상태이며, 충분한 추적이 없으면 durable remission으로 부르지 않는다.",analytical_endpoint_definition,GD/TED endpoint taxonomy,NA (no comparator),off-ATD normalization,NA (not timepoint-specific),NA (not a scalar claim),NA (no unit),NA (internal canonical evidence),NA (no external source URL required),CANONICAL:plan2.md | clinical_trials_v2.csv | soc_outcomes_v2.csv::frozen endpoint-semantics contract | clinical_trials.primary_endpoints | soc_outcomes.endpoint_semantics,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,Analytical boundary is defined by the approved release contract and applied consistently in the canonical SoC and trial tables.,support,support,NA (no first-pass correction required),final_displayed_blind_support,plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv,frozen endpoint-semantics contract; clinical_trials.primary_endpoints; soc_outcomes.endpoint_semantics,e7a98e1ed1684fe56a288c8a1b988366f090890685052ea0e37acdb6327b6ad7,27,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0085 (BATCH-04): support; same coordinator, stance-hidden, not independent validation."
ENDPOINT-004,report_graves_ted_landscape_v2.md,report_graves_ted_landscape_v2.md::lines=48,1,Durable off-treatment remission은 사전 정의된 추적 기간 동안 치료 없이 euthyroidism이 지속되고 relapse가 없는 상태다.,analytical_endpoint_definition,GD/TED endpoint taxonomy,NA (no comparator),durable off-treatment remission,NA (not timepoint-specific),NA (not a scalar claim),NA (no unit),NA (internal canonical evidence),NA (no external source URL required),CANONICAL:plan2.md | clinical_trials_v2.csv | soc_outcomes_v2.csv::frozen endpoint-semantics contract | clinical_trials.primary_endpoints | soc_outcomes.endpoint_semantics,Canonical release artifact or analytic definition,Internal deterministic evidence,No,support,Analytical boundary is defined by the approved release contract and applied consistently in the canonical SoC and trial tables.,support,support,NA (no first-pass correction required),final_displayed_blind_support,plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv,frozen endpoint-semantics contract; clinical_trials.primary_endpoints; soc_outcomes.endpoint_semantics,e7a98e1ed1684fe56a288c8a1b988366f090890685052ea0e37acdb6327b6ad7,28,2026-09-10,2.0.0,"Within-agent blind QA pending; not independent validation. | Blind QA BLIND-0060 (BATCH-03): support; same coordinator, stance-hidden, not independent validation."
