retrieval_id,canonical_source_id,canonical_id_status,provisional_tool_indices,jurisdiction,topic,source_tier,authority,source_type,title,url,alternate_urls,query,retrieval_result,http_status,retrieved_at_utc,final_url,publication_or_revision_date,cut_eligibility,locator,content_type,local_cache_file,bytes,sha256,page_count,notes,uncertainty_semantics,data_cut,schema_version
SOCSRC-011,727,preserved_v1_manual,172,United States,Lumvoa authorization,A1 regulator,U.S. Food and Drug Administration,approval_list,Novel Drug Approvals for 2026,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://web.archive.org/web/20260904205236id_/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,site:fda.gov Lumvoa veligrotug approval June 26 2026 thyroid eye disease,acquired,200,2026-09-11T05:22:51+00:00,https://web.archive.org/web/20260904205236id_/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,2026-06-26,eligible,Lumvoa row (approval date 6/26/2026),text/html; charset=UTF-8,sources/regional_soc/S727_Novel_Drug_Approvals_for_2026.html,40829,d0f07740526cbe6be024f4e254d9927db9567f2d52d5df01f782487e770e4975,NA (HTML/XML source),"Corroborates approval date; label controls indication and dosing. Acquisition route: 2026-09-04 Internet Archive snapshot of the FDA page, before the frozen cut; origin URL retained in url field.",Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-012,728,new_v2_collision_safe,178;179,United States,Tepezza current label,A1 regulator/NLM label repository,U.S. National Library of Medicine DailyMed,current_spl,TEPEZZA (teprotumumab-trbw) current prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3e6c54a1-cefd-4a5b-a855-ab9f268b6cce,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=3e6c54a1-cefd-4a5b-a855-ab9f268b6cce,site:dailymed.nlm.nih.gov TEPEZZA teprotumumab prescribing information updated 2026 label,acquired,200,2026-09-11T05:22:51+00:00,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3e6c54a1-cefd-4a5b-a855-ab9f268b6cce,2025-11-01,eligible,"sections 1, 2.1, 5.1-5.4, 6.1, 8.1-8.5; Revised 11/2025",text/html; charset=utf-8,sources/regional_soc/S728_TEPEZZA_teprotumumab-trbw_current_prescribing_information.html,166043,9e230795487db17fe59cc1f577080c57456e891fd9dbeacef7c19e4bae7712bb,NA (HTML/XML source),Supersedes historical 2020 FDA labeling for current-label claims.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-013,729,new_v2_collision_safe,31,EU/EEA,Tepezza authorization,A1 regulator,European Medicines Agency,EPAR,Tepezza EPAR,https://www.ema.europa.eu/en/medicines/human/EPAR/tepezza,NA (none required),site:ema.europa.eu teprotumumab Tepezza thyroid eye disease European Commission authorization 2025 2026,acquired,200,2026-09-11T05:22:52+00:00,https://www.ema.europa.eu/en/medicines/human/EPAR/tepezza,2025-06-19,eligible,overview; authorisation details; product-information links,text/html; charset=UTF-8,sources/regional_soc/S729_Tepezza_EPAR.html,178460,b39b1afeb2b54fb47f0507379a2bebd113f2e82d69d4264d7af194cb045203c0,NA (HTML/XML source),EU-wide marketing authorization does not establish Member State reimbursement.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-014,730,new_v2_collision_safe,32,EU/EEA,Tepezza product information,A1 regulator,European Medicines Agency,product_information,TEPEZZA EU product information,https://www.ema.europa.eu/en/documents/product-information/tepezza-epar-product-information_en.pdf,https://www.ema.europa.eu/en/medicines/human/EPAR/tepezza,site:ema.europa.eu teprotumumab Tepezza product information,acquired,200,2026-09-11T05:22:52+00:00,https://www.ema.europa.eu/en/documents/product-information/tepezza-epar-product-information_en.pdf,2025-06-19,eligible,"SmPC sections 4.1-4.8, 5.3, 9",application/pdf,sources/regional_soc/S730_TEPEZZA_EU_product_information.pdf,432336,6f85426dffbbf87b15db1785834dbe719313997a7407865602fa98f6ed7348e2,36,Current EU label at the data cut.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-015,731,new_v2_collision_safe,46,United Kingdom,Tepezza authorization,A1 regulator,Medicines and Healthcare products Regulatory Agency,approval_announcement,MHRA approves teprotumumab as the first UK treatment for adults with moderate-to-severe TED,https://www.gov.uk/government/news/mhra-approves-teprotumumab-as-the-first-uk-treatment-for-adults-with-moderate-to-severe-thyroid-eye-disease-ted,NA (none required),site:gov.uk teprotumumab thyroid eye disease MHRA 2025,acquired,200,2026-09-11T05:22:52+00:00,https://www.gov.uk/government/news/mhra-approves-teprotumumab-as-the-first-uk-treatment-for-adults-with-moderate-to-severe-thyroid-eye-disease-ted,2025-05-07,eligible,title and approval statement,text/html; charset=utf-8,sources/regional_soc/S731_MHRA_approves_teprotumumab_as_the_first_UK_treatment_for_adults_with_m.html,74170,1b0c3a5da124de5529d9150649bf3c023455917bb775b174d4a5dd21ea5b9ee1,NA (HTML/XML source),Authorization source; does not establish NHS reimbursement.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-016,732,new_v2_collision_safe,48,United Kingdom (England),Tepezza HTA/access,A1 public HTA body,National Institute for Health and Care Excellence,appraisal_status,Teprotumumab for treating thyroid eye disease (deferred appraisal of D1) [ID6756],https://www.nice.org.uk/guidance/indevelopment/gid-ta11995,NA (none required),site:nice.org.uk teprotumumab thyroid eye disease appraisal 2026 publication October 2026,acquired,200,2026-09-11T05:22:52+00:00,https://www.nice.org.uk/guidance/indevelopment/gid-ta11995,2026-08-11,eligible_snapshot_at_cut,status In progress; expected publication 08 October 2026,text/html; charset=utf-8,sources/regional_soc/S732_Teprotumumab_for_treating_thyroid_eye_disease_deferred_appraisal_of_D1.html,16075,37c9033f28c0ba8226ef8f3c468cbc933090857925b6a6393971a3c897588da0,NA (HTML/XML source),"At the data cut, final NICE guidance was not published.",Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-017,733,new_v2_collision_safe,49;51,United Kingdom (England),Tepezza draft HTA context,A1 public HTA body—draft,National Institute for Health and Care Excellence,draft_consultation,Teprotumumab for treating thyroid eye disease—draft guidance consultation,https://www.nice.org.uk/guidance/gid-ta11531/documents/consultation-document-2,https://www.nice.org.uk/consultations/3001/2,site:nice.org.uk teprotumumab thyroid eye disease appraisal 2026 publication October 2026,acquired,200,2026-09-11T05:22:53+00:00,https://www.nice.org.uk/guidance/gid-ta11531/documents/consultation-document-2,2025-06-01,eligible_context_only,front matter and section 1,application/pdf,sources/regional_soc/S733_Teprotumumab_for_treating_thyroid_eye_disease_draft_guidance_consultat.pdf,280119,5ec29d1f677d5d7e805f98025b4322674a3f0c061e67bdd89daabdaeb3e953e1,29,Draft consultation only; explicitly not final NICE guidance and not proof of final NHS funding status.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-018,734,new_v2_collision_safe,54;311,United Kingdom,Tepezza product information and dosing context,A2 regulator-approved product information,Amgen Ltd via electronic Medicines Compendium,summary_of_product_characteristics,TEPEZZA 500 mg powder for concentrate for solution for infusion—UK SmPC,https://www.medicines.org.uk/emc/product/101201/smpc,https://web.archive.org/web/20260518001604id_/https://www.medicines.org.uk/emc/product/101201/smpc; https://bnf.nice.org.uk/drugs/teprotumumab/,UK Tepezza teprotumumab Summary of Product Characteristics 10 mg/kg 20 mg/kg,acquired,200,2026-09-11T05:22:53+00:00,https://web.archive.org/web/20260518001604id_/https://www.medicines.org.uk/emc/product/101201/smpc,2026-05-18 snapshot (product approved 2025-05-07),eligible_snapshot_at_cut,SmPC sections 4.1-4.8; section 4.2 dosing regimen,text/html; charset=utf-8,sources/regional_soc/S734_TEPEZZA_500_mg_powder_for_concentrate_for_solution_for_infusion_UK_SmP.html,80827,49077d52029ef1d8f91b88ab594da86eca8d4afc66600690d531dc2a6bdb24f0,NA (HTML/XML source),Approved product-information context; MHRA source 731 controls authorization and NICE source 732 controls England HTA status. BNF search result 54 is retained only as provisional discovery provenance. Acquisition route: 2026-05-18 Internet Archive snapshot of the UK regulator-approved SmPC; origin URL retained in url field.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-019,735,new_v2_collision_safe,1;313,Japan,Tepezza authorization and label basis,A1 regulator,Pharmaceuticals and Medical Devices Agency / MHLW,review_report,Tepezza deliberation and review report,https://www.pmda.go.jp/drugs/2024/P20240919001/112292000_30600AMX00249_A100_1.pdf,NA (none required),site:pmda.go.jp Tepezza teprotumumab thyroid eye disease approval Japan 2024,acquired,200,2026-09-11T05:22:53+00:00,https://www.pmda.go.jp/drugs/2024/P20240919001/112292000_30600AMX00249_A100_1.pdf,2024-09-03,eligible,deliberation result; indication and dosage section,application/pdf,sources/regional_soc/S735_Tepezza_deliberation_and_review_report.pdf,3855433,33095b611ecd1d6e679ac5b236ad6b7e87127b8240f947518d29eefbbfd71cf2,56,Supports active-TED indication and 8-infusion adult regimen.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-020,736,new_v2_collision_safe,2;314,Japan,Tepezza authorization,A1 regulator,Pharmaceuticals and Medical Devices Agency,approved_drug_list,List of Approved Drugs (Tepezza row),https://www.pmda.go.jp/files/000281190.pdf,NA (none required),site:pmda.go.jp Tepezza approved drugs list,acquired,200,2026-09-11T05:22:56+00:00,https://www.pmda.go.jp/files/000281190.pdf,2024-09-24,eligible,"row 6-2, 24 September 2024, item 19",application/pdf,sources/regional_soc/S736_List_of_Approved_Drugs_Tepezza_row.pdf,3206009,e1771f98c653699d0e4fc893650f27af047c5a60406013243786c8944c14e272,207,English approved-drug list.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-021,737,new_v2_collision_safe,315,Japan,Tepezza authorization,A1 regulator,Pharmaceuticals and Medical Devices Agency,approved_drug_list,承認品目一覧（新医薬品：2024年4月～2025年3月）,https://www.pmda.go.jp/files/000270227.pdf,NA (none required),site:pmda.go.jp テッペーザ 承認 2024,acquired,200,2026-09-11T05:22:57+00:00,https://www.pmda.go.jp/files/000270227.pdf,2024-09-24,eligible,第6の2; 2024.9.24; item 19,application/pdf,sources/regional_soc/S737_2024_4_2025_3.pdf,316981,8979aad3da9907f425169c2533c8da409b8f1180799ef03f542b696f93743179,7,Japanese approved-item list.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-022,738,new_v2_collision_safe,9;322,Japan,Tepezza safety implementation,A1 regulator,Pharmaceuticals and Medical Devices Agency,safety_information,Pharmaceuticals and Medical Devices Safety Information,https://www.pmda.go.jp/files/000274091.pdf,NA (none required),site:pmda.go.jp Tepezza safety information 2024,acquired,200,2026-09-11T05:22:57+00:00,https://www.pmda.go.jp/files/000274091.pdf,2024-11-20,eligible,Teprotumumab/Tepezza entry,application/pdf,sources/regional_soc/S738_Pharmaceuticals_and_Medical_Devices_Safety_Information.pdf,261660,42ae4072a03367e8d57fdb3bf2e8e50660634e65469940cae1d372f0152fd98a,15,Contextual safety/implementation record; label/review report remains primary.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-023,739,new_v2_collision_safe,119;122;127,United Kingdom,GD guideline,A1 national guideline body,National Institute for Health and Care Excellence,guideline,Thyroid disease: assessment and management—recommendations (NG145),https://www.nice.org.uk/guidance/ng145/chapter/recommendations,https://www.nice.org.uk/guidance/ng145/resources/thyroid-disease-assessment-and-management-pdf-66141781496773,site:nice.org.uk NG145 thyroid disease assessment management Graves antithyroid radioactive iodine surgery pregnancy children 2026,acquired,200,2026-09-11T05:22:57+00:00,https://www.nice.org.uk/guidance/ng145/chapter/recommendations,2023-10-12,eligible,recommendations 1.6.10-1.6.26; monitoring subsections,text/html; charset=utf-8,sources/regional_soc/S739_Thyroid_disease_assessment_and_management_recommendations_NG145.html,109751,bc1bc5800adf81d0be66be8536179cf32725859674a7e214df5e64a1a5e1cfab,NA (HTML/XML source),Scope excludes management of thyroid disease in pregnancy.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-024,740,new_v2_collision_safe,120;283;284,United Kingdom,GD pregnancy and contraception safety context,A1 regulator drug-safety communication,Medicines and Healthcare products Regulatory Agency,drug_safety_update,Carbimazole: increased risk of congenital malformations; strengthened advice on contraception,https://assets.publishing.service.gov.uk/media/5c6a89ca40f0b61a177602fb/DSU-PDF-Feb-2019.pdf,https://www.gov.uk/drug-safety-update/carbimazole-increased-risk-of-congenital-malformations-strengthened-advice-on-contraception; https://cks.nice.org.uk/topics/hyperthyroidism/management/pre-conception-pregnancy-postpartum/,site:gov.uk MHRA carbimazole congenital malformations contraception pregnancy 2019,acquired,200,2026-09-11T05:22:58+00:00,https://assets.publishing.service.gov.uk/media/5c6a89ca40f0b61a177602fb/DSU-PDF-Feb-2019.pdf,2019-02-18,eligible,"Drug Safety Update February 2019, pages 2-3; Advice for healthcare professionals",application/pdf,sources/regional_soc/S740_Carbimazole_increased_risk_of_congenital_malformations_strengthened_ad.pdf,223369,0860104a23ed1646111ccf795fd76e5342966f17dfe86515960b29e16867199c,8,UK regulator safety context only. NG145 excludes pregnancy; broader GD pregnancy management remains anchored to dedicated pregnancy and thyroid-society guidance.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-025,741,new_v2_collision_safe,235,Japan,GD guideline primary CQ statements,A2 national society guideline,Japan Thyroid Association,guideline_cq_compendium,バセドウ病治療ガイドライン2019 CQ一覧,https://www.japanthyroid.jp/doctor/img/basedou_2019cq.pdf,https://web.archive.org/web/20260425155755id_/https://www.japanthyroid.jp/doctor/img/basedou_2019cq.pdf; https://www.japanthyroid.jp/doctor/problem.html,site:japanthyroid.jp バセドウ病治療ガイドライン2019 PDF 日本甲状腺学会,acquired,200,2026-09-11T05:22:58+00:00,https://web.archive.org/web/20260425155755id_/https://www.japanthyroid.jp/doctor/img/basedou_2019cq.pdf,2019-04-01,eligible,CQ list; FCQ1; BCQ1-BCQ39,application/pdf,sources/regional_soc/S741_2019_CQ.pdf,812012,2bc5b4bed979419ede8c60b50fdc17a160b722df9fd5e586288f8ba8b158bfe0,7,Primary society-hosted CQ statements; resolves the earlier reliance on summaries. Acquisition route: 2026-04-25 Internet Archive snapshot of the society-hosted PDF; origin URL retained in url field.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-026,742,new_v2_collision_safe,243,Japan,TED guidance,A2 national society clinical guidance,Japan Thyroid Association and Japan Endocrine Society committee,guidance_third_draft,バセドウ病悪性眼球突出症（甲状腺眼症）の診断基準と治療指針2023（第3次案）,https://www.japanthyroid.jp/doctor/img/basedou03_2023.pdf,https://web.archive.org/web/20240118003140id_/https://www.japanthyroid.jp/doctor/img/basedou03_2023.pdf; https://www.japanthyroid.jp/doctor/problem.html,site:japanthyroid.jp 甲状腺眼症 診断基準 治療指針 2023 第3次案 PDF,acquired,200,2026-09-11T05:22:58+00:00,https://web.archive.org/web/20240118003140id_/https://www.japanthyroid.jp/doctor/img/basedou03_2023.pdf,2023-06,eligible,sections 5-7; management algorithms and treatment guidance,application/pdf,sources/regional_soc/S742_2023_3.pdf,1098622,f236c7327a215833fea3cf39db8bff08ca83591ef9d5499c6a059c0c5f0aae41,26,Society-hosted third draft; incorporates MRI-based activity assessment. Acquisition route: 2024-01-18 Internet Archive snapshot of the society-hosted PDF; origin URL retained in url field.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
SOCSRC-027,743,new_v2_collision_safe,109,Japan,GD pregnancy/lactation explanation,A2 society journal explanation,Japan Thyroid Association,guideline_explanation,妊娠初期における薬物治療は第一選択薬として何が推奨されるか（GD guideline 2019 FCQ1 explanation）,https://www.japanthyroid.jp/doctor/abstract/abstract20.html,https://web.archive.org/web/20250617072906id_/https://www.japanthyroid.jp/doctor/abstract/abstract20.html,Japan Thyroid Association Graves guideline 2019 FCQ1 pregnancy,acquired,200,2026-09-11T05:22:59+00:00,https://web.archive.org/web/20250617072906id_/https://www.japanthyroid.jp/doctor/abstract/abstract20.html,2020-01-01,eligible,FCQ1 abstract and statement,text/html,sources/regional_soc/S743_GD_guideline_2019_FCQ1_explanation.html,46843,095d4b177654a990d44568daefdb908059609acce3f8bcba7a8e085f306270f9,NA (HTML/XML source),Use primary CQ source 741 for final wording; explanation retained for interpretation. Acquisition route: 2025-06-17 Internet Archive snapshot of the society page; origin URL retained in url field.,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0
