resolution_id,artifact,artifact_type,location,raw_citation,source_id,resolution_status,reference_occurrence_count,reference_title,data_cut,schema_version
CIT-FINAL-00038,evidence_claims_v2.csv,CSV,row=39;field=source_ids,769,769,resolved,1,Radioactive Iodide Therapy for Pediatric Graves' Disease,2026-09-10,2.0.0
CIT-FINAL-00039,evidence_claims_v2.csv,CSV,row=40;field=source_ids,780,780,resolved,1,"A Multicenter, Double-Masked, Placebo-Controlled, Efficacy And Safety Study Of RV 001, An Insulin-Like Growth Factor-1 Receptor (IGF-1R) Antagonist Antibody (Fully Human), Administered Every 3 Weeks (q3W) By Intravenous (IV) Infusion In Patients Suffering From Active Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00040,evidence_claims_v2.csv,CSV,row=41;field=source_ids,780,780,resolved,1,"A Multicenter, Double-Masked, Placebo-Controlled, Efficacy And Safety Study Of RV 001, An Insulin-Like Growth Factor-1 Receptor (IGF-1R) Antagonist Antibody (Fully Human), Administered Every 3 Weeks (q3W) By Intravenous (IV) Infusion In Patients Suffering From Active Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00041,evidence_claims_v2.csv,CSV,row=42;field=source_ids,782,782,resolved,1,Prevention of Overt Hypothyroidism Following Radioactive Iodine Therapy for Graves' Disease,2026-09-10,2.0.0
CIT-FINAL-00042,evidence_claims_v2.csv,CSV,row=43;field=source_ids,791,791,resolved,1,Rituximab (RTX) Therapy in Steroid Resistant Patients or Patients Relapsing After Intravenous Steroids With Active TAO,2026-09-10,2.0.0
CIT-FINAL-00043,evidence_claims_v2.csv,CSV,row=44;field=source_ids,796,796,resolved,1,An Open Label Study to Evaluate the Safety and Efficacy of 12 Week Treatment With CFZ533 in Patients With Graves' Disease,2026-09-10,2.0.0
CIT-FINAL-00044,evidence_claims_v2.csv,CSV,row=45;field=source_ids,796,796,resolved,1,An Open Label Study to Evaluate the Safety and Efficacy of 12 Week Treatment With CFZ533 in Patients With Graves' Disease,2026-09-10,2.0.0
CIT-FINAL-00045,evidence_claims_v2.csv,CSV,row=46;field=source_ids,798,798,resolved,1,An Open Label Trial of Celecoxib in the Treatment of Mild Thyroid Eye Disease,2026-09-10,2.0.0
CIT-FINAL-00046,evidence_claims_v2.csv,CSV,row=47;field=source_ids,800,800,resolved,1,"Safety and Proof of Principle Study of ATX-GD-59 in Male and Female Subjects With Graves' Disease Not Currently Treated With Anti-thyroid Therapy: An Open Label Study, With an Upward Titration Over Five Dose Levels Administered by Intradermal Injection",2026-09-10,2.0.0
CIT-FINAL-00047,evidence_claims_v2.csv,CSV,row=48;field=source_ids,800,800,resolved,1,"Safety and Proof of Principle Study of ATX-GD-59 in Male and Female Subjects With Graves' Disease Not Currently Treated With Anti-thyroid Therapy: An Open Label Study, With an Upward Titration Over Five Dose Levels Administered by Intradermal Injection",2026-09-10,2.0.0
CIT-FINAL-00048,evidence_claims_v2.csv,CSV,row=49;field=source_ids,800,800,resolved,1,"Safety and Proof of Principle Study of ATX-GD-59 in Male and Female Subjects With Graves' Disease Not Currently Treated With Anti-thyroid Therapy: An Open Label Study, With an Upward Titration Over Five Dose Levels Administered by Intradermal Injection",2026-09-10,2.0.0
CIT-FINAL-00049,evidence_claims_v2.csv,CSV,row=50;field=source_ids,801,801,resolved,1,Effects Of Oral Alfacalcidol On Maturation Of Dendritic Cells In Graves' Disease Patients,2026-09-10,2.0.0
CIT-FINAL-00050,evidence_claims_v2.csv,CSV,row=51;field=source_ids,807,807,resolved,1,"A Phase 3, Randomized, Double-Masked, Placebo-Controlled, Parallel-Group, Multicenter Study Evaluating Teprotumumab (HZN-001) Treatment in Subjects With Active Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00051,evidence_claims_v2.csv,CSV,row=52;field=source_ids,807,807,resolved,1,"A Phase 3, Randomized, Double-Masked, Placebo-Controlled, Parallel-Group, Multicenter Study Evaluating Teprotumumab (HZN-001) Treatment in Subjects With Active Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00052,evidence_claims_v2.csv,CSV,row=53;field=source_ids,809,809,resolved,1,"Multicenter, Safety and Efficacy, Open-Label Extension Study Evaluating Teprotumumab (HZN-001) Treatment in Subjects With Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00053,evidence_claims_v2.csv,CSV,row=54;field=source_ids,809,809,resolved,1,"Multicenter, Safety and Efficacy, Open-Label Extension Study Evaluating Teprotumumab (HZN-001) Treatment in Subjects With Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00054,evidence_claims_v2.csv,CSV,row=55;field=source_ids,812,812,resolved,1,"A Phase 2a, Multicenter, Open-Label Study of RVT-1401 for the Treatment of Patients With Moderate to Severe Active Graves' Ophthalmopathy",2026-09-10,2.0.0
CIT-FINAL-00055,evidence_claims_v2.csv,CSV,row=56;field=source_ids,813,813,resolved,1,"ASCEND GO-2: A Phase 2b, Multicenter, Randomized, Double-blind, Placebo-controlled Study of RVT-1401 for the Treatment of Patients With Active, Moderate to Severe Graves' Ophthalmopathy",2026-09-10,2.0.0
CIT-FINAL-00056,evidence_claims_v2.csv,CSV,row=57;field=source_ids,813,813,resolved,1,"ASCEND GO-2: A Phase 2b, Multicenter, Randomized, Double-blind, Placebo-controlled Study of RVT-1401 for the Treatment of Patients With Active, Moderate to Severe Graves' Ophthalmopathy",2026-09-10,2.0.0
CIT-FINAL-00057,evidence_claims_v2.csv,CSV,row=58;field=source_ids,817,817,resolved,1,"A Phase 4, Randomized, Double-masked, Placebo-controlled, Multicenter Trial to Evaluate the Efficacy and Safety of TEPEZZA® in Treating Patients With Chronic (Inactive) Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00058,evidence_claims_v2.csv,CSV,row=59;field=source_ids,817,817,resolved,1,"A Phase 4, Randomized, Double-masked, Placebo-controlled, Multicenter Trial to Evaluate the Efficacy and Safety of TEPEZZA® in Treating Patients With Chronic (Inactive) Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00059,evidence_claims_v2.csv,CSV,row=60;field=source_ids,817,817,resolved,1,"A Phase 4, Randomized, Double-masked, Placebo-controlled, Multicenter Trial to Evaluate the Efficacy and Safety of TEPEZZA® in Treating Patients With Chronic (Inactive) Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00060,evidence_claims_v2.csv,CSV,row=61;field=source_ids,819,819,resolved,1,"A Two-year Multi-center Phase 3 Study to Investigate the Efficacy and Safety of Secukinumab in Adult Patients With Active, Moderate to Severe Thyroid Eye Disease (ORBIT), With a Randomized, Parallel-group, Double-blind, Placebo-controlled, 16-week Treatment Period, and a Follow-up/Retreatment Period",2026-09-10,2.0.0
CIT-FINAL-00061,evidence_claims_v2.csv,CSV,row=62;field=source_ids,819,819,resolved,1,"A Two-year Multi-center Phase 3 Study to Investigate the Efficacy and Safety of Secukinumab in Adult Patients With Active, Moderate to Severe Thyroid Eye Disease (ORBIT), With a Randomized, Parallel-group, Double-blind, Placebo-controlled, 16-week Treatment Period, and a Follow-up/Retreatment Period",2026-09-10,2.0.0
CIT-FINAL-00062,evidence_claims_v2.csv,CSV,row=63;field=source_ids,829,829,resolved,1,"A Safety, Tolerability, and Efficacy Study of Veligrotug, a Humanized Monoclonal Antibody Directed Against the IGF-1 Receptor in Subjects With Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00063,evidence_claims_v2.csv,CSV,row=64;field=source_ids,829,829,resolved,1,"A Safety, Tolerability, and Efficacy Study of Veligrotug, a Humanized Monoclonal Antibody Directed Against the IGF-1 Receptor in Subjects With Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00064,evidence_claims_v2.csv,CSV,row=65;field=source_ids,829,829,resolved,1,"A Safety, Tolerability, and Efficacy Study of Veligrotug, a Humanized Monoclonal Antibody Directed Against the IGF-1 Receptor in Subjects With Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00065,evidence_claims_v2.csv,CSV,row=66;field=source_ids,829,829,resolved,1,"A Safety, Tolerability, and Efficacy Study of Veligrotug, a Humanized Monoclonal Antibody Directed Against the IGF-1 Receptor in Subjects With Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00066,evidence_claims_v2.csv,CSV,row=67;field=source_ids,831,831,resolved,1,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00067,evidence_claims_v2.csv,CSV,row=68;field=source_ids,831,831,resolved,1,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00068,evidence_claims_v2.csv,CSV,row=69;field=source_ids,831,831,resolved,1,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00069,evidence_claims_v2.csv,CSV,row=70;field=source_ids,843,843,resolved,1,"IMVT-1401-2501: A Proof-of-Concept, Open-label Study to Assess the Safety and Efficacy of Batoclimab in Participants With Graves' Disease (GD)",2026-09-10,2.0.0
CIT-FINAL-00070,evidence_claims_v2.csv,CSV,row=71;field=source_ids,843,843,resolved,1,"IMVT-1401-2501: A Proof-of-Concept, Open-label Study to Assess the Safety and Efficacy of Batoclimab in Participants With Graves' Disease (GD)",2026-09-10,2.0.0
CIT-FINAL-00071,evidence_claims_v2.csv,CSV,row=72;field=source_ids,843,843,resolved,1,"IMVT-1401-2501: A Proof-of-Concept, Open-label Study to Assess the Safety and Efficacy of Batoclimab in Participants With Graves' Disease (GD)",2026-09-10,2.0.0
CIT-FINAL-00072,evidence_claims_v2.csv,CSV,row=73;field=source_ids,844,844,resolved,1,"A Phase III, Randomized, Double-Masked, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of Satralizumab in Participants With Moderate-to-Severe Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00073,evidence_claims_v2.csv,CSV,row=74;field=source_ids,844,844,resolved,1,"A Phase III, Randomized, Double-Masked, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of Satralizumab in Participants With Moderate-to-Severe Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00074,evidence_claims_v2.csv,CSV,row=75;field=source_ids,845,845,resolved,1,"A Randomized, Double-masked, Placebo-controlled Safety, Tolerability, and Efficacy Study of VRDN-001, a Humanized Monoclonal Antibody Directed Against the IGF-1 Receptor, in Participants With Chronic Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00075,evidence_claims_v2.csv,CSV,row=76;field=source_ids,845,845,resolved,1,"A Randomized, Double-masked, Placebo-controlled Safety, Tolerability, and Efficacy Study of VRDN-001, a Humanized Monoclonal Antibody Directed Against the IGF-1 Receptor, in Participants With Chronic Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00076,evidence_claims_v2.csv,CSV,row=77;field=source_ids,845,845,resolved,1,"A Randomized, Double-masked, Placebo-controlled Safety, Tolerability, and Efficacy Study of VRDN-001, a Humanized Monoclonal Antibody Directed Against the IGF-1 Receptor, in Participants With Chronic Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00077,evidence_claims_v2.csv,CSV,row=78;field=source_ids,845,845,resolved,1,"A Randomized, Double-masked, Placebo-controlled Safety, Tolerability, and Efficacy Study of VRDN-001, a Humanized Monoclonal Antibody Directed Against the IGF-1 Receptor, in Participants With Chronic Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00078,evidence_claims_v2.csv,CSV,row=79;field=source_ids,849,849,resolved,1,"A Phase III, Randomized, Double-Masked, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of Satralizumab in Participants With Moderate-to-Severe Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00079,evidence_claims_v2.csv,CSV,row=80;field=source_ids,849,849,resolved,1,"A Phase III, Randomized, Double-Masked, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of Satralizumab in Participants With Moderate-to-Severe Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00080,evidence_claims_v2.csv,CSV,row=81;field=source_ids,849,849,resolved,1,"A Phase III, Randomized, Double-Masked, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of Satralizumab in Participants With Moderate-to-Severe Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00081,evidence_claims_v2.csv,CSV,row=82;field=source_ids,852,852,resolved,1,An Open-label Study for Participants Who Are Non-responders at the End of Treatment Assessment on the VRDN-001-101 and VRDN-001-301 Pivotal Studies,2026-09-10,2.0.0
CIT-FINAL-00082,evidence_claims_v2.csv,CSV,row=83;field=source_ids,853,853,resolved,1,"A Phase 2, Proof-of-Concept, Randomized, Double-Masked, Placebo-Controlled Study to Determine the Efficacy and Safety of LASN01 in Patients With Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00083,evidence_claims_v2.csv,CSV,row=84;field=source_ids,853,853,resolved,1,"A Phase 2, Proof-of-Concept, Randomized, Double-Masked, Placebo-Controlled Study to Determine the Efficacy and Safety of LASN01 in Patients With Thyroid Eye Disease",2026-09-10,2.0.0
CIT-FINAL-00084,evidence_claims_v2.csv,CSV,row=85;field=source_ids,859,859,resolved,1,"A Randomized, Controlled, Safety and Tolerability Study of VRDN-001, a Humanized Monoclonal Antibody Directed Against the IGF-1 Receptor, in Participants With Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00085,evidence_claims_v2.csv,CSV,row=86;field=source_ids,859,859,resolved,1,"A Randomized, Controlled, Safety and Tolerability Study of VRDN-001, a Humanized Monoclonal Antibody Directed Against the IGF-1 Receptor, in Participants With Thyroid Eye Disease (TED)",2026-09-10,2.0.0
CIT-FINAL-00086,evidence_claims_v2.csv,CSV,row=87;field=source_ids,728,728,resolved,1,TEPEZZA (teprotumumab-trbw) current prescribing information,2026-09-10,2.0.0
CIT-FINAL-00087,evidence_claims_v2.csv,CSV,row=89;field=source_ids,373; 726,373,resolved,1,LUMVOA (veligrotug-vvze) Prescribing Information,2026-09-10,2.0.0
CIT-FINAL-00088,evidence_claims_v2.csv,CSV,row=89;field=source_ids,373; 726,726,resolved,1,BLA 761530 approval letter for LUMVOA,2026-09-10,2.0.0
CIT-FINAL-00089,evidence_claims_v2.csv,CSV,row=91;field=source_ids,729,729,resolved,1,Tepezza EPAR,2026-09-10,2.0.0
CIT-FINAL-00090,evidence_claims_v2.csv,CSV,row=92;field=source_ids,751,751,resolved,1,Official search record: Tepezza reimbursement/access—EU/EEA,2026-09-10,2.0.0
CIT-FINAL-00091,evidence_claims_v2.csv,CSV,row=93;field=source_ids,747,747,resolved,1,Official search record: Lumvoa authorization—EU/EEA,2026-09-10,2.0.0
CIT-FINAL-00092,evidence_claims_v2.csv,CSV,row=95;field=source_ids,731,731,resolved,1,MHRA approves teprotumumab as the first UK treatment for adults with moderate-to-severe TED,2026-09-10,2.0.0
CIT-FINAL-00093,evidence_claims_v2.csv,CSV,row=96;field=source_ids,732; 733,732,resolved,1,Teprotumumab for treating thyroid eye disease (deferred appraisal of D1) [ID6756],2026-09-10,2.0.0
CIT-FINAL-00094,evidence_claims_v2.csv,CSV,row=96;field=source_ids,732; 733,733,resolved,1,Teprotumumab for treating thyroid eye disease—draft guidance consultation,2026-09-10,2.0.0
CIT-FINAL-00095,evidence_claims_v2.csv,CSV,row=97;field=source_ids,749,749,resolved,1,Official search record: Lumvoa authorization/access—United Kingdom,2026-09-10,2.0.0
CIT-FINAL-00096,evidence_claims_v2.csv,CSV,row=98;field=source_ids,749,749,resolved,1,Official search record: Lumvoa authorization/access—United Kingdom,2026-09-10,2.0.0
CIT-FINAL-00097,evidence_claims_v2.csv,CSV,row=99;field=source_ids,745,745,resolved,1,Official search record: Tepezza authorization—South Korea,2026-09-10,2.0.0
CIT-FINAL-00098,evidence_claims_v2.csv,CSV,row=100;field=source_ids,746,746,resolved,1,Official search record: Tepezza reimbursement/access—South Korea,2026-09-10,2.0.0
CIT-FINAL-00099,evidence_claims_v2.csv,CSV,row=101;field=source_ids,750,750,resolved,1,Official search record: Lumvoa authorization/reimbursement—South Korea,2026-09-10,2.0.0
CIT-FINAL-00100,evidence_claims_v2.csv,CSV,row=102;field=source_ids,750,750,resolved,1,Official search record: Lumvoa authorization/reimbursement—South Korea,2026-09-10,2.0.0
CIT-FINAL-00101,evidence_claims_v2.csv,CSV,row=103;field=source_ids,735; 736,735,resolved,1,Tepezza deliberation and review report,2026-09-10,2.0.0
CIT-FINAL-00102,evidence_claims_v2.csv,CSV,row=103;field=source_ids,735; 736,736,resolved,1,List of Approved Drugs (Tepezza row),2026-09-10,2.0.0
CIT-FINAL-00103,evidence_claims_v2.csv,CSV,row=104;field=source_ids,752,752,resolved,1,Official search record: Tepezza reimbursement/access—Japan,2026-09-10,2.0.0
CIT-FINAL-00104,evidence_claims_v2.csv,CSV,row=105;field=source_ids,748,748,resolved,1,Official search record: Lumvoa authorization—Japan,2026-09-10,2.0.0
CIT-FINAL-00105,evidence_claims_v2.csv,CSV,row=111;field=source_ids,28,28,resolved,1,2025 Korean Thyroid Association Management Guidelines for Radioactive Iodine Therapy in Patients with Hyperthyroidism,2026-09-10,2.0.0
CIT-FINAL-00106,evidence_claims_v2.csv,CSV,row=112;field=source_ids,732; 733,732,resolved,1,Teprotumumab for treating thyroid eye disease (deferred appraisal of D1) [ID6756],2026-09-10,2.0.0
CIT-FINAL-00107,evidence_claims_v2.csv,CSV,row=112;field=source_ids,732; 733,733,resolved,1,Teprotumumab for treating thyroid eye disease—draft guidance consultation,2026-09-10,2.0.0
CIT-FINAL-00108,evidence_claims_v2.csv,CSV,row=113;field=source_ids,741; 743,741,resolved,1,バセドウ病治療ガイドライン2019 CQ一覧,2026-09-10,2.0.0
CIT-FINAL-00109,evidence_claims_v2.csv,CSV,row=113;field=source_ids,741; 743,743,resolved,1,妊娠初期における薬物治療は第一選択薬として何が推奨されるか（GD guideline 2019 FCQ1 explanation）,2026-09-10,2.0.0
CIT-FINAL-00110,evidence_claims_v2.csv,CSV,row=114;field=source_ids,741,741,resolved,1,バセドウ病治療ガイドライン2019 CQ一覧,2026-09-10,2.0.0
