trial_id,registry,registry_url,asset,asset_aliases,sponsor,owner_at_cutoff,indication,mechanism_class,phase,overall_status,start_date,primary_completion_date,regions,population,ted_activity_severity,n_enrolled,n_randomized,n_analyzed,design,blinding,arms,dose_route_schedule_duration,background_soc_combination,comparator,primary_endpoints,secondary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,publication_urls,evidence_tier,source_ids,access_depth,last_verified,notes,raw_interventions,registry_allocation,has_posted_results,why_stopped,randomization_basis,analysis_basis,data_cut,schema_version
NCT03922321,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03922321,Batoclimab,RVT-1401,Immunovant Sciences GmbH,Immunovant Sciences GmbH,Active moderate-to-severe TED,FcRn inhibition,PHASE2,COMPLETED,2019-04-22,2020-02-29,Canada,Adults primary,active_moderate_severe,7,NA (not randomized),Endpoint-specific (see result_trial_curation_v2.csv; denominators vary by endpoint),NA SINGLE_GROUP,NONE,"RVT-1401 [EXPERIMENTAL]: Drug: RVT-1401 — RVT-1401 680 milligrams (mg) weekly for two weeks followed by 340 mg weekly for four weeks, administered subcutaneously","RVT-1401 [DRUG]: RVT-1401 is a fully human anti-neonatal Fc receptor (FcRn) monoclonal antibody.; Arm RVT-1401: RVT-1401 680 milligrams (mg) weekly for two weeks followed by 340 mg weekly for four weeks, administered subcutaneously",Registry-defined; verify per protocol,NA (no comparator arm identified),"Number of Participants With Any Treatment-emergent Adverse Event (TEAE), Serious AE (SAE), Treatment-related Adverse Event (AE), and Death During the 6-week Treatment Period; Number of Participants With Clinically Significant Findings Related to Vital Signs; Number of Participants With a Change From Normal Physical Examination Findings at Baseline to Abnormal Physical Examination Findings at the End of the Study; Number of Participants With Clinically Significant Findings Related to Electrocardiograms (ECGs); Percent Change From Baseline in Total Immunoglobulin G (IgG), IgG1, IgG2, IgG3, and IgG4 Levels",Mean Change From Baseline in Proptosis in the Study Eye and Non-study Eye at Week 7; Number of Participants With an Overall Proptosis Response; Area Under the Concentration-time Curve From Time 0 to 168 Hours (AUC0-168h) of RVT-1401; Maximum Concentration (Cmax) of RVT-1401; Serum Concentration at the End of the Dosing Interval (Ctrough) of RVT-1401,Posted result timepoint,n=7; total IgG 약 65% 감소; anti-TSHR −10.59 IU/mL (n=3); proptosis responders 3/7.,7/7 TEAE; 6/7 treatment-related; SAE 0.,없음.,NR (no result-linked publication URL identified at data cut),Registry result + manual curation,ClinicalTrials.gov; NCT03922321,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial; Single arm and very small N.,RVT-1401,NA,Yes,"NA (study not reported as terminated, withdrawn, or suspended)",Registry allocation=NA,Posted results with manually curated endpoint-specific interpretation,2026-09-10,2.0.0
NCT03938545,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03938545,Batoclimab,RVT-1401 (Administered via subcutaneous injection),Immunovant Sciences GmbH,Immunovant Sciences GmbH,Active moderate-to-severe TED,FcRn inhibition,PHASE2,TERMINATED,2019-07-23,2021-02-02,Canada; Germany; Italy; Spain; United States,Adults primary,active_moderate_severe,65,65,Endpoint-specific (see result_trial_curation_v2.csv; denominators vary by endpoint),RANDOMIZED PARALLEL,DOUBLE,Regimen A-RVT-1401 [EXPERIMENTAL]: Drug: RVT-1401 (Administered via subcutaneous injection) — Regimen A= RVT-1401 680 mg weekly for 12 weeks; Regimen B-RVT-1401 [EXPERIMENTAL]: Drug: RVT-1401 (Administered via subcutaneous injection) — Regimen B= RVT-1401 340 mg weekly for 12 weeks; Regimen C-RVT-1401 [EXPERIMENTAL]: Drug: RVT-1401 (Administered via subcutaneous injection) — Regimen C= RVT-1401 255 mg weekly for 12 weeks; Placebo [PLACEBO_COMPARATOR]: Other: Placebo (Administered via subcutaneous injection) — for 12 weeks,RVT-1401 (Administered via subcutaneous injection) [DRUG]: RVT-1401 is a fully human anti-neonatal Fc receptor (FcRn) monoclonal antibody.; Placebo (Administered via subcutaneous injection) [OTHER]: Placebo; Arm Regimen A-RVT-1401: Regimen A= RVT-1401 680 mg weekly for 12 weeks; Arm Regimen B-RVT-1401: Regimen B= RVT-1401 340 mg weekly for 12 weeks; Arm Regimen C-RVT-1401: Regimen C= RVT-1401 255 mg weekly for 12 weeks; Arm Placebo: for 12 weeks,Registry-defined; verify per protocol,Placebo,Percentage of Participants With Proptosis Response at Week 13; Number of Participants With Treatment-emergent Adverse Events (TEAEs) and Treatment-emergent Serious Adverse Events (SAEs),"Least Square Mean Percent Change From Baseline in Binding Anti-thyroid-stimulating Hormone Receptor (TSHR) Antibody Levels to Week 13; Least Square Mean Percent Change From Baseline in Total IgG Levels; Least Square Mean Percent Change From Baseline in IgG Subclasses 1, 2, 3 and 4",Posted result timepoint,"PRR: 680 mg 30.0% (p=0.1993), 340 mg 30.8% (p=0.1016), 255 mg 0% (p=0.2963), placebo 8.3%.",Registry event-level safety 참조.,없음.,NR (no result-linked publication URL identified at data cut),Registry result + manual curation,ClinicalTrials.gov; NCT03938545,official_registry_full_record,2026-09-10,Sponsor decision based on premature unblinding of treatment allocations necessitated by program-wide review; disease-directed drug/biologic/supplement trial; Program review로 premature unblinding; demonstrated mechanistic failure로 단정하지 않음.,RVT-1401 (Administered via subcutaneous injection); Placebo (Administered via subcutaneous injection),RANDOMIZED,Yes,Sponsor decision based on premature unblinding of treatment allocations necessitated by program-wide review,"Posted participant flow, first period STARTED (Overall Study)",Posted results with manually curated endpoint-specific interpretation,2026-09-10,2.0.0
NCT03948191,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03948191,Methylprednisolone; Technetium-99 methylene diphosphonate (99Tc-MDP),NR (no additional alias); 99Tc-MDP(99Technetium-Methylenediphosphonate Injection) | Yunke,Dalian University,Dalian University,Active moderate-to-severe TED,Glucocorticoid immunomodulation; Immunomodulatory rationale; target not publicly verified here,PHASE4,COMPLETED,2017-10-16,2018-12-30,China,Adults primary,active_moderate_severe,50,NR (randomized N not posted; enrollment not substituted),NA (no posted results at data cut),RANDOMIZED PARALLEL,TRIPLE,"Methylprednisolone(ivMP) [ACTIVE_COMPARATOR]: Drug: Methylprednisolone — Methylprednisolone(ivMP) 500mg i.v. infusion once a week for 6 weeks followed by 250mg i.v. once a week for 6 weeks.; 99Tc-MDP [EXPERIMENTAL]: Drug: 99Tc-MDP(99Technetium-Methylenediphosphonate Injection) — 99Tc-MDP 15mg i.v. infusion once a day for 10 days, 20 days apart, received 3 courses of infusions.","Methylprednisolone [DRUG]: 500mg i.v. infusion once a week for 6 weeks followed by 250mg i.v. once a week for 6 weeks.; 99Tc-MDP(99Technetium-Methylenediphosphonate Injection) [DRUG]: 15mg i.v. infusion once a day for 10 days, 20 days apart, received 3 courses of infusions.; Arm Methylprednisolone(ivMP): Methylprednisolone(ivMP) 500mg i.v. infusion once a week for 6 weeks followed by 250mg i.v. once a week for 6 weeks.; Arm 99Tc-MDP: 99Tc-MDP 15mg i.v. infusion once a day for 10 days, 20 days apart, received 3 courses of infusions.",Registry-defined; verify per protocol,Methylprednisolone(ivMP),Responder Status at Week 12,Overall Average Continuous Change in CAS From Baseline to Week 24; Overall Average Continuous Change in Proptosis From Baseline to Week 24; Overall Average Change in Diplopia grading From Baseline to Week 24; Overall Average Change in extra-ocular muscular thickening From Baseline in thickening extra-ocular muscular improvement in Orbital CT to Week 24; Overall Average Change in Graves' Ophthalmopathy Quality of Life (GO-QOL) Scale From baseline to Week 24 follow-up,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT03948191,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial,Methylprednisolone; 99Tc-MDP(99Technetium-Methylenediphosphonate Injection),RANDOMIZED,No,"NA (study not reported as terminated, withdrawn, or suspended)",Protocol identifies randomized allocation; no posted participant flow at data cut,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT04598815,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04598815,Sirolimus (rapamycin),Sirolimus | Rapamycin,University of Pisa,University of Pisa,Active moderate-to-severe TED,mTOR inhibition,PHASE2,UNKNOWN,2023-06-01,2024-05-31,Italy,Adults primary,active_moderate_severe,54,NR (randomized N not posted; enrollment not substituted),NA (no posted results at data cut),RANDOMIZED PARALLEL,QUADRUPLE,Sirolimus [EXPERIMENTAL]: Drug: Sirolimus — Sirolimus for 12 weeks; Methylprendnisolone [EXPERIMENTAL]: Drug: Sirolimus — Methylprednisolone for 12 weeks,"Sirolimus [DRUG]: Group Sirolimus: Patients will receive a first dose of Sirolimus of one 2 mg tablet on the first day, given approximately at 10 am, followed by 0.5 mg tablet per day for 12 weeks.

Group Methylprednisolone: Methylprednisolone pulse therapy will be administered for 12 weeks as follows: 500 mg iv once weekly for 6 weeks, then 250 mg iv once weekly for a further 6 weeks, for a cumulative dose 4.5 g.; Arm Sirolimus: Sirolimus for 12 weeks; Arm Methylprendnisolone: Methylprednisolone for 12 weeks",Registry-defined; verify per protocol,NR (randomized comparator arm not explicitly typed in registry),GO overall response,GO overall response; GO overall response; GO overall response; GO relapse; GO relapse,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT04598815,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial,Sirolimus,RANDOMIZED,No,"NA (study not reported as terminated, withdrawn, or suspended)",Protocol identifies randomized allocation; no posted participant flow at data cut,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT04737330,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04737330,Secukinumab,AIN457,Novartis Pharmaceuticals,Novartis Pharmaceuticals,Active moderate-to-severe TED,IL-17A inhibition,PHASE3,TERMINATED,2021-11-29,2023-05-16,Germany,Adults primary,active_moderate_severe,28,28,Endpoint-specific (see result_trial_curation_v2.csv; denominators vary by endpoint),RANDOMIZED PARALLEL,DOUBLE,"Secukinumab 300 mg [ACTIVE_COMPARATOR]: Drug: Secukinumab — Secukinumab 300 mg subcutaneous (s.c.) injection at Baseline, Week 1, Week 2, Week 3, Week 4, Week 8, Week 12; Placebo [PLACEBO_COMPARATOR]: Drug: Placebo — Placebo subcutaneous (s.c.) injection at Baseline, Week 1, Week 2, Week 3, Week 4, Week 8, Week 12","Secukinumab [DRUG]: Secukinumab 300 mg s.c. at Baseline, Week 1, Week 2, Week 3, Week 4, Week 8, Week 12; Placebo [DRUG]: Placebo s.c. at Baseline, Weeks 1, Week 2, Week 3, Week 4, Week 8, Week 12; Arm Secukinumab 300 mg: Secukinumab 300 mg subcutaneous (s.c.) injection at Baseline, Week 1, Week 2, Week 3, Week 4, Week 8, Week 12; Arm Placebo: Placebo subcutaneous (s.c.) injection at Baseline, Week 1, Week 2, Week 3, Week 4, Week 8, Week 12",Registry-defined; verify per protocol,Secukinumab 300 mg; Placebo,Plan A - Percentage of Participants Achieving Overall Response; Plan B - Percentage of Participants Achieving Response in Reduction of Proptosis,Plan A - Percentage of Participants Achieving Response in Reduction of Clinical Activity Score (CAS); Plan A - Percentage of Participants Achieving Response in Reduction of Proptosis; Plan A - Percentage of Participants Achieving Response in Diplopia; Plan A - Mean Change From Baseline to Week 16 in Clinical Activity Score (CAS) in the Study Eye; Plan A - Mean Change From Baseline to Week 16 in Millimeters (mm) of Proptosis in the Study Eye,Posted result timepoint,Overall response 0/14 vs 0/14; CAS response 0/14 vs 3/14; PRR 0/14 vs 0/14.,Safety concern 없이 futility termination.,없음.,NR (no result-linked publication URL identified at data cut),Registry result + manual curation,ClinicalTrials.gov; NCT04737330,official_registry_full_record,2026-09-10,Analysis of blinded patient data showed a very low probability of the study meeting the primary efficacy endpoints. No safety concerns were identified; disease-directed drug/biologic/supplement trial; Clear negative/futility trial.,Secukinumab; Placebo,RANDOMIZED,Yes,Analysis of blinded patient data showed a very low probability of the study meeting the primary efficacy endpoints. No safety concerns were identified,"Posted participant flow, first period STARTED (Treatment Period (Baseline to Week 16))",Posted results with manually curated endpoint-specific interpretation,2026-09-10,2.0.0
NCT04776993,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04776993,Methimazole / antithyroid drug; Radioiodine; Total thyroidectomy,Methimazole | MMI; Radioiodine or thyroidectomy | Thyroid ablation,University of Pisa,University of Pisa,Active moderate-to-severe TED,Antithyroid drug; Radioiodine ablation; Surgical elimination of thyroid hormone source,PHASE3,UNKNOWN,2023-03-02,2024-09-01,Italy,Adults primary,active_moderate_severe,52,NR (randomized N not posted; enrollment not substituted),NA (no posted results at data cut),RANDOMIZED PARALLEL,NONE,Methimazole [EXPERIMENTAL]: Drug: Methimazole — Antithyroid drugs (at individualized dosage) for 72 weeks and a cumulative dose of 4.5 g of methylprednisolone divided into 12 weekly infusions; Thyroid ablation [ACTIVE_COMPARATOR]: Procedure: Radioiodine or thyroidectomy — Radioiodine therapy or total thyroidectomy (according to ultrasound thyroid volume) and a cumulative dose of 4.5 g of methylprednisolone divided into 12 weekly infusions,Methimazole [DRUG]: Methimazole for 72 weeks; Radioiodine or thyroidectomy [PROCEDURE]: Treatment with radioiodine or with thyroidectomy; Arm Methimazole: Antithyroid drugs (at individualized dosage) for 72 weeks and a cumulative dose of 4.5 g of methylprednisolone divided into 12 weekly infusions; Arm Thyroid ablation: Radioiodine therapy or total thyroidectomy (according to ultrasound thyroid volume) and a cumulative dose of 4.5 g of methylprednisolone divided into 12 weekly infusions,Registry-defined; verify per protocol,Thyroid ablation,Overall GO outcome,"Overall GO outcome; Overall GO outcome; Response of individual GO parameters: proptosis, CAS, eyelid width, diplopia, and visual acuity; Quality of life questionnaire",Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT04776993,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial,Methimazole; Radioiodine or thyroidectomy,RANDOMIZED,No,"NA (study not reported as terminated, withdrawn, or suspended)",Protocol identifies randomized allocation; no posted participant flow at data cut,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT04936854,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04936854,Sirolimus (rapamycin); Methylprednisolone,Sirolimus 1 mg Oral Tablet | Rapamycin | Rapamune; Solu-Medrol,Haukeland University Hospital,Haukeland University Hospital,Active moderate-to-severe TED,mTOR inhibition; Glucocorticoid immunomodulation,PHASE2,RECRUITING,2023-01-01,2028-01,Norway,Adults primary,active_moderate_severe,60,NR (randomized N not posted; enrollment not substituted),NA (no posted results at data cut),RANDOMIZED PARALLEL,SINGLE,"Sirolimus [ACTIVE_COMPARATOR]: Drug: Sirolimus 1 mg Oral Tablet — Patients with active thyroid eye disease will receive 2 mg Sirolimus (two 1 mg tablets) on the first day, followed by 0,5 mg Sirolimus (half 1 mg tablet) per day for 12 weeks.; Corticosteroids [ACTIVE_COMPARATOR]: Drug: Methylprednisolone — Patients with active thyroid eye disease will receive 500 mg Methylprednisolone intravenously once a week for 6 weeks, followed by 250 mg once a week for 6 weeks.","Sirolimus 1 mg Oral Tablet [DRUG]: 2 mg Sirolimus (two 1 mg tablets) on the first day, followed by 0,5 mg Sirolimus (half 1 mg tablet) per day for 12 weeks.; Methylprednisolone [DRUG]: 500 mg Methylprednisolone intravenously once a week for 6 weeks, followed by 250 mg once a week for 6 weeks. Total period of treatment 12 weeks.; Arm Sirolimus: Patients with active thyroid eye disease will receive 2 mg Sirolimus (two 1 mg tablets) on the first day, followed by 0,5 mg Sirolimus (half 1 mg tablet) per day for 12 weeks.; Arm Corticosteroids: Patients with active thyroid eye disease will receive 500 mg Methylprednisolone intravenously once a week for 6 weeks, followed by 250 mg once a week for 6 weeks.",Registry-defined; verify per protocol,Sirolimus; Corticosteroids,Percentage of participants who were CAS categorical responders at week 12,Percentage of participants who were proptosis responders at week 12; Percentage of participants who were eyelid retraction responders at week 12; Percentage of participants who were diplopia responders at week 12,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,https://doi.org/10.1038/s41433-019-0340-3; https://doi.org/10.1097/IOP.0b013e3180500d57; https://doi.org/10.1097/IOP.0000000000001876,Official registry protocol,ClinicalTrials.gov; NCT04936854,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial,Sirolimus 1 mg Oral Tablet; Methylprednisolone,RANDOMIZED,No,"NA (study not reported as terminated, withdrawn, or suspended)",Protocol identifies randomized allocation; no posted participant flow at data cut,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT05015127,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05015127,Batoclimab,HBM9161 680 mg qw by q2w from week 13; HBM9161 680 mg qw by q2w from week 7,Harbour BioMed (Guangzhou) Co. Ltd.,Harbour BioMed (Guangzhou) Co. Ltd.,Active moderate-to-severe TED,FcRn inhibition,PHASE2; PHASE3,UNKNOWN,2021-09-22,2022-10,China,Adults primary,active_moderate_severe,36,NR (randomized N not posted; enrollment not substituted),NA (no posted results at data cut),RANDOMIZED PARALLEL,QUADRUPLE,HBM9161 680 mg qw by q2w from week 13 [EXPERIMENTAL]: Drug: HBM9161 680 mg qw by q2w from week 13 — Subcutaneous injection; HBM9161 680 mg qw from week 13; HBM9161 680 mg qw by q2w from week 7 [EXPERIMENTAL]: Drug: HBM9161 680 mg qw by q2w from week 7 — Subcutaneous injection; HBM9161 680 mg qw by q2w from week 7; Placebo [EXPERIMENTAL]: Drug: Placebo — Subcutaneous injection; Placebo; Placebo qw by HBM9161 680mg qw from week 12 [EXPERIMENTAL]: Drug: Placebo — Placebo qw by HBM9161 680mg qw from week 12,HBM9161 680 mg qw by q2w from week 13 [DRUG]: HBM9161 680 mg qw by q2w from week 13; Placebo [DRUG]: Placebo; HBM9161 680 mg qw by q2w from week 7 [DRUG]: HBM9161 680 mg qw by q2w from week 7; Placebo [DRUG]: Placebo qw by HBM9161 680mg qw from week 12; Arm HBM9161 680 mg qw by q2w from week 13: Subcutaneous injection; HBM9161 680 mg qw from week 13; Arm HBM9161 680 mg qw by q2w from week 7: Subcutaneous injection; HBM9161 680 mg qw by q2w from week 7; Arm Placebo: Subcutaneous injection; Placebo; Arm Placebo qw by HBM9161 680mg qw from week 12: Placebo qw by HBM9161 680mg qw from week 12,Registry-defined; verify per protocol,NR (randomized comparator arm not explicitly typed in registry),Proptosis responder rates of the treatment groups and placebo group at Week 12,The percentage of subjects with a CAS value of 0 or 1 in the study eye; The change from Baseline in proptosis measurement in the study eye; Composite responder rate; Diplopia response rate; The change from baseline in the Graves' Ophthalmopathy Quality of Life (GO-QoL) Questionnaire visual function score and psychosocial function score,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT05015127,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial,HBM9161 680 mg qw by q2w from week 13; Placebo; HBM9161 680 mg qw by q2w from week 7,RANDOMIZED,No,"NA (study not reported as terminated, withdrawn, or suspended)",Protocol identifies randomized allocation; no posted participant flow at data cut,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT05049603,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05049603,Statin,Atorvastatin 20mg | Study Group,University of Pisa,University of Pisa,Active moderate-to-severe TED,Statin/pleiotropic anti-inflammatory,PHASE3,NOT_YET_RECRUITING,2024-01-01,2025-12-31,Italy,Adults primary,active_moderate_severe,102,NR (randomized N not posted; enrollment not substituted),NA (no posted results at data cut),RANDOMIZED PARALLEL,QUADRUPLE,"Atorvastatin [EXPERIMENTAL]: Drug: Atorvastatin 20mg — Atorvastatin 20 mg/day (the experimental treatment), one tablet/day, given approximately at 10 pm, after dinner and before going to bed, for 24 weeks, associated with intravenous methylprednisolone pulse therapy (the standard treatment), given over a period of 12 weeks; Placebo [PLACEBO_COMPARATOR]: Other: Placebo — Intravenous methylprednisolone pulse therapy (the standard treatment), given over a period of 12 weeks, and placebo (one tablet/day, given approximately at 10 pm, after dinner and before going to bed) for 24 weeks","Atorvastatin 20mg [DRUG]: One tablet/day, given approximately at 10 pm, after dinner and before going to bed, for 24 weeks; Placebo [OTHER]: One tablet/day, given approximately at 10 pm, after dinner and before going to bed, for 24 weeks; Arm Atorvastatin: Atorvastatin 20 mg/day (the experimental treatment), one tablet/day, given approximately at 10 pm, after dinner and before going to bed, for 24 weeks, associated with intravenous methylprednisolone pulse therapy (the standard treatment), given over a period of 12 weeks; Arm Placebo: Intravenous methylprednisolone pulse therapy (the standard treatment), given over a period of 12 weeks, and placebo (one tablet/day, given approximately at 10 pm, after dinner and before going to bed) for 24 weeks",Registry-defined; verify per protocol,Placebo,Outcome of GO,Outcome of GO; Outcome of GO; Quality of life (comparison between the two groups); Quality of life (comparison between the two groups); Quality of life (comparison between the two groups),Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,NR (no result-linked publication URL identified at data cut),Official registry protocol,ClinicalTrials.gov; NCT05049603,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial,Atorvastatin 20mg; Placebo,RANDOMIZED,No,"NA (study not reported as terminated, withdrawn, or suspended)",Protocol identifies randomized allocation; no posted participant flow at data cut,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT05176639,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05176639,Veligrotug (Lumvoa),Veligrotug | VRDN-001,"Viridian Therapeutics, Inc.","Viridian Therapeutics, Inc.",Active moderate-to-severe TED,IGF-1R inhibition,PHASE3,COMPLETED,2022-11-16,2024-07-15,Australia; France; Germany; Poland; Spain; United Kingdom; United States,Adults primary,active_moderate_severe,113,113,Endpoint-specific (see result_trial_curation_v2.csv; denominators vary by endpoint),RANDOMIZED PARALLEL,TRIPLE,Veligrotug [EXPERIMENTAL]: Drug: Veligrotug — Participants will receive veligrotug 10 mg/kg as an intravenous (IV) infusion every 3 weeks (Q3W) for 12 weeks.; Placebo [PLACEBO_COMPARATOR]: Drug: Placebo — Participants will receive placebo matched to veligrotug as an IV infusion Q3W for 12 weeks.,Veligrotug [DRUG]: 5 IV Infusions of veligrotug 10 mg/kg; Placebo [DRUG]: 5 IV Infusions of veligrotug matched placebo; Arm Veligrotug: Participants will receive veligrotug 10 mg/kg as an intravenous (IV) infusion every 3 weeks (Q3W) for 12 weeks.; Arm Placebo: Participants will receive placebo matched to veligrotug as an IV infusion Q3W for 12 weeks.,Registry-defined; verify per protocol,Placebo,Proptosis Responder Rate (PRR) in the Study Eye As Measured by Exophthalmometer,Change From Baseline in Proptosis in the Study Eye As Measured by Exophthalmometer; PRR in the Most Proptotic Eye As Measured by Magnetic Resonance Imaging (MRI)/Computed Tomography (CT); Change From Baseline in Proptosis in the Most Proptotic Eye As Measured by MRI/CT; Change From Baseline in CAS in the Study Eye; Overall Responder Rate (ORR) Comprising of PRR and Clinical Activity Responder Rate in the Study Eye,Posted result timepoint,"PRR 70.0% vs 5.26%, p<0.0001; proptosis LS change −2.90 vs −0.48 mm; overall response 66.83% vs 5.26%; diplopia response 59.07% vs 19.89%.",SAE 7/75 vs 0/38; muscle spasms 34/75 vs 3/38; infusion reaction 13/75 vs 2/38; hearing-related symptoms present.,Week 52에서 initial responders의 70%가 PRR 유지; evaluable follow-up subset 21/30.,NR (no result-linked publication URL identified at data cut),Registry result + manual curation,[230]; [713]; ClinicalTrials.gov; NCT05176639,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial; Five infusions; durability denominator와 responder conditioning을 명시.,Veligrotug; Placebo,RANDOMIZED,Yes,"NA (study not reported as terminated, withdrawn, or suspended)","Posted participant flow, first period STARTED (Overall Study)",Posted results with manually curated endpoint-specific interpretation,2026-09-10,2.0.0
NCT05199103,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05199103,Rabbit anti-thymocyte globulin,NR (no additional alias),Medical University of Silesia,Medical University of Silesia,Active moderate-to-severe TED,Broad T-cell depletion,NA,UNKNOWN,2020-01-01,2023-12-31,Poland,Adults primary,active_moderate_severe,20,NA (not randomized),NA (no posted results at data cut),NA SINGLE_GROUP,NONE,Rabbit antithymocyte globulin (rATG) [EXPERIMENTAL]: Drug: rabbit anti-thymocyte globulin,"rabbit anti-thymocyte globulin [DRUG]: 0.8 - 1.0 mg/kg of rATG (cumulative dose of 150-200 mg given intravenously in two or three divided doses, 24 hours apart) after premedication with methylprednisolone i.v. (in total dose of 375 mg), 1 mg of antihistaminic agent clemastine and 1000 mg paracetamol i.v.",Registry-defined; verify per protocol,NA (no comparator arm identified),≥2 point change in Clinical Activity Score from baseline; change in proptosis; a diplopia response; change of distant best-corrected visual acuity; change of mean retinal sensitivity,changes in CD4/CD8 ratio; changes in TSH-receptor antibodies level; increase in 1 degree amplitude in Pattern visual evoked potential (VEP) by 1 µV,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,https://doi.org/10.3389/fendo.2022.871009,Official registry protocol,ClinicalTrials.gov; NCT05199103,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial,rabbit anti-thymocyte globulin,NA,No,"NA (study not reported as terminated, withdrawn, or suspended)",Registry allocation=NA,No posted ClinicalTrials.gov results at frozen data cut,2026-09-10,2.0.0
NCT05276063,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05276063,Linsitinib,NR (no additional alias),"Sling Therapeutics, Inc.","Sling Therapeutics, Inc.",Active moderate-to-severe TED,IGF-1R-pathway kinase inhibition,PHASE2; PHASE3,COMPLETED,2022-07-01,2024-10-15,Canada; Italy; Spain; United Kingdom; United States,Adults primary,active_moderate_severe,90,90,Endpoint-specific (see result_trial_curation_v2.csv; denominators vary by endpoint),RANDOMIZED PARALLEL,DOUBLE,Placebo [PLACEBO_COMPARATOR]: Drug: Placebo — Placebo Arm; Low Dose [ACTIVE_COMPARATOR]: Drug: Linsitinib — Active Arm Low Dose Linsitinib; High Dose [ACTIVE_COMPARATOR]: Drug: Linsitinib — Active Arm High Dose Linsitinib,Linsitinib [DRUG]: Study medication taken twice daily by mouth; Placebo [DRUG]: Placebo taken twice daily by mouth; Arm Placebo: Placebo Arm; Arm Low Dose: Active Arm Low Dose Linsitinib; Arm High Dose: Active Arm High Dose Linsitinib,Registry-defined; verify per protocol,Placebo; Low Dose; High Dose,Percentage of Subjects Who Are Proptosis Responders at Week 24,Percentage of Subjects Who Are Overall Responders at Week 24; Percentage of Subjects With a CAS Value of 0 or 1 at Week 24; Change From Baseline in the Graves' Ophthalmopathy Quality of Life (GO-QoL) Questionnaire Overall Score to Week 24.,Posted result timepoint,"PRR 150 mg BID 51.7% vs 18.8%, p=0.01, RD 0.345 (95% CI 0.098–0.593); 75 mg 38.9%, p=0.090; GO-QOL difference +10.776, p=0.002.","SAE 2/29 high, 0/30 low, 1/31 placebo; high-dose GI/fatigue/transaminase signals.",Week 24 beyond durability 공개 제한.,NR (no result-linked publication URL identified at data cut),Registry result + manual curation,[714]; [715]; ClinicalTrials.gov; NCT05276063,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial; One-sided alpha 2.5%; mixed Graves/Hashimoto etiology but all had TED.,Linsitinib; Placebo,RANDOMIZED,Yes,"NA (study not reported as terminated, withdrawn, or suspended)","Posted participant flow, first period STARTED (Overall Study)",Posted results with manually curated endpoint-specific interpretation,2026-09-10,2.0.0
