raw_occurrence_id,trial_id,registry_intervention_type,raw_intervention,raw_other_names,raw_description,raw_arm_labels,component_index,canonical_asset,aliases,role,asset_scope,target,mechanism_class,pipeline_inclusion,exclusion_reason,source_id,mapping_confidence,manual_review_status
NCT01056419-022,NCT01056419,DRUG,Propylthiouracil,NR (none reported),150-600 mg in two-three divided doses,Anti-thyroid drug,1,Propylthiouracil,NR (no additional alias),standard of care,standard of care,Thyroid peroxidase/deiodination,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT01056419,high,PASS_CURATED_RULE
NCT01114503-036,NCT01114503,DRUG,Otelixizumab - low dose,NR (none reported),8 day dose rising intravenous infusions of a low dose of otelixizumab,Part A,1,Otelixizumab,Otelixizumab - low dose,active/intervention,pipeline/approved asset,CD3,CD3 modulation,Yes,NA (included),ClinicalTrials.gov; NCT01114503,high,PASS_CURATED_RULE
NCT01114503-037,NCT01114503,DRUG,Otelixizumab - medium low dose,NR (none reported),8 day dose rising intravenous infusions of a medium low dose of otelixizumab,Part A,1,Otelixizumab,Otelixizumab - medium low dose,active/intervention,pipeline/approved asset,CD3,CD3 modulation,Yes,NA (included),ClinicalTrials.gov; NCT01114503,high,PASS_CURATED_RULE
NCT01114503-038,NCT01114503,DRUG,Otelixizumab - medium high dose,NR (none reported),8 day dose rising intravenous infusions of a medium high dose of otelixizumab,Part A,1,Otelixizumab,Otelixizumab - medium high dose,active/intervention,pipeline/approved asset,CD3,CD3 modulation,Yes,NA (included),ClinicalTrials.gov; NCT01114503,high,PASS_CURATED_RULE
NCT01114503-039,NCT01114503,DRUG,Otelixizumab - high dose,NR (none reported),8 day dose rising intravenous infusions of a high dose of otelixizumab,Part A,1,Otelixizumab,Otelixizumab - high dose,active/intervention,pipeline/approved asset,CD3,CD3 modulation,Yes,NA (included),ClinicalTrials.gov; NCT01114503,high,PASS_CURATED_RULE
NCT01114503-040,NCT01114503,DRUG,Otelixizumab,NR (none reported),8 day dose rising intravenous infusions of otelixizumab administered at a dose decided upon results from Part A.,Part B - Otelixizumab,1,Otelixizumab,NR (no additional alias),active/intervention,pipeline/approved asset,CD3,CD3 modulation,Yes,NA (included),ClinicalTrials.gov; NCT01114503,high,PASS_CURATED_RULE
NCT01114503-041,NCT01114503,DRUG,Methylprednisolone,NR (none reported),Weekly intravenous infusions of methylprednisolone administered as 500 mg per week for 6 weeks and then 250 mg per week for 6 weeks,Part B - Methylprednisolone,1,Methylprednisolone,NR (no additional alias),standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT01114503,high,PASS_CURATED_RULE
NCT01204359-233,NCT01204359,RADIATION,Iodine 131,NR (none reported),iodine 131，185、370、555mBq，6 months,follow-up,1,Radioiodine,Iodine 131,procedure,procedure,Thyroid follicular tissue,Radioiodine ablation,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT01204359,high,PASS_CURATED_RULE
NCT01269749-123,NCT01269749,RADIATION,RAI treatment,NR (none reported),"Characteristics of study population. We will recruit a total of 150 patients diagnosed with GD younger than 18 years of age. All subjects are to be treated with 131I. In this trial, children will not be randomized to treatment, but will be treated per physician prescribed care. To ensure an equal distribution of age and gender between the two groups of children, we stratify enrollment by gender (male vs. female) and age (5-10 yrs, 10-15 yrs, 15-18 yrs).",RAI treatment,1,Radioiodine,RAI treatment,procedure,procedure,Thyroid follicular tissue,Radioiodine ablation,No,Procedure managed in SoC table,ClinicalTrials.gov; NCT01269749,high,PASS_CURATED_RULE
NCT01269749-124,NCT01269749,DRUG,ATD Group,NR (none reported),"Characteristics of study population. We will recruit a total of 150 patients diagnosed with GD younger than 18 years of age. All subjects are to be treated with antithyroid drugs (ATDs). In this trial, children will not be randomized to treatment, but will be treated per physician prescribed care. To ensure an equal distribution of age and gender between the two groups of children, we stratify enrollment by gender (male vs. female) and age (5-10 yrs, 10-15 yrs, 15-18 yrs).",ATD Group,1,Methimazole / antithyroid drug,ATD Group,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT01269749,high,PASS_CURATED_RULE
NCT01280214-184,NCT01280214,DRUG,Triamcinolone,kenalog,"Subconjunctival and peribulbar, 40 mg/ml, 3 monthly injection",Triamcinolone,1,Triamcinolone,kenalog,standard of care,standard of care,Glucocorticoid receptor,Local glucocorticoid therapy,No,Managed in SoC table,ClinicalTrials.gov; NCT01280214,high,PASS_CURATED_RULE
NCT01295333-306,NCT01295333,DRUG,the early prophylactic introduction of low dose of LT4 (50 µg/d) at 15 days post-ablation,NR (none reported),NR (not reported),experimental approach,1,Levothyroxine,the early prophylactic introduction of low dose of LT4 (50 µg/d) at 15 days post-ablation,standard of care,standard of care,Thyroid hormone replacement,Hormone replacement,No,Managed in SoC table,ClinicalTrials.gov; NCT01295333,high,PASS_CURATED_RULE
NCT01295333-307,NCT01295333,DRUG,The initiation of LT4 as soon as the first biological signs of hypothyroidism.,NR (none reported),NR (not reported),conventional approach,1,Levothyroxine,The initiation of LT4 as soon as the first biological signs of hypothyroidism.,standard of care,standard of care,Thyroid hormone replacement,Hormone replacement,No,Managed in SoC table,ClinicalTrials.gov; NCT01295333,high,PASS_CURATED_RULE
NCT01297699-169,NCT01297699,DRUG,Tocilizumab (RoActemra®),NR (none reported),Single intravenous infusion of tocilizumab (8 mg/kg); every 4 weeks during 16 weeks.,Tocilizumab,1,Tocilizumab,Tocilizumab (RoActemra®),active/intervention,pipeline/approved asset,IL-6R,IL-6 receptor blockade,Yes,NA (included),ClinicalTrials.gov; NCT01297699,high,PASS_CURATED_RULE
NCT01297699-170,NCT01297699,DRUG,Sterile 0.9% Sodium Chloride,NR (none reported),"Single intravenous dip infusion of a sterile 0.9% sodium chloride, every four weeks during 16 weeks.",Sterile 0.9% Sodium Chloride,1,Saline/vehicle control,Sterile 0.9% Sodium Chloride,comparator/control,placebo/comparator,NA,Vehicle/sham control,No,Vehicle or sham comparator,ClinicalTrials.gov; NCT01297699,high,PASS_CURATED_RULE
NCT01379196-308,NCT01379196,DRUG,Azithromycin,AZITRO,Tab. Azithromycin 500 mg PO three times weekly for 3 months,Azithromycin PO three times weekly,1,Azithromycin,AZITRO,adjunct/supportive,adjunct/supportive,Pleiotropic inflammatory pathways,Macrolide immunomodulation,No,Adjunct/repurposing evidence,ClinicalTrials.gov; NCT01379196,high,PASS_CURATED_RULE
NCT01458600-144,NCT01458600,DRUG,Diclofenac,T Diclofenac T 50 mg Ratiopharm,T Diclofenac 50 mg twice daily for 12 months,diclofenac,1,Diclofenac,T Diclofenac T 50 mg Ratiopharm,adjunct/supportive,adjunct/supportive,Cyclooxygenases,NSAID,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT01458600,high,PASS_CURATED_RULE
NCT01458600-145,NCT01458600,DRUG,Methimazole,Thacapzol (Recip),T Methimazole 5 mg 3x2 for 18 months,diclofenac | without diclofenac,1,Methimazole / antithyroid drug,Methimazole | Thacapzol (Recip),standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT01458600,high,PASS_CURATED_RULE
NCT01458600-146,NCT01458600,DRUG,L-thyroxin,Euthyrox (Merck),L-thyroxin approximately 100 to 200 micrograms/day. The dose is adjusted to reach euthyroidism during concomitant treatment with methimazole for 18 months,diclofenac | without diclofenac,1,Levothyroxine,L-thyroxin | Euthyrox (Merck),standard of care,standard of care,Thyroid hormone replacement,Hormone replacement,No,Managed in SoC table,ClinicalTrials.gov; NCT01458600,high,PASS_CURATED_RULE
NCT01458600-147,NCT01458600,DRUG,Propranolol,Inderal (AstraZeneca),T Propronalol 40mg 1x1-3 during during 1-3 weeks until the patient has responded to thyrostatics,diclofenac | without diclofenac,1,Beta-blocker,Propranolol | Inderal (AstraZeneca),standard of care,standard of care,Beta-adrenergic receptors,Symptomatic adrenergic blockade,No,Managed in SoC table,ClinicalTrials.gov; NCT01458600,high,PASS_CURATED_RULE
NCT01458600-148,NCT01458600,DRUG,Metoprolol,Seloken (AstraZeneca),T Metoprolol 50 mg 1x3 for 1-3 weeks until the patient has responded to thyrostatics,diclofenac | without diclofenac,1,Beta-blocker,Metoprolol | Seloken (AstraZeneca),standard of care,standard of care,Beta-adrenergic receptors,Symptomatic adrenergic blockade,No,Managed in SoC table,ClinicalTrials.gov; NCT01458600,high,PASS_CURATED_RULE
NCT01534169-206,NCT01534169,DRUG,Dexamethasone,Hexadecadrol,"The course of treatment will be last for 3 months. The intrathyroid injection of dexamethasone will be performed using a 25-gauge (0.25-mm) needle under ultrasound guidance. The injection will be performed in both lobes of the thyroid. The dosage of dexamethasone is 5mg (1.0 ml) in each lobe, twice a week during the first month of the treatment. The treatment strategy will be changed to once a week in the second month and twice a month in the third month; the dosage of dexamethasone is the same as in the first month.",Isotonic Na chloride,1,Dexamethasone,Hexadecadrol,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT01534169,high,PASS_CURATED_RULE
NCT01560299-161,NCT01560299,DRUG,Methimazole,NR (none reported),Methimazole was stopped 24-48 before radio-iodine therapy,group one,1,Methimazole / antithyroid drug,Methimazole,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT01560299,high,PASS_CURATED_RULE
NCT01560299-162,NCT01560299,DRUG,Methimazole,NR (none reported),methimazole discontinued 49-72 hours before radioiodine treatment,group two,1,Methimazole / antithyroid drug,Methimazole,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT01560299,high,PASS_CURATED_RULE
NCT01560299-163,NCT01560299,DRUG,Methimazole,NR (none reported),methimazole discontinued 73-168 hours before radio-iodine treatment,group three,1,Methimazole / antithyroid drug,Methimazole,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT01560299,high,PASS_CURATED_RULE
NCT01611896-207,NCT01611896,DIETARY_SUPPLEMENT,Selenium,"'Selen, organisk selen', produced by Jemo-Pharm A/S","100 µg tablets. The dose of daily supplement of selenium is set at 200 µg (two tablets). The duration of the intervention period is between 24-30 months. This is defined by the time of ATD treatment withdrawal, which is scheduled between approximately 12-18 months after randomisation. Selenium supplementation will continue 12 months after withdrawal of ATD treatment.",Selenium,1,Selenium/antioxidant supplement,"Selenium | 'Selen, organisk selen', produced by Jemo-Pharm A/S",adjunct/supportive,adjunct/supportive,Redox pathways,Antioxidant supplementation,No,Adjunct/supportive intervention,ClinicalTrials.gov; NCT01611896,high,PASS_CURATED_RULE
NCT01611896-208,NCT01611896,OTHER,Placebo,NR (none reported),"Placebo tablets, identical in regards to size, appearance, taste, smell, and solubility to the experimental intervention tablet will be produced by Jemo-Pharm A/S, http://www.jemo-pharm.dk/frame.cfm/cms/id=977/sprog=2/grp=6/menu=1/ (content as in section: Auxiliary agents). The placebo regimen will be identical to the selenium regimen, but consist of two non-active tablets per day for 24-30 months.",Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT01611896,high,PASS_CURATED_RULE
NCT01727973-237,NCT01727973,DRUG,Doxycycline,Dolotard | Tibirox | Biomycin,Tab. Doxycycline 50 mg PO per day for 12 weeks,Doxycycline,1,Doxycycline,Dolotard | Tibirox | Biomycin,adjunct/supportive,adjunct/supportive,Pleiotropic inflammatory pathways,Tetracycline immunomodulation,No,Adjunct/repurposing evidence,ClinicalTrials.gov; NCT01727973,high,PASS_CURATED_RULE
NCT01809444-058,NCT01809444,DRUG,Prednisone+placebo of Doxycycline,deltacortisone,"Prednisone: 50 mg/d for 14 day, tailed by 40 mg/d for 14 day, 30 mg/d for 28 day, 20 mg/d for 28 day, 15 mg/d for 14 day, 10 mg/d for 14 day, in total 16 weeks; Placebo of doxycycline: administered for 16 weeks",Prednisone+placebo of Doxycycline,1,Prednisone/prednisolone,Prednisone+placebo of Doxycycline | deltacortisone,standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT01809444,high,PASS_CURATED_RULE
NCT01809444-058,NCT01809444,DRUG,Prednisone+placebo of Doxycycline,deltacortisone,"Prednisone: 50 mg/d for 14 day, tailed by 40 mg/d for 14 day, 30 mg/d for 28 day, 20 mg/d for 28 day, 15 mg/d for 14 day, 10 mg/d for 14 day, in total 16 weeks; Placebo of doxycycline: administered for 16 weeks",Prednisone+placebo of Doxycycline,2,Placebo,Prednisone+placebo of Doxycycline | deltacortisone,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT01809444,high,PASS_CURATED_RULE
NCT01809444-059,NCT01809444,DRUG,Doxycycline+placebo of Prednisone,Dolotard | Tibirox | Biomycin,"Doxycycline: 50 mg PO per day for 12 weeks, and placebo for another 4 weeks; Placebo of prednisone: administered for 16 weeks.",Doxycycline+placebo of Prednisone,1,Doxycycline,Doxycycline+placebo of Prednisone | Dolotard | Tibirox | Biomycin,adjunct/supportive,adjunct/supportive,Pleiotropic inflammatory pathways,Tetracycline immunomodulation,No,Adjunct/repurposing evidence,ClinicalTrials.gov; NCT01809444,high,PASS_CURATED_RULE
NCT01809444-059,NCT01809444,DRUG,Doxycycline+placebo of Prednisone,Dolotard | Tibirox | Biomycin,"Doxycycline: 50 mg PO per day for 12 weeks, and placebo for another 4 weeks; Placebo of prednisone: administered for 16 weeks.",Doxycycline+placebo of Prednisone,2,Placebo,Doxycycline+placebo of Prednisone | Dolotard | Tibirox | Biomycin,comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT01809444,high,PASS_CURATED_RULE
NCT01868997-227,NCT01868997,DRUG,teprotumumab,RV 001 | HZN-001,NR (not reported),Teprotumumab,1,Teprotumumab,RV 001 | HZN-001,active/intervention,pipeline/approved asset,IGF-1R,IGF-1R inhibition,Yes,NA (included),ClinicalTrials.gov; NCT01868997,high,PASS_CURATED_RULE
NCT01868997-228,NCT01868997,DRUG,normal saline,NR (none reported),NR (not reported),Placebo,1,Saline/vehicle control,normal saline,comparator/control,placebo/comparator,NA,Vehicle/sham control,No,Vehicle or sham comparator,ClinicalTrials.gov; NCT01868997,high,PASS_CURATED_RULE
NCT01893450-234,NCT01893450,DRUG,Methimazole,NR (none reported),NR (not reported),methimazole,1,Methimazole / antithyroid drug,Methimazole,standard of care,standard of care,Thyroid peroxidase,Antithyroid drug,No,Managed in SoC table,ClinicalTrials.gov; NCT01893450,high,PASS_CURATED_RULE
NCT01893450-235,NCT01893450,DRUG,Bromocriptine,NR (none reported),NR (not reported),"methimazole, bromocriptine",1,Bromocriptine,NR (no additional alias),adjunct/supportive,adjunct/supportive,Dopamine D2 receptor,Dopamine agonism,No,Adjunct/repurposing evidence,ClinicalTrials.gov; NCT01893450,high,PASS_CURATED_RULE
NCT01893450-236,NCT01893450,DRUG,Pentoxifylline,NR (none reported),NR (not reported),pentoxifylline,1,Pentoxifylline,NR (no additional alias),adjunct/supportive,adjunct/supportive,Pleiotropic inflammatory pathways,Pleiotropic immunomodulation,No,Adjunct/repurposing evidence,ClinicalTrials.gov; NCT01893450,high,PASS_CURATED_RULE
NCT01950260-292,NCT01950260,DRUG,Levothyroxine,Thyroid hormone,Early initiation of levothyroxine after radioactive iodine (to start at 4 weeks).,Levothyroxine,1,Levothyroxine,Thyroid hormone,standard of care,standard of care,Thyroid hormone replacement,Hormone replacement,No,Managed in SoC table,ClinicalTrials.gov; NCT01950260,high,PASS_CURATED_RULE
NCT01950260-293,NCT01950260,OTHER,Placebo,NR (none reported),Placebo to start at 4 weeks after RAI,Placebo,1,Placebo,NR (no additional alias),comparator/control,placebo/comparator,NA,Inert comparator,No,Inert comparator,ClinicalTrials.gov; NCT01950260,high,PASS_CURATED_RULE
NCT01969019-014,NCT01969019,DRUG,"methylprednisolone, prednisone",NR (none reported),NR (not reported),methylprednisolone | methylprednisolone plus prednisone,1,Methylprednisolone,"methylprednisolone, prednisone",standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT01969019,high,PASS_CURATED_RULE
NCT01969019-014,NCT01969019,DRUG,"methylprednisolone, prednisone",NR (none reported),NR (not reported),methylprednisolone | methylprednisolone plus prednisone,2,Prednisone/prednisolone,"methylprednisolone, prednisone",standard of care,standard of care,Glucocorticoid receptor,Glucocorticoid immunomodulation,No,Managed in SoC table,ClinicalTrials.gov; NCT01969019,high,PASS_CURATED_RULE
NCT02059655-272,NCT02059655,DRUG,Bimatoprost,Trade Name Lumigan. MA number: EU/1/02/205/001-002. ATC Code: S01EE03,NR (not reported),Bimatoprost,1,Bimatoprost,Trade Name Lumigan. MA number: EU/1/02/205/001-002. ATC Code: S01EE03,adjunct/supportive,adjunct/supportive,Prostaglandin FP receptor,Ophthalmic symptom-directed therapy,No,Adjunct/symptom-directed intervention,ClinicalTrials.gov; NCT02059655,high,PASS_CURATED_RULE
