soc_id,region_code,region,disease,category,stage_activity,population,line_of_therapy,intervention,regimen_timing,treatment_goal,endpoint_semantics,outcome_interpretation,next_option_if_failure,major_risks,guideline_position,authorization_status_scope,reimbursement_access,source_ids,anchor_ids,evidence_tier,authority_scope,uncertainty,last_verified,data_cut,schema_version,notes
SOC-US-TED-TEPEZZA,US,United States,TED,Tepezza,Label- and jurisdiction-defined TED population,Adults unless the jurisdictional label states otherwise,Jurisdiction- and phenotype-dependent targeted therapy,"Teprotumumab-trbw (Tepezza), IGF-1R inhibitor","10 mg/kg initial IV infusion, then 20 mg/kg every 3 weeks for 7 additional infusions (8 total)","IGF-1R pathway-directed TED control; endpoint는 trial/label별 proptosis, diplopia, activity, QoL로 제한","authorization scope는 efficacy magnitude, reimbursement, line-of-therapy preference와 동일하지 않다; 서로 다른 trial endpoint를 단일 순위로 합치지 않는다.",U.S. indication is TED regardless of activity or duration; 이는 모든 phenotype에서 동일 magnitude의 benefit을 뜻하지 않는다.,"불충분 반응 시 phenotype/activity 재평가 후 IVGC, RT, other immunomodulator 또는 rehabilitative surgery","Infusion reactions, IBD exacerbation, hyperglycemia, potentially severe/permanent hearing impairment, fetal harm; pediatric safety/effectiveness not established",ATA/ETA consensus는 significant proptosis/diplopia가 있는 active moderate-to-severe TED에서 available할 때 preferred therapy로 제시한다; label scope는 더 넓다.,approved in the United States; labeled for TED regardless of activity or duration,unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),728;139,US-TEPEZZA-LABEL-INDICATION; US-TEPEZZA-LABEL-DOSE; US-TEPEZZA-LABEL-PEDIATRIC; US-TEPEZZA-LABEL-MOA; US-TEPEZZA-LABEL-HYPERGLYCEMIA; US-TEPEZZA-LABEL-HEARING; US-TEPEZZA-LABEL-CONTRACEPTION; INT-ATA-ETA2022-KP7.1.3.1,A1+A2,U.S. prescribing information plus joint society consensus,Payer access와 individual suitability는 authorization과 별개이며 unresolved이다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-TED-LUMVOA,US,United States,TED,Lumvoa,Label- or jurisdiction-status-defined TED population,Adults unless an official label states otherwise,Jurisdiction-dependent targeted therapy,"Veligrotug-vvze (Lumvoa), IGF-1R inhibitor",10 mg/kg IV every 3 weeks for 5 total infusions,IGF-1R pathway-directed TED control; 승인된 범위 밖에서는 R&D potential과 access를 분리,"U.S. label indication, trial efficacy endpoints, non-U.S. authorization, reimbursement를 각각 분리하며 negative search를 비승인 근거로 쓰지 않는다.",U.S. label은 TED regardless of activity or duration; 5-infusion regimen은 Tepezza regimen과 직접 비교하지 않는다.,불충분 반응 시 activity/phenotype 재평가 후 다른 medical modality 또는 surgery; label이 comparative sequencing을 확정하지 않음,"Infusion reactions, IBD exacerbation, hyperglycemia, potentially severe/permanent hearing impairment, fetal harm; pediatric safety/effectiveness not established",FDA label/approval 기반의 authorized option; curated society guideline에는 2026 approval 이후 positioning이 아직 반영되지 않았다.,approved by FDA on 2026-06-26; BLA 761530; TED regardless of activity or duration,unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),373;726;727,US-LUMVOA-LABEL-INDICATION-DOSE; US-LUMVOA-LABEL-CONTRAINDICATIONS; US-LUMVOA-LABEL-INFUSION; US-LUMVOA-LABEL-IBD; US-LUMVOA-LABEL-HYPERGLYCEMIA; US-LUMVOA-LABEL-HEARING; US-LUMVOA-LABEL-CONTRACEPTION; US-LUMVOA-LABEL-PEDIATRIC; US-LUMVOA-LABEL-GERIATRIC; US-FDA-LUMVOA-BLA-APPROVAL; US-FDA-LUMVOA-APPROVAL-DATE; US-FDA-2026-LUMVOA-LISTING,A1,"FDA prescribing information, approval letter, and approvals list",Post-approval payer access와 real-world sequencing은 data cut에서 unresolved이다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-TED-DON,US,United States,TED,Dysthyroid optic neuropathy (DON),Sight-threatening TED / compressive DON,Patients with threatened visual function,Emergency treatment,Urgent high-dose IVGC with early orbital decompression when visual function is not restored,IVGC 즉시 시작; 2주 내 충분한 visual recovery가 없으면 decompression 조기 고려; compressive DON에서 deep medial wall/floor decompression 고려,visual function을 신속히 회복·보존하고 irreversible optic-nerve injury 방지,"visual acuity, color vision, visual field, RAPD 및 decompression 필요성을 중심으로 평가하며 일반 TED composite response로 대체하지 않는다.",vision preservation이 우선이며 teprotumumab 등 선택적 약제가 decompression을 지연시키면 안 된다.,Poor/unstable response이면 urgent decompression,"Irreversible visual loss, IVGC toxicity, surgical complications",ATA/ETA consensus Key Points 8.1.1과 8.3.1이 응급 escalation을 명시한다.,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),139,INT-ATA-ETA2022-KP8.1.1; INT-ATA-ETA2022-KP8.3.1,A2,Joint ATA/ETA consensus,DON phenotype과 visual-function trajectory에 따라 즉각적인 specialist judgment가 필요하다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-TED-CHRONIC-INACTIVE,US,United States,TED,Chronic/inactive TED,Inactive/chronic TED with stable residual sequelae,Patients with inactive disease and functional/cosmetic sequelae,Rehabilitative phase,"Staged rehabilitative surgery: decompression, strabismus surgery, then eyelid procedures as indicated",Disease inactivity와 euthyroidism을 확보한 뒤 단계적 수술,"stable residual proptosis, strabismus/diplopia, eyelid abnormality 및 exposure를 단계적 수술로 교정",inflammatory inactivation과 rehabilitative functional/cosmetic outcome을 분리한다; inactive는 반드시 symptom-free 또는 cured를 뜻하지 않는다.,inactive residual TED는 medical anti-inflammatory response보다 function/cosmesis를 목표로 한다.,불안정 activity가 의심되면 수술 전 재평가; 잔존 deficit에 따라 다음 staged procedure,"Diplopia shift, exposure, scarring, surgical complications; premature surgery if disease unstable",ATA/ETA consensus는 inactive/euthyroid 상태에서 rehabilitative surgery를 권고한다.,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),139,INT-ATA-ETA2022-KP7.3.1.2; INT-ATA-ETA2022-KP7.3.4.1,A2,Joint ATA/ETA consensus,Chronic/inactive와 disease cured를 동일시하지 않는다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-US-TED-RELAPSED-REFRACTORY,US,United States,TED,Relapsed/refractory TED,"Persistent active, inadequately responsive, relapsed, or recurrent TED","Patients after inadequate response, intolerance, flare, or recurrence",Second or later line,"Reassessment followed by alternative IVGC strategy, RTX/TCZ, RT, teprotumumab, or surgery according to phenotype",IVMP 6주 poor response에서 withdrawal/alternative evaluation; GC-resistant active disease에서 RTX/TCZ 고려,잔존 activity/phenotype에 맞춘 재평가와 rescue 또는 modality switch,"primary nonresponse, partial response, flare during taper, post-treatment relapse, chronic residual deficit을 구분하며 서로 다른 연구의 response rate를 단순 비교하지 않는다.","response failure의 원인(activity, fibrosis, phenotype mismatch, adherence, toxicity)을 분리해 다음 치료를 선택한다.",Activity가 남으면 alternative immunomodulation; inactive residual deficit이면 rehabilitative surgery; sight threat이면 DON pathway,"Cumulative immunosuppression, infection, hepatic/metabolic toxicity, treatment-specific adverse effects",ATA/ETA consensus는 IVMP failure trigger와 GC-resistant options를 명시한다.,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),139,INT-ATA-ETA2022-KP7.1.1.3; INT-ATA-ETA2022-KP7.1.2.1; INT-ATA-ETA2022-KP7.3.1.2,A2,Joint ATA/ETA consensus,Tep has not been evaluated in the specific GC-resistant context cited by KP7.1.2.1; generalized rescue claim을 피한다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-GD-ADULT-ATD,EU,EU/EEA,GD,Adult ATD,Newly diagnosed or ongoing Graves’ hyperthyroidism,Adults,Initial or continued medical therapy,Methimazole/carbimazole-based ATD,12–18개월 투여 후 TSH와 TSHR-Ab가 정상일 때 중단; 지속 고 TSHR-Ab이면 12개월 연장 또는 RAI/surgery,우선 biochemical control; 적절한 환자에서는 ATD 중단 후 durable off-treatment remission 가능성 평가,"복용 중 정상화(on-treatment biochemical control), off-ATD normalization, durable off-treatment remission, relapse를 분리한다; ATD 반응을 cure로 표현하지 않는다.",newly diagnosed GD에서 ATD가 기본이며 off-treatment remission 가능성을 antibody status와 함께 평가한다.,재발 시 RAI 또는 thyroidectomy; 환자가 선호하면 장기 low-dose MMI 가능,"Agranulocytosis, hepatic injury, rash; pregnancy-specific drug selection","ETA Recommendations 5, 7–9 및 13",NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),39,EU-ETA2018-R5; EU-ETA2018-R7; EU-ETA2018-R8; EU-ETA2018-R9; EU-ETA2018-R13,A2,European Thyroid Association evidence-graded guideline,EU/EEA 국가별 implementation 차이를 단일 practice로 단정하지 않는다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-GD-ADULT-RAI,EU,EU/EEA,GD,Adult RAI,Graves’ hyperthyroidism selected for radioactive iodine,Adults; pregnancy/lactation and TED risk assessed separately,Initial definitive option or after ATD failure/preference,Radioactive iodine,ATD 사용 시 RAI 전후 약 1주 중단; pregnancy/breastfeeding 금기; conception은 남녀 모두 최소 6개월 연기; TED risk에서는 steroid prophylaxis,"충분한 방사성요오드로 hyperthyroidism을 destructive control하고, 흔히 hypothyroidism 후 replacement로 안정화","RAI 후 euthyroidism, hypothyroidism, persistent hyperthyroidism, retreatment를 분리한다; ‘cure’ 용어가 있어도 autoimmune disease 소실이나 TED cure로 확장하지 않는다.",RAI는 환자 선호에 따른 definitive option이며 outcome은 euthyroid/hypothyroid/persistent 상태로 구분한다.,Persistence/relapse 시 repeat RAI 또는 thyroidectomy; TED risk가 높으면 다른 thyroid modality,"Hypothyroidism, transient worsening, radiation exposure, TED occurrence/progression","ETA Recommendations 19, 21, 22, 29",NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),39,EU-ETA2018-R19; EU-ETA2018-R21; EU-ETA2018-R22; EU-ETA2018-R29,A2,European Thyroid Association evidence-graded guideline,National radiation rules와 access는 Member State마다 다를 수 있다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-GD-ADULT-THYROIDECTOMY,EU,EU/EEA,GD,Adult thyroidectomy,Graves’ hyperthyroidism selected for surgery,Adults,Initial definitive option or rescue/alternative,Total thyroidectomy by a skilled high-volume surgeon,수술 선택 시 total thyroidectomy,갑상선 제거를 통한 신속하고 definitive한 hyperthyroidism control; 이후 thyroid hormone replacement,수술에 의한 thyroid-source control과 autoimmune remission/TED outcome을 분리한다; 수술은 전신 자가면역의 ‘cure’와 동의어가 아니다.,신속하고 definitive한 thyroid control; 이후 replacement가 필요하며 TED/autoimmunity cure로 확장하지 않는다.,수술 부적합 시 ATD 또는 RAI; persistent disease이면 surgical/endocrine reassessment,"Hypoparathyroidism, recurrent laryngeal nerve injury, bleeding, anesthesia risk",ETA Recommendation 24,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),39,EU-ETA2018-R24,A2,European Thyroid Association evidence-graded guideline,Surgeon volume와 Member State pathway 차이 존재.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-GD-RELAPSE-REFRACTORY,EU,EU/EEA,GD,Relapsed/refractory GD,Persistent or recurrent hyperthyroidism after prior therapy,"Adults with relapse, persistent biochemical disease, intolerance, or poor control",Subsequent therapy,"RAI, thyroidectomy, or continued long-term low-dose MMI",첫 ATD course 후 hyperthyroidism 재발 시 definitive RAI/surgery 권고; 환자 선호 시 low-dose MMI 연장,재발 또는 지속성 hyperthyroidism의 biochemical control 회복과 환자별 definitive strategy 선택,"ATD 중단 후 relapse, RAI 후 persistence, ATD intolerance/poor control을 서로 다른 failure state로 기록하며 단일 반응률로 합치지 않는다.",재발 후 선택은 definitive control과 ongoing medical control을 구분한다.,"이전 치료, goiter, TED, comorbidity, reproductive plan에 따라 alternate modality","Persistent thyrotoxicosis, repeated drug toxicity, procedural risks",ETA Recommendations 13과 9,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),39,EU-ETA2018-R13; EU-ETA2018-R9,A2,European Thyroid Association evidence-graded guideline,Durable remission 가능성은 TSHR-Ab와 환자 맥락에 따라 다르다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-GD-PEDIATRIC,EU,EU/EEA,GD,Pediatric GD,Pediatric Graves’ hyperthyroidism,Children and adolescents,Age- and context-specific initial or subsequent therapy,Long-term MMI/carbimazole; selected thyroidectomy or postpubertal RAI,"장기 MMI/CBZ가 mainstay; definitive therapy가 필요하면 thyroidectomy, postpubertal에서 RAI 고려",성장·발달과 장기 안전성을 고려한 biochemical control 및 선택적 definitive control,"pediatric remission, prolonged ATD use, RAI age/dose restrictions, surgery를 adult endpoint와 분리한다.",adult duration rule을 그대로 적용하지 않고 장기 medical control과 성장 맥락을 우선한다.,ATD intolerance/noncontrol이면 expert thyroidectomy; 적절한 postpubertal patient에서 RAI,"ATD toxicity, radiation age concern, surgery risks, growth/development",ETA Recommendations 47–48,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),39,EU-ETA2018-R47; EU-ETA2018-R48,A2,European Thyroid Association evidence-graded guideline,Member State별 pediatric referral/access 차이 미평가.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-GD-PREGNANCY,EU,EU/EEA,GD,GD in pregnancy,Pregnancy or pregnancy planning with Graves’ hyperthyroidism,Pregnant patients or patients planning pregnancy,Pregnancy-specific management,PTU around first trimester; switch from MMI when planning pregnancy/first trimester,MMI 사용 여성은 pregnancy planning 또는 first trimester에 PTU로 전환; RAI 후 conception 최소 6개월 연기,모체 hyperthyroidism control과 fetal exposure/teratogenic risk 최소화,"maternal biochemical control, fetal/neonatal thyroid effect, congenital-malformation risk를 분리하며 nonpregnant remission endpoint를 대입하지 않는다.",maternal control과 embryofetal risk를 함께 관리한다.,Drug intolerance/poor control 시 multidisciplinary review와 second-trimester surgery 고려,"ATD embryopathy/hepatotoxicity, uncontrolled maternal disease, fetal thyroid dysfunction","ETA Recommendations 35, 21, 22",NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),39,EU-ETA2018-R35; EU-ETA2018-R21; EU-ETA2018-R22,A2,European Thyroid Association evidence-graded guideline,국가별 product information이 추가로 적용된다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-GD-LACTATION,EU,EU/EEA,GD,GD in lactation,Lactation with Graves’ hyperthyroidism,Breastfeeding patients and infants,Lactation-specific management,MMI/carbimazole preferred over PTU in the ETA recommendation,Lactating women에게 non-lactating 환자와 같은 option을 제공하되 MMI 선호; RAI는 금기,모체 biochemical control을 유지하면서 infant drug/iodine exposure를 최소화,maternal control과 infant thyroid safety를 별도 endpoint로 취급한다; RAI는 breastfeeding과 별도 contraindication 맥락이다.,maternal biochemical control과 infant exposure를 병행 monitoring한다.,Adverse effect 또는 inadequate control 시 specialist review와 definitive-therapy timing 조정,"Infant exposure, maternal drug toxicity; RAI breast-milk exposure",ETA Recommendations 42–43 및 21,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),39,EU-ETA2018-R42; EU-ETA2018-R43; EU-ETA2018-R21,A2,European Thyroid Association evidence-graded guideline,국가별 label/dose restriction은 별도 확인 필요.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-GD-OLDER-ADULT,EU,EU/EEA,GD,GD in older adults,"Graves’ hyperthyroidism in older adults, with or without cardiac comorbidity",Older adults,Risk-adapted initial or definitive therapy,"Definitive therapy, usually RAI, after cardiac events; long-term low-dose MMI/CBZ for selected mild GD","AF, heart failure, ischemic symptoms가 hyperthyroidism으로 촉발된 경우 definitive therapy; mild GD에서는 장기 low-dose MMI/CBZ 고려",신속한 biochemical control과 atrial fibrillation/heart failure/ischemia 등 decompensation 위험 최소화,"age 자체와 comorbidity-driven risk를 분리하고, efficacy보다 안전성·안정성·adherence를 우선 해석한다.",cardiac-risk phenotype과 mild stable disease를 분리한다.,Medical instability이면 신속한 control/definitive strategy; frailty가 높으면 individualized long-term ATD,"Cardiac decompensation, treatment-induced hypothyroidism, drug/procedural toxicity",ETA Recommendations 44–45,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),39,EU-ETA2018-R44; EU-ETA2018-R45,A2,European Thyroid Association evidence-graded guideline,Older adults의 heterogeneity와 frailty를 반영해야 한다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-TED-MILD-ACTIVE,EU,EU/EEA,TED,Mild active TED,Mild active TED,Adults with mild active TED; pediatric and pregnancy evidence separate,Initial supportive/local management,"Local treatments, general risk-factor control, and 6-month selenium in selenium-deficient areas",recent-onset mild active GO에서 6개월 selenium; thyroid dysfunction/smoking 등 risk control,"ocular-surface 증상, risk factors, QoL 및 progression risk 관리","symptom/QoL improvement, activity change, progression prevention을 proptosis response나 durable remission과 합치지 않는다.",QoL·manifestation 개선과 progression prevention을 목표로 하며 regional selenium status에 의존한다.,진행 시 moderate-to-severe active pathway 재평가,"Progression under observation, selenium excess, modifiable risk persistence",EUGOGO Recommendation 7,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),135,EU-EUGOGO2021-R7,A2,EUGOGO evidence-graded guideline,Selenium-sufficient population에 동일 효과를 가정하지 않는다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-TED-ACTIVE-MODERATE-SEVERE,EU,EU/EEA,TED,Active moderate-to-severe TED,Active moderate-to-severe TED without immediate sight threat,Adults,Initial systemic/phenotype-directed therapy,IV methylprednisolone plus mycophenolate sodium/mofetil; phenotype- and severity-adapted alternatives,대부분 IVMP 0.5 g weekly×6 후 0.25 g weekly×6 (4.5 g) + mycophenolate sodium 0.72 g/day 24주; cycle IVGC ≤8 g,"inflammation, proptosis, diplopia, motility 및 QoL 중 predominant phenotype에 맞춘 개선","CAS/activity, proptosis, diplopia, composite response, QoL을 별도 endpoint로 유지하고 서로 대체하거나 cross-trial ranking하지 않는다.",EUGOGO first-line recommendation이며 inflammation/proptosis/diplopia endpoint를 별도로 본다.,"Poor response이면 second IVMP course, prednisone+cyclosporine/azathioprine, RT+GC, teprotumumab, rituximab, 또는 tocilizumab",IVGC hepatic/cardiovascular/metabolic toxicity; immunosuppression/infection; modality-specific risks,"EUGOGO Recommendations 10–12, 15, 22, 24",NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),135,EU-EUGOGO2021-R10; EU-EUGOGO2021-R11; EU-EUGOGO2021-R12; EU-EUGOGO2021-R15; EU-EUGOGO2021-R22; EU-EUGOGO2021-R24; EU-EUGOGO2021-FIRSTLINE-IVMP-MMF-REGIMEN,A2,EUGOGO evidence-graded guideline,Teprotumumab의 2021 second-line positioning은 당시 access 맥락이며 2026 authorization status를 대체하지 않는다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-TED-TEPEZZA,EU,EU/EEA,TED,Tepezza,Label- and jurisdiction-defined TED population,Adults unless the jurisdictional label states otherwise,Jurisdiction- and phenotype-dependent targeted therapy,Teprotumumab (Tepezza),"10 mg/kg initial, then 20 mg/kg every 3 weeks for 7 additional doses; total 8 infusions","IGF-1R pathway-directed TED control; endpoint는 trial/label별 proptosis, diplopia, activity, QoL로 제한","authorization scope는 efficacy magnitude, reimbursement, line-of-therapy preference와 동일하지 않다; 서로 다른 trial endpoint를 단일 순위로 합치지 않는다.",EU indication은 adults with moderate-to-severe TED; authorization이 Member State reimbursement를 보장하지 않는다.,불충분 반응 시 EUGOGO phenotype/activity 기반 alternative 또는 surgery,"Pregnancy contraindicated; hearing, hyperglycemia, IBD, infusion and other label risks; pediatric restrictions",2021 EUGOGO positioning은 historical; 2025 EU authorization은 regulator source로 업데이트했다.,EU marketing authorization valid throughout the EU from 2025-06-19 for adults with moderate-to-severe TED,Member-State-specific; EU-wide reimbursement claim을 하지 않으며 status는 국가별 unresolved,729;730;751,EU-EMA-TEPEZZA-INDICATION; EU-EMA-TEPEZZA-DOSE; EU-EMA-TEPEZZA-AUTH-DATE; EU-SMPC-TEPEZZA-INDICATION-DOSE; EU-SMPC-TEPEZZA-PEDIATRIC; EU-SMPC-TEPEZZA-PREGNANCY; NA (source 751 query-level search record has no citable text block),A1+A2+R1,EMA authorization/product information; EUGOGO historical context; official query-level access record,Member State reimbursement는 단일 EU status로 환원할 수 없다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-TED-LUMVOA,EU,EU/EEA,TED,Lumvoa,Label- or jurisdiction-status-defined TED population,Adults unless an official label states otherwise,Jurisdiction-dependent targeted therapy,Veligrotug-vvze (Lumvoa),NA (no EU-authorized regimen verified at the frozen cut),IGF-1R pathway-directed TED control; 승인된 범위 밖에서는 R&D potential과 access를 분리,"U.S. label indication, trial efficacy endpoints, non-U.S. authorization, reimbursement를 각각 분리하며 negative search를 비승인 근거로 쓰지 않는다.",U.S. development/approval evidence를 EU authorization 또는 access로 전이하지 않는다.,Available EU-authorized TED pathways 또는 clinical-trial eligibility 검토,U.S. class/label risks는 참고 가능하나 EU label이 없으므로 EU product claim으로 사용하지 않음,No current EUGOGO positioning specific to post-2026 Lumvoa approval in the curated source set,unresolved (no relevant official EMA product record identified in the documented search; this does not prove non-authorization),unresolved,747,NA (source 747 query-level search record has no citable text block),R1,Documented official-portal search record only,Negative search is not evidence of absence; official status remains unresolved.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-TED-DON,EU,EU/EEA,TED,Dysthyroid optic neuropathy (DON),Sight-threatening TED / compressive DON,Patients with threatened visual function,Emergency treatment,High-dose IV methylprednisolone followed by urgent orbital decompression if poor response,0.5–1 g IVMP daily for 3 consecutive days or every second day; poor/absent response within 1–2 weeks triggers urgent decompression,visual function을 신속히 회복·보존하고 irreversible optic-nerve injury 방지,"visual acuity, color vision, visual field, RAPD 및 decompression 필요성을 중심으로 평가하며 일반 TED composite response로 대체하지 않는다.",visual rescue endpoint가 중심이다.,Urgent orbital decompression,"Irreversible vision loss, IVGC toxicity, surgical risk",EUGOGO Recommendation 26,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),135,EU-EUGOGO2021-R26,A2,EUGOGO evidence-graded guideline,응급 referral와 center expertise가 필수이다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-TED-CHRONIC-INACTIVE,EU,EU/EEA,TED,Chronic/inactive TED,Inactive/chronic TED with stable residual sequelae,Patients with inactive disease and functional/cosmetic sequelae,Rehabilitative phase,"Rehabilitative orbital decompression, squint/strabismus surgery, and eyelid surgery",Inactive residual disease에서 staged surgery,"stable residual proptosis, strabismus/diplopia, eyelid abnormality 및 exposure를 단계적 수술로 교정",inflammatory inactivation과 rehabilitative functional/cosmetic outcome을 분리한다; inactive는 반드시 symptom-free 또는 cured를 뜻하지 않는다.,medical inactivation과 residual functional/cosmetic correction을 분리한다.,Activity가 재개되면 active pathway; stable residual deficit이면 다음 staged procedure,Surgical complications and diplopia shifts; premature surgery if instability,EUGOGO inactive-surgery statement,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),135,EU-EUGOGO2021-INACTIVE-SURGERY,A2,EUGOGO guideline summary statement,Inactive disease는 cured disease와 동의어가 아니다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
SOC-EU-TED-RELAPSED-REFRACTORY,EU,EU/EEA,TED,Relapsed/refractory TED,"Persistent active, inadequately responsive, relapsed, or recurrent TED","Patients after inadequate response, intolerance, flare, or recurrence",Second or later line,Second IVMP course or alternative immunosuppression/RT/teprotumumab/surgery,Careful ophthalmic and biochemical reassessment 후 EUGOGO Recommendation 24의 second-line options,잔존 activity/phenotype에 맞춘 재평가와 rescue 또는 modality switch,"primary nonresponse, partial response, flare during taper, post-treatment relapse, chronic residual deficit을 구분하며 서로 다른 연구의 response rate를 단순 비교하지 않는다.",failure phenotype을 재분류하고 modality를 전환한다.,Sight threat이면 DON pathway; inactive residual deficit이면 surgery,"Cumulative IVGC ≤8 g/cycle, hepatic/metabolic/infectious and modality-specific risks",EUGOGO Recommendation 24,NA (표준 치료 modality; 단일 제품 authorization 판정 대상이 아님),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),135,EU-EUGOGO2021-R24; EU-EUGOGO2021-R10,A2,EUGOGO evidence-graded guideline,Second-line 목록은 efficacy ranking이 아니다.,2026-09-11 (against frozen 2026-09-10 data cut),2026-09-10,2.0.0,NA (no additional notes)
