source_id,canonical_id_status,title,issuer_or_journal,publication_or_event_date,year,url,doi,registry_id,source_type,evidence_tier,access_depth,exact_locator_availability,locator,last_verified,r_and_d_implication,reference_text,data_cut,schema_version
17,preserved_v1+scholarly,Comparative analysis of radioactive iodine versus thyroidectomy for definitive treatment of Graves disease,Surgery,2017,2017,https://doi.org/10.1016/j.surg.2016.06.066,10.1016/j.surg.2016.06.066,NA (no registry ID),other,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_45d1ba6e79ca,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Comparative analysis of radioactive iodine versus thyroidectomy for definitive treatment of Graves disease (2017). Surgery. https://doi.org/10.1016/j.surg.2016.06.066,2026-09-10,2.0.0
18,preserved_v1+scholarly,"Comparing the Health-Related Quality of Life at Two Years After Successful Treatment of Relapsed Graves' Disease With Radiofrequency Ablation, Surgery, or Radioiodine",World Journal of Surgery,2025,2025,https://doi.org/10.1002/wjs.70035,10.1002/wjs.70035,NA (no registry ID),cohort study,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_1bc83f21fd5b,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.","Comparing the Health-Related Quality of Life at Two Years After Successful Treatment of Relapsed Graves' Disease With Radiofrequency Ablation, Surgery, or Radioiodine (2025). World Journal of Surgery. https://doi.org/10.1002/wjs.70035",2026-09-10,2.0.0
19,preserved_v1+scholarly,The Long-Term Outcome of Treatment for Graves' Hyperthyroidism,Thyroid®,2019,2019,https://doi.org/10.1089/thy.2019.0085,10.1089/thy.2019.0085,NA (no registry ID),cohort study,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_e29c6ace5d21,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",The Long-Term Outcome of Treatment for Graves' Hyperthyroidism (2019). Thyroid®. https://doi.org/10.1089/thy.2019.0085,2026-09-10,2.0.0
20,preserved_v1+scholarly,"Comparison of Anti Thyroid Drugs, Radioactive Iodine and Surgery for Graves’ Disease: A Systematic Review and Meta-Analysis",‎ InaJEMD - Indonesian Journal of Endocrinology Metabolic and Diabetes,2024,2024,https://doi.org/10.66266/a7w4n529,10.66266/a7w4n529,NA (no registry ID),meta-analysis,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_a7e8da5afacb,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.","Comparison of Anti Thyroid Drugs, Radioactive Iodine and Surgery for Graves’ Disease: A Systematic Review and Meta-Analysis (2024). ‎ InaJEMD - Indonesian Journal of Endocrinology Metabolic and Diabetes. https://doi.org/10.66266/a7w4n529",2026-09-10,2.0.0
21,preserved_v1+scholarly,"A comparison of cardiovascular disease, cancer, mortality, and Graves' ophthalmopathy following treatment for hyperthyroidism: A Bayesian network meta-analysis",World Journal of Surgery,2024,2024,https://doi.org/10.1002/wjs.12066,10.1002/wjs.12066,NA (no registry ID),meta-analysis,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_03f5817bbe19,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.","A comparison of cardiovascular disease, cancer, mortality, and Graves' ophthalmopathy following treatment for hyperthyroidism: A Bayesian network meta-analysis (2024). World Journal of Surgery. https://doi.org/10.1002/wjs.12066",2026-09-10,2.0.0
22,preserved_v1+scholarly,"Outcomes of Graves’ Disease Patients Following Antithyroid Drugs, Radioactive Iodine, or Thyroidectomy as the First-line Treatment",Annals of Surgery,2021,2021,https://doi.org/10.1097/sla.0000000000004828,10.1097/sla.0000000000004828,NA (no registry ID),NA (study type unavailable),B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_ed48c30899d6,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.","Outcomes of Graves’ Disease Patients Following Antithyroid Drugs, Radioactive Iodine, or Thyroidectomy as the First-line Treatment (2021). Annals of Surgery. https://doi.org/10.1097/sla.0000000000004828",2026-09-10,2.0.0
23,preserved_v1+scholarly,Effect of Different Therapeutic Approaches on Quality of Life of Patients with Graves’ disease: A Systematic Review and Meta-Analysis Running title: Treatment and Quality of Life in Graves’ Disease,NA (journal unavailable),2026,2026,https://doi.org/10.21203/rs.3.rs-9661309/v1,10.21203/rs.3.rs-9661309/v1,NA (no registry ID),NA (study type unavailable),B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_07036ff9cd93,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Effect of Different Therapeutic Approaches on Quality of Life of Patients with Graves’ disease: A Systematic Review and Meta-Analysis Running title: Treatment and Quality of Life in Graves’ Disease (2026). . https://doi.org/10.21203/rs.3.rs-9661309/v1,2026-09-10,2.0.0
24,preserved_v1+scholarly,Unveiling Promising Modalities and Enhancing Patient Outcomes in Graves’ Disease Treatment: A Systematic Review and Meta-Analysis,Cureus,2024,2024,https://doi.org/10.7759/cureus.60829,10.7759/cureus.60829,NA (no registry ID),NA (study type unavailable),B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_69007003f729,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Unveiling Promising Modalities and Enhancing Patient Outcomes in Graves’ Disease Treatment: A Systematic Review and Meta-Analysis (2024). Cureus. https://doi.org/10.7759/cureus.60829,2026-09-10,2.0.0
25,preserved_v1+scholarly,What Is the Best Definitive Treatment for Graves’ Disease? A Systematic Review of the Existing Literature,Annals of Surgical Oncology,2012,2012,https://doi.org/10.1245/s10434-012-2606-x,10.1245/s10434-012-2606-x,NA (no registry ID),NA (study type unavailable),B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_953a2a017d69,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",What Is the Best Definitive Treatment for Graves’ Disease? A Systematic Review of the Existing Literature (2012). Annals of Surgical Oncology. https://doi.org/10.1245/s10434-012-2606-x,2026-09-10,2.0.0
26,preserved_v1,2016 American Thyroid Association Guidelines for Diagnosis and Management of Hyperthyroidism and Other Causes of Thyrotoxicosis,American Thyroid Association,2016-10-01,2016,https://www.liebertpub.com/doi/pdf/10.1089/thy.2016.0229,10.1089/thy.2016.0229,NA (no registry ID),guideline,A2 society guideline,Acquired and hash-verified source document (application/pdf;charset=UTF-8),Yes (18 canonical exact quote anchors),numbered recommendations; exact recommendation use requires acquired full text and correction check,2026-09-11T05:22:40+00:00,Primary guideline; correction handled as a separate source. Acquisition route: pre-cut Internet Archive snapshot of the open publisher PDF; origin URL retained in url field.,American Thyroid Association. 2016 American Thyroid Association Guidelines for Diagnosis and Management of Hyperthyroidism and Other Causes of Thyrotoxicosis. 2016-10-01. https://www.liebertpub.com/doi/pdf/10.1089/thy.2016.0229,2026-09-10,2.0.0
27,preserved_v1+scholarly,Review of American Thyroid Association guidelines for diagnosis and management of hyperthyroidism and other causes of thyrotoxicosis.,Clinical and experimental thyroidology,2017,2017,https://doi.org/10.14341/ket2017345-56,10.14341/ket2017345-56,NA (no registry ID),systematic review,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_721685b25712,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Review of American Thyroid Association guidelines for diagnosis and management of hyperthyroidism and other causes of thyrotoxicosis. (2017). Clinical and experimental thyroidology. https://doi.org/10.14341/ket2017345-56,2026-09-10,2.0.0
28,preserved_v1,2025 Korean Thyroid Association Management Guidelines for Radioactive Iodine Therapy in Patients with Hyperthyroidism,Korean Thyroid Association,2025-06-24,2025,https://www.e-enm.org/upload/pdf/enm-2025-2464.pdf,10.3803/enm.2025.2464,NA (no registry ID),guideline,A2 national society guideline,Acquired and hash-verified source document (application/pdf),Yes (29 canonical exact quote anchors),recommendations 1.1.1-6.4 and recommendation summary table,2026-09-11T05:22:40+00:00,Recommendation 5.3 narrative/table wording requires explicit reconciliation.,Korean Thyroid Association. 2025 Korean Thyroid Association Management Guidelines for Radioactive Iodine Therapy in Patients with Hyperthyroidism. 2025-06-24. https://www.e-enm.org/upload/pdf/enm-2025-2464.pdf,2026-09-10,2.0.0
29,preserved_v1+scholarly,A 2023 International Survey of Clinical Practice Patterns in the Management of Graves' Disease: A Decade of Change.,The Journal of clinical endocrinology and metabolism,2024,2024,https://doi.org/10.1210/clinem/dgae222,10.1210/clinem/dgae222,NA (no registry ID),cross-sectional study,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_71754973bddf,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",A 2023 International Survey of Clinical Practice Patterns in the Management of Graves' Disease: A Decade of Change. (2024). The Journal of clinical endocrinology and metabolism. https://doi.org/10.1210/clinem/dgae222,2026-09-10,2.0.0
30,preserved_v1+scholarly,Hyperthyroidism and Other Causes of Thyrotoxicosis: Management Guidelines of the American Thyroid Association and American Association of Clinical Endocrinologists,Thyroid,2011,2011,https://doi.org/10.1089/thy.2010.0417,10.1089/thy.2010.0417,NA (no registry ID),systematic review,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_475301f7aec9,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Hyperthyroidism and Other Causes of Thyrotoxicosis: Management Guidelines of the American Thyroid Association and American Association of Clinical Endocrinologists (2011). Thyroid. https://doi.org/10.1089/thy.2010.0417,2026-09-10,2.0.0
31,preserved_v1+scholarly,Management of Graves’ hyperthyroidism: present and future,Expert Review of Endocrinology & Metabolism,2022,2022,https://doi.org/10.1080/17446651.2022.2052044,10.1080/17446651.2022.2052044,NA (no registry ID),systematic review,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_e8abed54c9bd,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Management of Graves’ hyperthyroidism: present and future (2022). Expert Review of Endocrinology & Metabolism. https://doi.org/10.1080/17446651.2022.2052044,2026-09-10,2.0.0
32,preserved_v1+scholarly,A 2011 Survey of Clinical Practice Patterns in the Management of Graves' Disease,The Journal of Clinical Endocrinology & Metabolism,2012,2012,https://doi.org/10.1210/jc.2012-2802,10.1210/jc.2012-2802,NA (no registry ID),cross-sectional study,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_0259a4d3adba,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",A 2011 Survey of Clinical Practice Patterns in the Management of Graves' Disease (2012). The Journal of Clinical Endocrinology & Metabolism. https://doi.org/10.1210/jc.2012-2802,2026-09-10,2.0.0
33,preserved_v1+scholarly,A Chinese survey on clinical practice in hyperthyroidism management: comparison with recent studies and guidelines,Endocrine Connections,2021,2021,https://doi.org/10.1530/ec-21-0340,10.1530/ec-21-0340,NA (no registry ID),cross-sectional study,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_41d3870271c6,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",A Chinese survey on clinical practice in hyperthyroidism management: comparison with recent studies and guidelines (2021). Endocrine Connections. https://doi.org/10.1530/ec-21-0340,2026-09-10,2.0.0
34,preserved_v1+scholarly,Treatment of Hyperthyroidism in Graves' Disease Complicated by Thyroid Eye Disease,The Journal of Clinical Endocrinology & Metabolism,2025,2025,https://doi.org/10.1210/clinem/dgaf009,10.1210/clinem/dgaf009,NA (no registry ID),systematic review,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_b05cb4fd0f99,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Treatment of Hyperthyroidism in Graves' Disease Complicated by Thyroid Eye Disease (2025). The Journal of Clinical Endocrinology & Metabolism. https://doi.org/10.1210/clinem/dgaf009,2026-09-10,2.0.0
35,preserved_v1+scholarly,Long-Term Antithyroid Drug Therapy in the Management of Graves’ Hyperthyroidism: An Updated Narrative Review,Endocrine Practice,2026,2026,https://doi.org/10.1016/j.eprac.2026.05.005,10.1016/j.eprac.2026.05.005,NA (no registry ID),systematic review,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_e8c8e291bf25,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Long-Term Antithyroid Drug Therapy in the Management of Graves’ Hyperthyroidism: An Updated Narrative Review (2026). Endocrine Practice. https://doi.org/10.1016/j.eprac.2026.05.005,2026-09-10,2.0.0
36,preserved_v1+scholarly,The Diagnosis and Management of Hyperthyroidism in Korea: Consensus Report of the Korean Thyroid Association,Endocrinology and Metabolism,2013,2013,https://doi.org/10.3803/enm.2013.28.4.275,10.3803/enm.2013.28.4.275,NA (no registry ID),NA (study type unavailable),B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_72177fc3019f,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",The Diagnosis and Management of Hyperthyroidism in Korea: Consensus Report of the Korean Thyroid Association (2013). Endocrinology and Metabolism. https://doi.org/10.3803/enm.2013.28.4.275,2026-09-10,2.0.0
37,preserved_v1+scholarly,Medical Treatment of Graves' Disease,International Journal of Thyroidology,2019,2019,https://doi.org/10.11106/ijt.2019.12.2.79,10.11106/ijt.2019.12.2.79,NA (no registry ID),NA (study type unavailable),B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_092a4e96dcf1,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Medical Treatment of Graves' Disease (2019). International Journal of Thyroidology. https://doi.org/10.11106/ijt.2019.12.2.79,2026-09-10,2.0.0
38,preserved_v1+scholarly,Shifting Paradigms in Graves' Disease Management: An Updated Survey of Clinical Practice and Emerging Trends,Clinical Thyroidology®,2024,2024,https://doi.org/10.1089/ct.2024;36.322-325,10.1089/ct.2024;36.322-325,NA (no registry ID),NA (study type unavailable),B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_2c520ce2e51a,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Shifting Paradigms in Graves' Disease Management: An Updated Survey of Clinical Practice and Emerging Trends (2024). Clinical Thyroidology®. https://doi.org/10.1089/ct.2024;36.322-325,2026-09-10,2.0.0
39,preserved_v1,2018 European Thyroid Association Guideline for the Management of Graves' Hyperthyroidism,European Thyroid Association,2018-07-25,2018,https://pmc.ncbi.nlm.nih.gov/articles/PMC6140607/,10.1159/000490384,NA (no registry ID),guideline,A2 society guideline,Acquired and hash-verified source document (text/html; charset=utf-8),Yes (17 canonical exact quote anchors),"recommendations 5, 7-9, 13, 21-22, 28, 44, 47-48; pregnancy/lactation and older-adult sections",2026-09-11T05:22:44+00:00,"Use biochemical control, remission, relapse, and destructive control as distinct concepts.",European Thyroid Association. 2018 European Thyroid Association Guideline for the Management of Graves' Hyperthyroidism. 2018-07-25. https://pmc.ncbi.nlm.nih.gov/articles/PMC6140607/,2026-09-10,2.0.0
40,preserved_v1,バセドウ病治療ガイドライン2019 (guideline at a glance),Japanese Society of Internal Medicine; Japan Thyroid Association guideline authors,2022-11-10,2022,https://www.jstage.jst.go.jp/article/naika/111/11/111_2279/_pdf,10.2169/naika.111.2279,NA (no registry ID),guideline_summary,A2 society-linked guideline summary,Acquired and hash-verified source document (application/pdf;charset=UTF-8),Document acquired; no canonical exact quote anchor used,BCQ1-BCQ39 summary; pages 2279-2284,2026-09-11T05:22:44+00:00,Secondary summary of the 2019 JTA guideline; primary CQ PDF is source 741.,Japanese Society of Internal Medicine; Japan Thyroid Association guideline authors. バセドウ病治療ガイドライン2019 (guideline at a glance). 2022-11-10. https://www.jstage.jst.go.jp/article/naika/111/11/111_2279/_pdf,2026-09-10,2.0.0
41,preserved_v1+scholarly,"Guidelines for the diagnosis of Graves' disease, hypothyroidism, painless thyroiditis, chronic thyroiditis (Hashimoto's thyroiditis), and subacute thyroiditis (acute phase)",Thyroid Science,2025,2025,https://doi.org/10.1016/j.thscie.2025.100032,10.1016/j.thscie.2025.100032,NA (no registry ID),NA (study type unavailable),B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_36f8d93a047c,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.","Guidelines for the diagnosis of Graves' disease, hypothyroidism, painless thyroiditis, chronic thyroiditis (Hashimoto's thyroiditis), and subacute thyroiditis (acute phase) (2025). Thyroid Science. https://doi.org/10.1016/j.thscie.2025.100032",2026-09-10,2.0.0
42,preserved_v1,2022 Update on Clinical Management of Graves Disease and Thyroid Eye Disease,Peer-reviewed authors,2022-06-01,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9174594/,10.1016/j.ecl.2021.12.004,NA (no registry ID),review,B1 peer-reviewed clinical review,Acquired and hash-verified source document (text/html; charset=utf-8),Document acquired; no canonical exact quote anchor used,GD management and TED treatment sections,2026-09-11T05:22:45+00:00,Context source; guideline or regulator preferred for normative/status claims.,Peer-reviewed authors. 2022 Update on Clinical Management of Graves Disease and Thyroid Eye Disease. 2022-06-01. https://pmc.ncbi.nlm.nih.gov/articles/PMC9174594/,2026-09-10,2.0.0
43,preserved_v1+scholarly,Appropriate duration of antithyroid drug treatment as a predictor for relapse of Graves’ disease: a systematic scoping review,Journal of Endocrinological Investigation,2022,2022,https://doi.org/10.1007/s40618-021-01730-1,10.1007/s40618-021-01730-1,NA (no registry ID),systematic review,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_a2eca8e0ca22,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Appropriate duration of antithyroid drug treatment as a predictor for relapse of Graves’ disease: a systematic scoping review (2022). Journal of Endocrinological Investigation. https://doi.org/10.1007/s40618-021-01730-1,2026-09-10,2.0.0
44,preserved_v1+scholarly,Methimazole-Induced Remission Rates in Pediatric Graves' Disease: a Systematic Review.,European journal of endocrinology,2021,2021,https://doi.org/10.1530/eje-21-0077,10.1530/eje-21-0077,NA (no registry ID),systematic review,B0 scholarly discovery metadata; claim-level appraisal required,Structured metadata and abstract,No (not an exact full-text anchor),references.jsonl citation_id=cit_660ce0bcb308,2026-09-10 (scholarly metadata capture),"Discovery/context record; quantitative, mechanistic, or comparative claims require deeper source verification.",Methimazole-Induced Remission Rates in Pediatric Graves' Disease: a Systematic Review. (2021). European journal of endocrinology. https://doi.org/10.1530/eje-21-0077,2026-09-10,2.0.0
