anchor_id,source_id,block_id,locator,raw_quote,quote_start,quote_end,source_sha256,block_text_sha256,quote_sha256,jurisdiction,authority_scope,population,disease_stage,intervention,endpoint_claim_scope,evidence_role,uncertainty,data_cut,schema_version,notes
EU-ETA2018-R42,39,S039-B00233,section:Recommendations,"42 Lactating women with GD should be offered the same treatments as non-lactating women. 1, ∅∅○○",0,96,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,f4e8c969f767cf901b21aca51af44105e70f3803aaff5a5df29798864a413410,f4e8c969f767cf901b21aca51af44105e70f3803aaff5a5df29798864a413410,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R43,39,S039-B00234,section:Recommendations,"43 MMI is recommended during lactation, given the concerns about PTU-mediated hepatotoxicity. 1, ∅∅○○",0,101,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,6d097015a78aba203bcfe10d9fd38a03a9e69c7753d8355efdf8ebcc3489061c,6d097015a78aba203bcfe10d9fd38a03a9e69c7753d8355efdf8ebcc3489061c,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R44,39,S039-B00238,section:Recommendations,"44 Older patients who have had atrial fibrillation, cardiac failure, or cardiac ischemic symptoms precipitated by hyperthyroidism should undergo definitive therapy, usually RAI. 1, ∅∅∅○",0,185,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,c9824c7d33dd29783a4c9dd7a900df9aa169c77553a301d00135e0bd6328a6b6,c9824c7d33dd29783a4c9dd7a900df9aa169c77553a301d00135e0bd6328a6b6,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R45,39,S039-B00239,section:Recommendations,"45 Long-term MMI (CBZ) should be considered as a satisfactory treatment for older individuals with mild GD. 2, ∅○○○",0,115,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,021b46dff03e3dc02409c2c1aec26b8ba98dd0314ac40ef2ca159209a6e5a659,021b46dff03e3dc02409c2c1aec26b8ba98dd0314ac40ef2ca159209a6e5a659,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R47,39,S039-B00243,section:Recommendations,"47 Long-term MMI (CBZ) should be the mainstay of treatment in children with GD. 1, ∅∅∅○",0,87,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,7f1238ec1cd234c1c18b5f1dc7b2ef133101979579430d7abf848ccbbe250db0,7f1238ec1cd234c1c18b5f1dc7b2ef133101979579430d7abf848ccbbe250db0,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R48,39,S039-B00244,section:Recommendations,"48 Thyroidectomy is the primary definitive therapy in childhood, but in postpubertal children RAI can be considered. 2, ∅∅○○",0,124,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,975abb55e8d28ac6ed943acdefb0c60d7d3715e88301cdf4d9fb9458dd6c8183,975abb55e8d28ac6ed943acdefb0c60d7d3715e88301cdf4d9fb9458dd6c8183,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R5,39,S039-B00117,section:Recommendations,"5 Patients with newly diagnosed Graves' hyperthyroidism should be treated with ATD. RAI therapy or thyroidectomy may be considered in patients who prefer this approach. 1, ∅∅∅∅",0,176,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,cb7acf3bffff9a9dff66649a8cdd0a38ad6168d358bc9a2990415e2a4d26b686,cb7acf3bffff9a9dff66649a8cdd0a38ad6168d358bc9a2990415e2a4d26b686,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R7,39,S039-B00119,section:Recommendations,"7 MMI is administered for 12–18 months then discontinued if the TSH and TSH-R-Ab levels are normal. 1, ∅∅∅∅",0,107,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,a8b38c210ba2f982b0bcddddb738cc318a8bf149068fb39eef6f2345a0706776,a8b38c210ba2f982b0bcddddb738cc318a8bf149068fb39eef6f2345a0706776,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R8,39,S039-B00120,section:Recommendations,"8 Measurement of TSH-R-Ab levels prior to stopping ATD therapy is recommended, as it aids in predicting which patients can be weaned from the medication, with normal levels indicating a greater chance of remission. 1, ∅∅∅∅",0,222,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,209198eae1258894778ae032c8fac37281f4d9e2cc22e674a5ca2b3e179bfc34,209198eae1258894778ae032c8fac37281f4d9e2cc22e674a5ca2b3e179bfc34,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-ETA2018-R9,39,S039-B00121,section:Recommendations,"9 Patients with persistently high TSH-R-Ab at 12–18 months can continue MMI therapy, repeating the TSH-R-Ab measurement after an additional 12 months, or opt for RAI or thyroidectomy. 1, ∅∅∅○",0,191,f6f2dde5c3736d144db75e4f9f61f179ef8346cfba48b69eeb1642d9d2d471fc,757f1644646985bd65b68ca017402305c3a5ac62f7c46c58c8bbcb91ea0ccaa6,757f1644646985bd65b68ca017402305c3a5ac62f7c46c58c8bbcb91ea0ccaa6,EU/EEA; international context,A2 society guideline; European Thyroid Association,"Adults unless the recommendation explicitly identifies pregnancy, lactation, older adults, or children",Graves’ hyperthyroidism; source-defined treatment context,"ATD, RAI, thyroidectomy, or source-defined management","Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-EUGOGO2021-FIRSTLINE-IVMP-MMF-REGIMEN,135,S135-B00200,section:First-line treatments,"As demonstrated by two large RCTs ( 107 , 108 ) including more than 300 patients with moderate-to-severe and active GO and involving mycophenolate and glucocorticoids, this combination therapy shows a beneficial efficacy/safety profile ( 110 ) with a statistically significant and clinically relevant higher benefit than i.v. glucocorticoid monotherapy. Hence, and as shown in Fig. 2 , the combination of i.v. methylprednisolone (moderate cumulative dose of 4.5 g over 12 weeks) + mycophenolate sodium 0.72 g per day for 24 weeks is recommended as first-line treatment for most patients with moderate-to-severe and active GO. If the enteric-coated mycophenolate sodium is not available, mycophenolate mofetil is administered (1 g of mofetil is equivalent to 0.72 g of the sodium formulation).",0,792,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,76317291520cae2d20646dfac5fd34958373574b4da1d06e902defe2bf2f6897,76317291520cae2d20646dfac5fd34958373574b4da1d06e902defe2bf2f6897,EU/EEA; international context,A2 society guideline; European Group on Graves' Orbitopathy,Patients with moderate-to-severe active GO,Active moderate-to-severe TED/GO,IV methylprednisolone plus mycophenolate,First-line regimen and dose/duration as stated,Society guideline explanatory text,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-EUGOGO2021-INACTIVE-SURGERY,135,S135-B00051,section:The 2021 European Group on Graves’ orbitopathy (EUGOGO) clinical practice guidelines for the medical management of Graves’ orbitopathy,"Rehabilitative surgery (orbital decompression, squint, and eyelid surgery) is indicated for inactive residual GO manifestations.",2010,2138,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,4e0a8bd9c29f5d74651a07c05acae0ce17c1140b66247906ba1c23f380e10394,2a6cdc2b1e8a9c55f693fa0b5b60a1e40877c0fefcba89b5994e978f3fd82a26,EU/EEA; international context,A2 society guideline; European Group on Graves' Orbitopathy,Patients with inactive residual GO,Inactive/chronic TED/GO,Staged rehabilitative orbital surgery,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Society guideline summary statement,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-EUGOGO2021-R10,135,S135-B00069,section:Introduction,"10 Cumulative dose of i.v. glucocorticoids The cumulative dose of i.v. glucocorticoids should not exceed 8.0 g for each cycle; GO patients with evidence of recent viral hepatitis, significant hepatic dysfunction, severe cardiovascular morbidity, uncontrolled hypertension, should not be administered i.v. glucocorticoids; diabetes should be well controlled before starting treatment. We strongly recommend that such treatment should only be applied in experienced centers that manage potentially serious adverse events 1, ØØØO",0,526,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,f76d6a55cb281bb4052cb96d91207c2062e741135d42e7d6e4c9170d116a0259,f76d6a55cb281bb4052cb96d91207c2062e741135d42e7d6e4c9170d116a0259,EU/EEA; international context,A2 society guideline; European Group on Graves' Orbitopathy,Patients with TED/GO in the source-defined activity and severity stratum,TED/GO; source-defined activity and severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-EUGOGO2021-R11,135,S135-B00070,section:Introduction,"11 Cumulative and single dose of i.v. glucocorticoids An intermediate dose of i.v. glucocorticoids, that is, a starting dose of 0.5 g i.v. methylprednisolone once weekly for 6 weeks, followed by 0.25 g once weekly for 6 weeks, cumulative dose 4.5 g, should be used in most cases of moderate-to-severe and active GO. 1, ØØØØ",0,323,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,00c02ebf5fad0cc7119961e5f5c6069c7590566961e6a45fdb60104b8816b4fa,00c02ebf5fad0cc7119961e5f5c6069c7590566961e6a45fdb60104b8816b4fa,EU/EEA; international context,A2 society guideline; European Group on Graves' Orbitopathy,Patients with TED/GO in the source-defined activity and severity stratum,TED/GO; source-defined activity and severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-EUGOGO2021-R12,135,S135-B00071,section:Introduction,"12 Cumulative and single dose of i.v. glucocorticoids High-dose regimen, that is, a starting dose of 0.75 g i.v. methylprednisolone once weekly for 6 weeks, followed by 0.5 g once weekly for 6 weeks, cumulative dose 7.5 g, should be reserved for the more severe cases (constant/inconstant diplopia, severe proptosis, severe soft-tissue pathology or involvement) within the moderate-to-severe and active GO spectrum 1, ØØØO",0,422,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,81c603a7695400c69536a21ffcbbfa04f964299af2ae2b344f205b074c518392,81c603a7695400c69536a21ffcbbfa04f964299af2ae2b344f205b074c518392,EU/EEA; international context,A2 society guideline; European Group on Graves' Orbitopathy,Patients with TED/GO in the source-defined activity and severity stratum,TED/GO; source-defined activity and severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-EUGOGO2021-R15,135,S135-B00074,section:Introduction,"15 Mycophenolate Mycophenolate has a positive efficacy/safety profile in patients with moderate-to-severe and active GO, both as monotherapy and in combination with i.v. glucocorticoids 1, ØØØØ",0,193,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,4fd8fc7ec8c7b15f1a58d2f0498014c36b8c1c369db9573d635785588ad9c15a,4fd8fc7ec8c7b15f1a58d2f0498014c36b8c1c369db9573d635785588ad9c15a,EU/EEA; international context,A2 society guideline; European Group on Graves' Orbitopathy,Patients with TED/GO in the source-defined activity and severity stratum,TED/GO; source-defined activity and severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-EUGOGO2021-R19,135,S135-B00078,section:Introduction,"19 Teprotumumab Very promising drug with a strong reduction of exophthalmos, diplopia, and improvement of QoL. Currently, second-line option as longer-term data, availability, affordability, costs, and need for subsequent rehabilitative surgery are pending 1, ØØØ0",0,264,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,038d9199eac59a7b7b4e1ff83b380033f1d8a42d8b3e4e56c0791ea8a1a1b884,038d9199eac59a7b7b4e1ff83b380033f1d8a42d8b3e4e56c0791ea8a1a1b884,EU/EEA; international context,A2 society guideline; European Group on Graves' Orbitopathy,Patients with TED/GO in the source-defined activity and severity stratum,TED/GO; source-defined activity and severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,Historical 2021 positioning only; do not use as evidence of 2026 authorization or access.
EU-EUGOGO2021-R22,135,S135-B00081,section:Introduction,"22 First-line treatment for moderate-to-severe and active GO Intravenous methylprednisolone in combination with oral mycophenolate sodium (or mofetil) represents the first-line treatment for moderate-to-severe and active GO 1, ØØØO",0,231,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,a9f27be59ed9b9c4ce38d242d681ba880d296650271b5d3ccf7500f153e734b3,a9f27be59ed9b9c4ce38d242d681ba880d296650271b5d3ccf7500f153e734b3,EU/EEA; international context,A2 society guideline; European Group on Graves' Orbitopathy,Patients with TED/GO in the source-defined activity and severity stratum,TED/GO; source-defined activity and severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-EUGOGO2021-R24,135,S135-B00083,section:Introduction,"24 Second-line treatments for moderate-to-severe and active GO If response to primary treatment is poor and GO is still moderate-to-severe and active, subsequent to careful ophthalmic and biochemical (liver enzymes) evaluation, the following second-line treatments should be considered: • Second course of i.v. methylprednisolone monotherapy, starting with high single doses (0.75 g) and a maximal cumulative dose of 8 g per cycle • Oral prednisone/prednisolone combined with either cyclosporine or azathioprine • Orbital radiotherapy combined with oral or i.v. glucocorticoids • Teprotumumab • Rituximab • Tocilizumab 1, ØØØO",0,626,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,d267fcf5357ce6234e452f9550728ddbd1cc2b3b9f51fdacb56d3597cb1b221b,d267fcf5357ce6234e452f9550728ddbd1cc2b3b9f51fdacb56d3597cb1b221b,EU/EEA; international context,A2 society guideline; European Group on Graves' Orbitopathy,Patients with TED/GO in the source-defined activity and severity stratum,TED/GO; source-defined activity and severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
EU-EUGOGO2021-R26,135,S135-B00085,section:Introduction,"26 Treatment of sight-threatening GO Optic neuropathy should be treated immediately with high single doses of i.v. methylprednisolone (0.5–1 g of methylprednisolone daily for either three consecutive days or more preferably on every second day), and urgent orbital decompression should be performed if response is absent or poor within 1–2 weeks. Recent eyeball subluxation should undergo orbital decompression as soon as possible 1, ØØØO",0,438,9683e7fddf89aa41c597c5dc822ffe2be18e3e126cc3d4df409ed0f6a3a8eb28,1c8e950bbcc16fbab621fe9cf7fd2fa65637763c814e4fb03dbf70e3032d49c9,1c8e950bbcc16fbab621fe9cf7fd2fa65637763c814e4fb03dbf70e3032d49c9,EU/EEA; international context,A2 society guideline; European Group on Graves' Orbitopathy,Patients with TED/GO in the source-defined activity and severity stratum,TED/GO; source-defined activity and severity,Source-defined TED treatment,"Only the recommendation, regimen, status, or limitation stated in the exact quote",Evidence-graded society recommendation,Retrieved source supports bounded claims only; failed search never proves absence.,2026-09-10,2.0.0,NA (no additional notes)
