trial_id,disposition,primary_interpretation,efficacy,safety,durability,source_ids,caveats,n_randomized_registry_flow,analysis_denominator_note,source_anchor,data_cut,curation_version,verification_status
NCT03938545,negative_primary_pd_positive,ASCEND GO-2의 Week 13 clinical primary comparisons는 nonsignificant였지만 IgG/anti-TSHR PD는 dose-related였다.,"PRR: 680 mg 30.0% (p=0.1993), 340 mg 30.8% (p=0.1016), 255 mg 0% (p=0.2963), placebo 8.3%.",Registry event-level safety 참조.,없음.,ClinicalTrials.gov; NCT03938545,Program review로 premature unblinding; demonstrated mechanistic failure로 단정하지 않음.,65,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT03938545,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT04583735,positive_randomized,chronic/low-activity TED에서도 teprotumumab은 Week 24 proptosis를 유의하게 개선했다.,"LS change −2.41 vs −0.92 mm; difference −1.48 (95% CI −2.28 to −0.69), p=0.0004.",SAE 1/41 vs 1/20; hyperglycemia 6/41 vs 2/20; hearing impairment 9/41 vs 2/20; muscle spasms 17/41 vs 2/20.,공개 randomized efficacy는 Week 24 중심.,[190]; ClinicalTrials.gov; NCT04583735,"Sponsor participated in design, analysis, interpretation, and writing.",62,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT04583735,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT04737330,negative_futility,secukinumab은 futility로 종료되었고 Week 16 response가 관찰되지 않았다.,Overall response 0/14 vs 0/14; CAS response 0/14 vs 3/14; PRR 0/14 vs 0/14.,Safety concern 없이 futility termination.,없음.,ClinicalTrials.gov; NCT04737330,Clear negative/futility trial.,28,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT04737330,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT05176639,positive_randomized,THRIVE에서 veligrotug은 Week 15에 큰 proptosis/overall response 효과를 보였다.,"PRR 70.0% vs 5.26%, p<0.0001; proptosis LS change −2.90 vs −0.48 mm; overall response 66.83% vs 5.26%; diplopia response 59.07% vs 19.89%.",SAE 7/75 vs 0/38; muscle spasms 34/75 vs 3/38; infusion reaction 13/75 vs 2/38; hearing-related symptoms present.,Week 52에서 initial responders의 70%가 PRR 유지; evaluable follow-up subset 21/30.,[230]; [713]; ClinicalTrials.gov; NCT05176639,Five infusions; durability denominator와 responder conditioning을 명시.,113,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT05176639,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT05276063,positive_high_dose,linsitinib high dose는 Week 24 PRR와 overall response를 유의하게 개선했으나 low dose primary comparison은 유의하지 않았다.,"PRR 150 mg BID 51.7% vs 18.8%, p=0.01, RD 0.345 (95% CI 0.098–0.593); 75 mg 38.9%, p=0.090; GO-QOL difference +10.776, p=0.002.","SAE 2/29 high, 0/30 low, 1/31 placebo; high-dose GI/fatigue/transaminase signals.",Week 24 beyond durability 공개 제한.,[714]; [715]; ClinicalTrials.gov; NCT05276063,One-sided alpha 2.5%; mixed Graves/Hashimoto etiology but all had TED.,90,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT05276063,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT05907668,single_arm_biochemical,batoclimab+background ATD에서 biochemical control 및 ATD reduction 신호가 있었지만 remission/cure 증거는 아니다.,Week 24 biochemical response without ATD increase 68.8% (95% CI 50.0–83.9); normalized FT3/FT4 with ATD ≤50% baseline 53.1%; off ATD with normalized FT3/FT4 31.3% (95% CI 16.1–50.0).,SAE 3/32; all 32 nonserious AEs; frequent injection-site and edema events.,Off-ATD normalization은 해당 시점의 상태이며 durable remission 추적 아님.,ClinicalTrials.gov; NCT05907668; [683],"Single arm; abstract n=25는 earlier cut, registry n=32를 canonical로 사용.",NA (not randomized),Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT05907668,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT05987423,negative_primary_secondary_signals,SatraGO-1 active-TED Week 24 primary PRR는 실패했다.,"Active PRR 49.0% vs 31.2%, p=0.0715; RD 17.9 points (95.03% CI −1.6 to 37.3). Some secondary activity endpoints nominally positive.",SAE 3/67 vs 2/62; clear imbalance 없음.,Week 24 quantitative results only.,[699]; [701]; ClinicalTrials.gov; NCT05987423,Secondary p-values nominal/multiplicity-sensitive; primary failure를 우선.,131,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT05987423,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT06021054,positive_randomized,THRIVE-2에서 chronic TED Week 15 PRR가 크게 개선되었다.,"PRR 57.28% vs 8.22%, p<0.0001; RD 49.06 points (95% CI 37.71–60.40); proptosis LS change −2.35 vs −0.46 mm; diplopia response 55.57% vs 24.70%.",Through Week 52: death 1/125 vs 0/63; SAE 10/125 vs 3/63; registry는 death cause/relatedness 미기재.,Efficacy durability beyond Week 15 not posted.,[678]; [679]; [712]; ClinicalTrials.gov; NCT06021054,Death causality를 추론하지 않음; no peer-reviewed full Phase 3 paper found.,188,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT06021054,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT06106828,positive_randomized,SatraGO-2는 active-TED Week 24 primary PRR를 충족했다.,"Active PRR 52.9% vs 23.4%, p=0.0011; RD 28.9 points (95.03% CI 11.5–46.2); adjusted proptosis difference −1.02 mm, p=0.0027.","SAE 2/64 vs 3/62; ALT 6/64 vs 1/62, AST 4/64 vs 1/62, neutrophils decreased 4/64 vs 1/62.",No efficacy durability beyond Week 24 posted.,[699]; [701]; ClinicalTrials.gov; NCT06106828,Secondary p-values multiplicity caution; satralizumab TED indication pending at cutoff.,127,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT06106828,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT06179875,selected_open_label,feeder-trial nonresponders의 open-label treatment 결과이며 randomized comparative efficacy로 해석할 수 없다.,Week 15 PRR 21.1% prior-veligrotug nonresponders vs 51.2% prior-placebo receiving first veligrotug; proptosis change −1.235 vs −2.418 mm.,SAE 0/57 vs 1/82; deaths 0.,Week 15 within-cohort only.,ClinicalTrials.gov; NCT06179875,Selected cohorts; live cut confirmed enrollment 139 and no registry drift.,NA (not randomized),Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT06179875,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT06226545,mixed_small_randomized,LASN01은 Week 37 CAS response 신호를 보였지만 PRR는 placebo와 유사했다.,"CAS response 15/17 (88.2%) vs 4/9 (44.4%), p=0.028; PRR 6/17 (35.3%) vs 3/9 (33.3%).","Any TEAE 4/9, 6/8, 6/9; treatment-related 2/9, 2/8, 3/9; randomized groups SAE 0.",Week 37; long-term durability 확립 안 됨.,[422]; [521]; ClinicalTrials.gov; NCT06226545,n=26 randomized; p-test unnamed; sponsor-funded/authored; post hoc proptosis exclusions highly exploratory.,41,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT06226545,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
NCT06384547,active_dose_uncontrolled,STRIVE는 placebo 없는 active-dose safety comparison으로 efficacy 또는 dose response를 확립하지 못한다.,"Observed Week 15 proptosis change −2.3 mm (10 mg/kg) vs −2.1 mm (3 mg/kg), uncontrolled.",Week 52 TEAE 159/173 vs 55/58; SAE 10/173 vs 3/58; deaths 0; class-like muscle spasm/hearing/reproductive events.,Safety through Week 52; comparative efficacy durability 아님.,ClinicalTrials.gov; NCT06384547,No placebo; efficacy inference 제한.,231,Endpoint-specific denominators are preserved in efficacy/safety text; registry STARTED N is not substituted for analyzed N.,Frozen ClinicalTrials.gov protocol/results record: NCT06384547,2026-09-10,v2 (v1 exact interpretation retained),PASS_RETAINED
