relative_path,bytes,sha256
qa/citation_source_resolution_validation_v2.json,984,54614714c96dd67beef1cdb8a9fd8d172e76f51baca7d6f5593c9a3d7bb6af03
qa/claim_evidence_anchor_validation_v2.json,991,4e713ce4282cceddd7f7dda3636c3186d305b082180fbe3daa261dd7d7eac7c7
qa/claim_report_validation_first_pass_v2.json,1547,d6ccfa117814df1ad147662d6009c816ab421c04402597023f7b085343e7b395
qa/claim_report_validation_v2.json,1719,f4230be166451cf7f96ebd2bc62154f2d84d9f1b0d35bf2d4e07a073133ebabd
qa/deterministic_release_validation_v2.json,988,7587f63dc3c99138dfb1abcf18447ca9481f7b622bdfb001bf814de17c1a6ba8
qa/execution_log_freeze_v2.json,387,42a69ead9f40a927150ac20ac7ff0f9cc2dc4e2f5c2acd1ae3abb1f4e25f92f9
qa/legacy_web_source_recovery_v2.csv,10268,e76806aa0863341ee251b6ebdbee1bfb41ae869f0a69e26baae35d9c96c6e08c
qa/presentation_compatibility_validation_v2.txt,127,09d885f778d39f2a726013a9ca193afe705616dd01d70685d0d7dd80253cbc08
qa/presentation_publish_verification_v2.json,611,1bf17775894d579a7ed709ef861c61fba96efb3180eefef606bfc5461985e6f0
qa/presentation_structural_validation_v2.json,330,12557a7c98d548ab7e48e5ea890de4bf9f4e4b51374cf97e2b18f52297d88b32
qa/reference_validation_v2.json,1426,8e805b32f7ed363a6fed228f59738841b0c01280561a69ce05d816c8f8ec980f
qa/schema_registry_validation_v2.json,125,8b1159739becfdbcb647eb653506293e7351bbce3bae9c8a8ab789bc9b3407a8
qa/semantic_release_audit_v2.json,927,4893c67db3838af9ca5172b66e55a01420726c9b7b744a38aaae5daf0993d016
qa/soc_outcomes_validation_v2.json,595,ef30d3f1f1678fa1647fea7ace5dd047e11413e9ba0ec74b80d2ef3500cec37e
qa/source_anchor_validation_v2.json,761,857ba11a3093ac129a46a9a9670b733b9595e9ee6fdcd37512fc341a99c48c60
qa/trial_registry_source_validation_v2.json,905,70336b3a2148fc928b8bf32a8cdb83ee007073a5bf019d91eec9559d05e6a899
qa/v1_immutability_validation_v2.json,9621,efb6e94cc4f8ac00f929902d3795d2b0ecc3af611aaf8841af0384f1d2659313
reference_catalog_v2.csv,436610,0db3a3f3bfd98b822bb90527027ad251d34a29f673ab36f071f81eb853257759
reference_v2.md,110069,c44fefe1371c0f5a5d1ba6e05a0968e3cf1ed6b60da66f6310e41fd812b4c9ee
report_graves_ted_landscape_v2.md,36851,c072c0187de99214bfc9a4e1aabbe25a372167c78ed0663f7c1fdc22b350dd86
result_trial_curation_v2.csv,17486,4be5f2aa06c22ce2687ab86612c6afab15ff7f63aa009e344358477c8fbb3e30
schema_registry_v2.json,9634,470fd17c2cc17966c857fbcca6ac57b26961c1fe064a052d9f171026dee553f3
slide_source_map_v2.csv,20757,cd1fcae2377301ab5c2d995770e716fa5cd428ae2354d51e52b0037fe190dce6
soc_outcomes_v2.csv,112576,1c4368b060910b9bf6da76972d32651dbb17f642a755cfafdfe8e0384dda176b
source_anchors_v2.csv,173728,d58a5c22ab79ea912bbf68c10314e3154da14f62eb39640eaa4c81331c2f3438
source_retrieval_ledger_v2.csv,38442,6d9537204b36c6d24f827051e4a89280d0ef69333e04bf638ecddb2b5baed569
trial_registry_sources_v2.csv,173179,51ea909fa0f500a8d7be78c2105bcd2fb7f16147c69c18141901e384bdb9b915
trial_result_evidence_anchors_v2.csv,40087,e6abf4fb4cbbd2571ef97623e531c22e73f473e551607808f7dab9de98a110e2
update_manifest_v2.json,11627,10c27a6cb0869fad01f225791952c7aa601a79cd053c5fbf00efac899be3e772
v1_baseline_hashes_v2.csv,2989,1c81d81d148c1e7b1581f111e60effb3dcb93ccc13de050e9ad27808f8e9f2f0
visual_QA2.csv,10459,1a121d536a406b9d85549efeaff93beeff402ce26165543d4c896a6f73a5a9d4
