claim_id,section,claim_text,population_context,source_id,source_url,source_type,evidence_tier,access_depth,anchor_or_locator,first_pass_stance,blind_verdict,blind_failure_mode,discrepancy_resolution,core_claim,last_verified,notes
TRIAL-015,Clinical outcomes,chronic/low-activity TED에서도 teprotumumab은 Week 24 proptosis를 유의하게 개선했다.,NCT04583735,[190]; ClinicalTrials.gov; NCT04583735,https://clinicaltrials.gov/study/NCT04583735,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,"Sponsor participated in design, analysis, interpretation, and writing.",True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-016,Clinical outcomes,secukinumab은 futility로 종료되었고 Week 16 response가 관찰되지 않았다.,NCT04737330,ClinicalTrials.gov; NCT04737330,https://clinicaltrials.gov/study/NCT04737330,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Clear negative/futility trial.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-017,Clinical outcomes,THRIVE에서 veligrotug은 Week 15에 큰 proptosis/overall response 효과를 보였다.,NCT05176639,[230]; [713]; ClinicalTrials.gov; NCT05176639,https://clinicaltrials.gov/study/NCT05176639,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Five infusions; durability denominator와 responder conditioning을 명시.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-018,Clinical outcomes,linsitinib high dose는 Week 24 PRR와 overall response를 유의하게 개선했으나 low dose primary comparison은 유의하지 않았다.,NCT05276063,[714]; [715]; ClinicalTrials.gov; NCT05276063,https://clinicaltrials.gov/study/NCT05276063,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,One-sided alpha 2.5%; mixed Graves/Hashimoto etiology but all had TED.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-019,Clinical outcomes,batoclimab+background ATD에서 biochemical control 및 ATD reduction 신호가 있었지만 remission/cure 증거는 아니다.,NCT05907668,ClinicalTrials.gov; NCT05907668; [683],https://clinicaltrials.gov/study/NCT05907668,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,"Single arm; abstract n=25는 earlier cut, registry n=32를 canonical로 사용.",True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-020,Clinical outcomes,SatraGO-1 active-TED Week 24 primary PRR는 실패했다.,NCT05987423,[699]; [701]; ClinicalTrials.gov; NCT05987423,https://clinicaltrials.gov/study/NCT05987423,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Secondary p-values nominal/multiplicity-sensitive; primary failure를 우선.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-021,Clinical outcomes,THRIVE-2에서 chronic TED Week 15 PRR가 크게 개선되었다.,NCT06021054,[678]; [679]; [712]; ClinicalTrials.gov; NCT06021054,https://clinicaltrials.gov/study/NCT06021054,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Death causality를 추론하지 않음; no peer-reviewed full Phase 3 paper found.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-022,Clinical outcomes,SatraGO-2는 active-TED Week 24 primary PRR를 충족했다.,NCT06106828,[699]; [701]; ClinicalTrials.gov; NCT06106828,https://clinicaltrials.gov/study/NCT06106828,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Secondary p-values multiplicity caution; satralizumab TED indication pending at cutoff.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-023,Clinical outcomes,feeder-trial nonresponders의 open-label treatment 결과이며 randomized comparative efficacy로 해석할 수 없다.,NCT06179875,ClinicalTrials.gov; NCT06179875,https://clinicaltrials.gov/study/NCT06179875,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,Selected cohorts; live cut confirmed enrollment 139 and no registry drift.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-024,Clinical outcomes,LASN01은 Week 37 CAS response 신호를 보였지만 PRR는 placebo와 유사했다.,NCT06226545,[422]; [521]; ClinicalTrials.gov; NCT06226545,https://clinicaltrials.gov/study/NCT06226545,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,n=26 randomized; p-test unnamed; sponsor-funded/authored; post hoc proptosis exclusions highly exploratory.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
TRIAL-025,Clinical outcomes,STRIVE는 placebo 없는 active-dose safety comparison으로 efficacy 또는 dose response를 확립하지 못한다.,NCT06384547,ClinicalTrials.gov; NCT06384547,https://clinicaltrials.gov/study/NCT06384547,Registry/publication,Trial-level,Official registry plus cited full text where available,Primary outcome and adverse-events modules; publication results tables where cited,support,entailed,,No placebo; efficacy inference 제한.,True,2026-09-10,Within-agent blinded second-pass verdict; not independent validation.
REG-001,Regulatory,FDA approved Lumvoa on 2026-06-26 for TED regardless of activity or duration.,US regulatory,[373]; [726]; [727],https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/761530Orig1s000lbl.pdf,Official/primary,Official or primary,Full record,USPI §§1–2 and approval letter,support,entailed,,Approval date and indication directly stated.,True,2026-09-10,Within-agent blinded second-pass; not third-party validation.
REG-002,Regulatory,Lumvoa recommended dosage is 10 mg/kg IV every 3 weeks for five infusions.,US regulatory,[373],https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/761530Orig1s000lbl.pdf,Official/primary,Official or primary,Full record,USPI §2.1,support,entailed,,Direct label statement.,True,2026-09-10,Within-agent blinded second-pass; not third-party validation.
REG-003,Regulatory,Satralizumab was not FDA-approved for TED as of the data cut; one Phase 3 study met and one missed its primary endpoint.,US regulatory,[701]; [699],,Official/primary,Official or primary,Full record,Sponsor regulatory update and congress results,support,entailed,,Pending-status wording bounded to data cut.,True,2026-09-10,Within-agent blinded second-pass; not third-party validation.
PIPE-001,Direct TSHR,LCA-0321 entered an ongoing recruiting first-in-human Phase 1 SAD/MAD study planned for 48 participants.,GD adults,[1]; CTIS 2025-524053-14-00,https://ctis.eu/,Official/primary,Official or primary,Full record,CTIS trial summary,support,entailed,,No human efficacy claimed.,True,2026-09-10,Within-agent blinded second-pass; not third-party validation.
PIPE-002,Direct TSHR,MER511 is a Phase 1 IV/SC precision biologic designed to clear anti-TSHR antibodies and inhibit their antigen-specific B-cell sources while sparing TSH signaling.,GD adults,[6]; [7]; [8],https://clinicaltrials.gov/study/NCT07305818,Official/primary,Official or primary,Full record,Registry plus sponsor/preclinical mechanism,support,entailed,,Human efficacy and durability remain unknown.,True,2026-09-10,Within-agent blinded second-pass; not third-party validation.
METHOD-001,Methods,The frozen ClinicalTrials.gov cut contains 324 records; 193 were triaged and 168 included.,All registry records,registry_cut_reconciliation_2026-09-10.json,,Official/primary,Official or primary,Full record,Frozen snapshot and adjudication files,support,entailed,,Counts validated programmatically.,True,2026-09-10,Within-agent blinded second-pass; not third-party validation.
