trial_id,registry,registry_url,asset,asset_aliases,sponsor,owner_at_cutoff,indication,mechanism_class,phase,overall_status,start_date,primary_completion_date,regions,population,ted_activity_severity,n_enrolled,n_randomized,n_analyzed,design,blinding,arms,dose_route_schedule_duration,background_soc_combination,comparator,primary_endpoints,secondary_endpoints,analysis_timepoint,efficacy_results,safety_results,followup_durability,publication_urls,evidence_tier,source_ids,access_depth,last_verified,notes
NCT01893450,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01893450,Methimazole; Bromocriptine; Pentoxifylline,,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,Active TED,Antithyroid drug,NA,TERMINATED,2008-06,2013-06,Mexico,Adults primary,active_unspecified_severity,31,,,RANDOMIZED PARALLEL,SINGLE,"methimazole; methimazole, bromocriptine; pentoxifylline",See official registry record,Registry-defined; verify per protocol,See arms,Proptosis,Clinical activity score; Quality of life,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT01893450,official_registry_full_record,2026-09-10,Efficacy demonstrated on a preliminary analysis; disease-directed standard-of-care or regimen-optimization trial
NCT02339142,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT02339142,External beam radiotherapy; intravenous corticosteroids (methylprednisolone),,University of British Columbia,University of British Columbia,Active TED,Glucocorticoid,PHASE4,UNKNOWN,2015-01,2018-12,,Adults primary,active_unspecified_severity,100,,,RANDOMIZED PARALLEL,SINGLE,Combined radiotherapy and iv corticosteroid; iv Corticosteroid,See official registry record,Registry-defined; verify per protocol,See arms,"New onset dysthyroid optic neuropathy; Progression in ocular motility dysfunction (Improvement or worsening in motility scores and ocular restriction, and need for strabismus surgery); Participants escaping trial (Number of participants leaving trial because of onset of optic neuropathy or primary strabismus)",VISA inflammatory scores; Quality of life scores; Proptosis and eyelid retraction changes; Supplemental iv corticosteroid requirements,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT02339142,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial
NCT02378298,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT02378298,Rituximab; Iv Methylprednisolone; peroral methylprednisolone and Methotrexate,,Göteborg University,Göteborg University,Active TED,CD20 B-cell depletion,PHASE4,COMPLETED,2011-12,2019-09-03,Sweden,Adults primary,active_unspecified_severity,38,,,NON_RANDOMIZED FACTORIAL,NONE,Non-responder RTX+MTX; Relapse RTX+MTX; Relapse po GC+MTX; Responders without relapse; Methylprednisolone iv,See official registry record,Registry-defined; verify per protocol,See arms,Clinical Activity Score (a Composite Measure of Ophthalmological Signs and Symptoms),,Posted result timepoint,"Week 68 CAS 3.0, 2.58, 2.14 across non-equivalent cohorts; inferential statistics 없음.",Registry arm-level safety 참조.,Week 68 관찰이나 selection/confounding이 큼.,,Registry result + manual curation,ClinicalTrials.gov; NCT02378298,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial; Nonrandomized selected cohorts; cohort 간 우열 비교 금지.
NCT02393183,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT02393183,ASTED; Selenium,,Iran University of Medical Sciences,Iran University of Medical Sciences,Active TED,Selenium / antioxidant,PHASE2; PHASE3,WITHDRAWN,2019-07-15,2022-06-15,Iran,Adults primary,active_unspecified_severity,0,,,RANDOMIZED PARALLEL,DOUBLE,ASTED; Selenium; Placebo,See official registry record,Registry-defined; verify per protocol,See arms,Change of total eye score (NOSPECS severity score),Change of score of thyroid eye disease Quality of life questionnaire (TED-QOL),Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT02393183,official_registry_full_record,2026-09-10,Do not access to the drug; disease-directed standard-of-care or regimen-optimization trial
NCT02535975,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT02535975,Metformin,,Yonsei University,Yonsei University,Active TED,Other / mechanism not registry-specified,NA,UNKNOWN,2014-12,2019-10,South Korea,Adults primary,active_unspecified_severity,80,,,RANDOMIZED PARALLEL,QUADRUPLE,Metformin; Placebo,See official registry record,Registry-defined; verify per protocol,See arms,Change of Clinical Activity Score (CAS) score; Change of NOSPECS score,adverse events; Quality of life questionnaires (GO-QoL),Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT02535975,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
NCT02845336,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT02845336,Celecoxib; artificial tears,,Johns Hopkins University,Johns Hopkins University,Active TED,Other / mechanism not registry-specified,PHASE2,TERMINATED,2017-03-05,2019-06-30,United States,Adults primary,active_unspecified_severity,7,,,RANDOMIZED PARALLEL,NONE,Celecoxib; Control,See official registry record,Registry-defined; verify per protocol,See arms,Thyroid Eye Disease Clinical Activity Score,Proptosis as Measured in Millimeters With an Exophthalmometer (Right Eye); Proptosis as Measured in Millimeters With an Exophthalmometer (Left Eye); Number of Participants With Ocular Misalignment; Number of Participants With Ocular Misalignment; Number of Participants With Ocular Misalignment,Posted result timepoint,"7 enrolled; outcome에는 treated 1명, control 0명; 해당 1명 CAS/proptosis change 0.",해석 가능한 비교 없음.,없음.,,Registry result + manual curation,ClinicalTrials.gov; NCT02845336,official_registry_full_record,2026-09-10,Poor enrollment; disease-directed drug/biologic/supplement trial; Mechanistic failure로 분류하지 않음.
NCT03098225,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03098225,Orbital radiotherapy; Methylprednisolone,,University of Pisa,University of Pisa,Active TED,Glucocorticoid,PHASE4,NOT_YET_RECRUITING,2024-01-01,2026-03-31,,Adults primary,active_unspecified_severity,120,,,RANDOMIZED PARALLEL,SINGLE,Radiotherapy; No Radiotherapy,See official registry record,Registry-defined; verify per protocol,See arms,Comparison of overall GO outcome determined using a composite evaluation,Comparison of overall GO outcome determined using a composite evaluation; Comparison of a disease specific quality of life questionnaire (GO-QoL); GO relapse; Comparison of a disease specific quality of life questionnaire (GO-QoL),Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT03098225,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial
NCT03461211,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03461211,Teprotumumab,,Amgen,Amgen,Active TED,IGF-1R inhibition,PHASE3,COMPLETED,2018-04-16,2020-06-08,Germany; Italy; United States,Adults primary,active_unspecified_severity,51,,,NA SINGLE_GROUP,NONE,Teprotumumab,See official registry record,Registry-defined; verify per protocol,See arms,Percentage of Participants With a ≥ 2 mm Reduction From Baseline in the Study Eye Without Deterioration of Proptosis in the Fellow Eye at Week 24,Percentage of Participants With a European Group on Graves' Ophthalmopathy (EUGOGO) Amended Clinical Activity Score (CAS) Total Score of 0 or 1 in the Study Eye at Week 24; Change in Proptosis From Baseline to Week 24; Percentage of Participants Who Were Diplopia Responders at Week 24; Mean Change From Baseline to Week 24 in the Graves' Ophthalmopathy Quality of Life (GO-QoL) Questionnaire Overall Score,Posted result timepoint,Prior placebo crossover PRR 33/37; original nonresponders retreatment 2/5; flare retreatment 5/8.,Mild hearing impairment 보고; 새로운 safety signal 없음.,Crossover responders 중 Week 48 PRR maintenance 29/32.,"Xin Y, Xu F, Gao Y, Bhatt N, Chamberlain J, Sile S, Hammel S, Holt RJ, Ramanathan S. Pharmacokinetics and Exposure-Response Relationship of Teprotumumab, an Insulin-Like Growth Factor-1 Receptor-Blocking Antibody, in Thyroid Eye Disease. Clin Pharmacokinet. 2021 Aug;60(8):1029-1040. doi: 10.1007/s40262-021-01003-3. Epub 2021 Mar 26.",Registry result + manual curation,[191]; ClinicalTrials.gov; NCT03461211,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial; Randomized comparator가 아닌 selected open-label extension.
NCT03891043,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03891043,Selenium,,Instituto de Oftalmología Fundación Conde de Valenciana,Instituto de Oftalmología Fundación Conde de Valenciana,Active TED,Selenium / antioxidant,NA,COMPLETED,2015-08,2016-04,,Adults primary,active_unspecified_severity,33,,,RANDOMIZED FACTORIAL,DOUBLE,"Group A, Placebo group; Group B, Selenium group",See official registry record,Registry-defined; verify per protocol,See arms,Clinical Activity Score (CAS),,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,,Official registry protocol,ClinicalTrials.gov; NCT03891043,official_registry_full_record,2026-09-10,disease-directed standard-of-care or regimen-optimization trial
NCT04311606,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04311606,Sub-tenon injection of saline followed by a sub-tenon injection of aflibercept; Sub-tenon injection of hyaluronidase (HA) followed by a sub-tenon injection of aflibercept; Sub-tenon injection of hyaluronidase (HA) alone,,Massachusetts Eye and Ear Infirmary,Massachusetts Eye and Ear Infirmary,Active TED,VEGF inhibition,PHASE2,COMPLETED,2020-11-02,2024-12-17,United States,Adults primary,active_unspecified_severity,11,,,RANDOMIZED PARALLEL,DOUBLE,Saline and aflibercept; Hyaluronidase and aflibercept; Hyaluronidase alone,See official registry record,Registry-defined; verify per protocol,See arms,Primary Outcome: Safety,Secondary Outcome: Safety; Secondary Outcome: Change in Clinical Activity; Secondary Outcome: Change in Ocular Muscle; Secondary Outcome: Change in Proptosis measured by exophthalmometry; Secondary Outcome: Change in Proptosis by CT scan,Protocol-defined,No posted in-scope efficacy result at cutoff.,No manually curated public result at cutoff.,Not established from posted results.,"Wong LL, Lee NG, Amarnani D, Choi CJ, Bielenberg DR, Freitag SK, D'Amore PA, Kim LA. Orbital Angiogenesis and Lymphangiogenesis in Thyroid Eye Disease: An Analysis of Vascular Growth Factors with Clinical Correlation. Ophthalmology. 2016 Sep;123(9):2028-36. doi: 10.1016/j.ophtha.2016.05.052. Epub 2016 Jul 14.; Smith TJ, Kahaly GJ, Ezra DG, Fleming JC, Dailey RA, Tang RA, Harris GJ, Antonelli A, Salvi M, Goldberg RA, Gigantelli JW, Couch SM, Shriver EM, Hayek BR, Hink EM, Woodward RM, Gabriel K, Magni G, Douglas RS. Teprotumumab for Thyroid-Associated Ophthalmopathy. N Engl J Med. 2017 May 4;376(18):1748-1761. doi: 10.1056/NEJMoa1614949.; Min L, Vaidya A, Becker C. Thyroid autoimmunity and ophthalmopathy related to melanoma biological therapy. Eur J Endocrinol. 2011 Feb;164(2):303-7. doi: 10.1530/EJE-10-0833. Epub 2010 Nov 18.; Kajdaniuk D, Marek B, Niedziolka-Zielonka D, Foltyn W, Nowak M, Sieminska L, Borgiel-Marek H, Glogowska-Szelag J, Ostrowska Z, Drozdz L, Kos-Kudla B. Transforming growth factor beta1 (TGFbeta1) and vascular endothelial growth factor (VEGF) in the blood of healthy people and patients with Graves' orbitopathy--a new mechanism of glucocorticoids action? Endokrynol Pol. 2014;65(5):348-56. doi: 10.5603/EP.2014.0048.; Bock F, Onderka J, Dietrich T, Bachmann B, Kruse FE, Paschke M, Zahn G, Cursiefen C. Bevacizumab as a potent inhibitor of inflammatory corneal angiogenesis and lymphangiogenesis. Invest Ophthalmol Vis Sci. 2007 Jun;48(6):2545-52. doi: 10.1167/iovs.06-0570.; Mourits MP, Koornneef L, Wiersinga WM, Prummel MF, Berghout A, van der Gaag R. Clinical criteria for the assessment of disease activity in Graves' ophthalmopathy: a novel approach. Br J Ophthalmol. 1989 Aug;73(8):639-44. doi: 10.1136/bjo.73.8.639.; Nagy JA, Vasile E, Feng D, Sundberg C, Brown LF, Detmar MJ, Lawitts JA, Benjamin L, Tan X, Manseau EJ, Dvorak AM, Dvorak HF. Vascular permeability factor/vascular endothelial growth factor induces lymphangiogenesis as well as angiogenesis. J Exp Med. 2002 Dec 2;196(11):1497-506. doi: 10.1084/jem.20021244.; Cursiefen C, Maruyama K, Jackson DG, Streilein JW, Kruse FE. Time course of angiogenesis and lymphangiogenesis after brief corneal inflammation. Cornea. 2006 May;25(4):443-7. doi: 10.1097/01.ico.0000183485.85636.ff.",Official registry protocol,ClinicalTrials.gov; NCT04311606,official_registry_full_record,2026-09-10,disease-directed drug/biologic/supplement trial
