blind_order,blind_id,adjudication_batch,claim_id,claim_type,blind_verdict,blind_failure_mode,adjudication_rationale,evidence_reviewed,precheck_status,resolution,source_ids,exact_anchors,canonical_artifact,canonical_row_ids,blind_packet_sha256,review_date,data_cut,review_independence
11,BLIND-0011,BATCH-01,ASSET-010,complete_asset_inventory_row,support,support,"For Felzartamab, every displayed identity/indication/target/stage/status/tier/confidence field matched the canonical asset row, its row hash, and resolved source IDs.",sources=918 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=Felzartamab;row_sha256=61edf6dd6c911afb98ef12c747fd9c7f13cbf523f6c6213ec752c8fe525d17d8 | canonical=pipeline_assets_v2.csv::asset=Felzartamab,PASS,NA (no correction required),918,CANONICAL:pipeline_assets_v2.csv::asset=Felzartamab;row_sha256=61edf6dd6c911afb98ef12c747fd9c7f13cbf523f6c6213ec752c8fe525d17d8,pipeline_assets_v2.csv,asset=Felzartamab,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
12,BLIND-0012,BATCH-01,METHOD-019,internal_methodological_statement,support,support,"Recomputed and retained 11 TERMINATED, 5 WITHDRAWN, 1 SUSPENDED trials and 4 target-unverified/registry-unspecified assets.",sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:clinical_trials_v2.csv + pipeline_assets_v2.csv::trials: overall_status in TERMINATED/WITHDRAWN/SUSPENDED | assets: target startswith 'Not ' | canonical=clinical_trials_v2.csv + pipeline_assets_v2.csv::trials: overall_status in TERMINATED/WITHDRAWN/SUSPENDED; assets: target startswith 'Not ',PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:clinical_trials_v2.csv + pipeline_assets_v2.csv::trials: overall_status in TERMINATED/WITHDRAWN/SUSPENDED | assets: target startswith 'Not ',clinical_trials_v2.csv + pipeline_assets_v2.csv,trials: overall_status in TERMINATED/WITHDRAWN/SUSPENDED; assets: target startswith 'Not ',bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
13,BLIND-0013,BATCH-01,REG-US-TEPEZZA-ACCESS,regional_reimbursement_access_status,support,support,"For SOC-US-TED-TEPEZZA, access text/value matched the canonical SoC field and the claim-specific access/query source subset; authorization and access remained separate.",sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-US-TED-TEPEZZA;field=reimbursement_access | canonical=soc_outcomes_v2.csv::soc_id=SOC-US-TED-TEPEZZA; field=reimbursement_access,PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-US-TED-TEPEZZA;field=reimbursement_access,soc_outcomes_v2.csv,soc_id=SOC-US-TED-TEPEZZA; field=reimbursement_access,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
14,BLIND-0014,BATCH-01,METHOD-002,internal_inventory_count,support,support,Recomputed inventory value 193 from qa_summary.json at registry.triaged; frozen artifact hash and claim value matched.,sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:qa_summary.json::registry.triaged | canonical=qa_summary.json::registry.triaged,PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:qa_summary.json::registry.triaged,qa_summary.json,registry.triaged,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
15,BLIND-0015,BATCH-01,ASSET-041,complete_asset_inventory_row,support,support,"For Tocilizumab, every displayed identity/indication/target/stage/status/tier/confidence field matched the canonical asset row, its row hash, and resolved source IDs.",sources=772; 821; 847; 878 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=Tocilizumab;row_sha256=1716acfae4823a571b87c821bf5988cf2a94a2e0b9fb2b96058ff9271b2e8b16 | canonical=pipeline_assets_v2.csv::asset=Tocilizumab,PASS,NA (no correction required),772; 821; 847; 878,CANONICAL:pipeline_assets_v2.csv::asset=Tocilizumab;row_sha256=1716acfae4823a571b87c821bf5988cf2a94a2e0b9fb2b96058ff9271b2e8b16,pipeline_assets_v2.csv,asset=Tocilizumab,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
16,BLIND-0016,BATCH-01,METHOD-006,internal_status_count,support,support,Recounted the status-specific trial subset as 66; claim text/value and frozen clinical-trial artifact hash matched.,sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:clinical_trials_v2.csv::field=overall_status | value=COMPLETED | canonical=clinical_trials_v2.csv::field=overall_status; value=COMPLETED,PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:clinical_trials_v2.csv::field=overall_status | value=COMPLETED,clinical_trials_v2.csv,field=overall_status; value=COMPLETED,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
17,BLIND-0017,BATCH-01,METHOD-015,randomization_semantics_count,support,support,"Recomputed this randomization-reporting category as 17 from registry_allocation, n_randomized, and randomization_basis; no enrollment substitution was introduced.","sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:clinical_trials_v2.csv::fields=registry_allocation,n_randomized,randomization_basis | canonical=clinical_trials_v2.csv::fields=registry_allocation,n_randomized,randomization_basis",PASS,NA (no correction required),NA (internal canonical evidence),"CANONICAL:clinical_trials_v2.csv::fields=registry_allocation,n_randomized,randomization_basis",clinical_trials_v2.csv,"fields=registry_allocation,n_randomized,randomization_basis",bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
18,BLIND-0018,BATCH-01,TRIAL-022-INTERPRETATION,trial_primary_interpretation,support,support,"For NCT06106828, the primary interpretation/disposition matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=849 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06106828 | canonical=result_trial_curation_v2.csv::trial_id=NCT06106828; field=primary_interpretation,PASS,NA (no correction required),849,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06106828,result_trial_curation_v2.csv,trial_id=NCT06106828; field=primary_interpretation,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
19,BLIND-0019,BATCH-01,SOC-CONFLICT-KR-RAI,source_conflict_disclosure,support,support,"Recommendation 5.3 narrative says prophylaxis 'may be considered', while Table 3 says 'Steroid prophylaxis recommended'. Both exact wordings are retained and the discrepancy is disclosed without changing the clinical conclusion.","sources=28 | exact_anchors=SOURCE_ANCHOR:KR-KTA2025-RAI-R5.3-NARRATIVE; SOURCE_ANCHOR:KR-KTA2025-RAI-R5.3-TABLE | canonical=source_anchors_v2.csv::anchors=KR-KTA2025-RAI-R5.3-NARRATIVE,KR-KTA2025-RAI-R5.3-TABLE",PASS,NA (conclusion-neutral Severity 3 discrepancy retained),28,SOURCE_ANCHOR:KR-KTA2025-RAI-R5.3-NARRATIVE; SOURCE_ANCHOR:KR-KTA2025-RAI-R5.3-TABLE,source_anchors_v2.csv,"anchors=KR-KTA2025-RAI-R5.3-NARRATIVE,KR-KTA2025-RAI-R5.3-TABLE",bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
20,BLIND-0020,BATCH-01,TRIAL-015-SAFETY,trial_safety_result,support,support,"For NCT04583735, the safety field matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=817 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT04583735 | canonical=result_trial_curation_v2.csv::trial_id=NCT04583735; field=safety,PASS,NA (no correction required),817,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT04583735,result_trial_curation_v2.csv,trial_id=NCT04583735; field=safety,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
21,BLIND-0021,BATCH-01,SOC-FRAME-001,internal_soc_coverage,support,support,Recomputed 75 rows as five regions with 15 categories each; canonical hash and coverage claim matched.,sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:soc_outcomes_v2.csv::all rows | region_code×category | canonical=soc_outcomes_v2.csv::all rows; region_code×category,PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:soc_outcomes_v2.csv::all rows | region_code×category,soc_outcomes_v2.csv,all rows; region_code×category,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
22,BLIND-0022,BATCH-01,ASSET-047,complete_asset_inventory_row,support,support,"For WP1302, every displayed identity/indication/target/stage/status/tier/confidence field matched the canonical asset row, its row hash, and resolved source IDs.",sources=854 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=WP1302;row_sha256=f4c0ec8eb4a9fff3296c8a224c3aa1d8037178cfc637b3d7cec69f3ae6c5ad7e | canonical=pipeline_assets_v2.csv::asset=WP1302,PASS,NA (no correction required),854,CANONICAL:pipeline_assets_v2.csv::asset=WP1302;row_sha256=f4c0ec8eb4a9fff3296c8a224c3aa1d8037178cfc637b3d7cec69f3ae6c5ad7e,pipeline_assets_v2.csv,asset=WP1302,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
23,BLIND-0023,BATCH-01,DIRECT-MER-EVIDENCE-BOUNDARY,direct_program_mechanism_or_status,support,support,"The NEXUS protocol anchor lists safety, tolerability, PK, PD, and immunogenicity objectives, and frozen NCT07305818 has no posted results. The non-establishment statement is limited to the frozen package.",sources=7; 898 | exact_anchors=DIRECT_ANCHOR:MER511-NEXUS-AGE-PKPD; DIRECT_ANCHOR:MER511-NEXUS-RECRUITING; CANONICAL:clinical_trials_v2.csv::trial_id=NCT07305818;has_posted_results=No | canonical=claim_evidence_anchors_v2.csv::DIRECT_ANCHOR:MER511-NEXUS-AGE-PKPD;DIRECT_ANCHOR:MER511-NEXUS-RECRUITING;CANONICAL:clinical_trials_v2.csv::trial_id=NCT07305818;has_posted_results=No,PASS,NA (no correction required),7; 898,DIRECT_ANCHOR:MER511-NEXUS-AGE-PKPD; DIRECT_ANCHOR:MER511-NEXUS-RECRUITING; CANONICAL:clinical_trials_v2.csv::trial_id=NCT07305818;has_posted_results=No,claim_evidence_anchors_v2.csv,DIRECT_ANCHOR:MER511-NEXUS-AGE-PKPD;DIRECT_ANCHOR:MER511-NEXUS-RECRUITING;CANONICAL:clinical_trials_v2.csv::trial_id=NCT07305818;has_posted_results=No,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
24,BLIND-0024,BATCH-01,TRIAL-011-EFFICACY,trial_efficacy_result,support,support,"For NCT03298867, the efficacy field matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=807 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT03298867 | canonical=result_trial_curation_v2.csv::trial_id=NCT03298867; field=efficacy,PASS,NA (no correction required),807,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT03298867,result_trial_curation_v2.csv,trial_id=NCT03298867; field=efficacy,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
25,BLIND-0025,BATCH-01,ASSET-043,complete_asset_inventory_row,support,support,"For TOUR006, every displayed identity/indication/target/stage/status/tier/confidence field matched the canonical asset row, its row hash, and resolved source IDs.",sources=848 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=TOUR006;row_sha256=fcc28e5dd767a2b521ce2acc35ad59d8450bab794ed7c2269936a509f79e2965 | canonical=pipeline_assets_v2.csv::asset=TOUR006,PASS,NA (no correction required),848,CANONICAL:pipeline_assets_v2.csv::asset=TOUR006;row_sha256=fcc28e5dd767a2b521ce2acc35ad59d8450bab794ed7c2269936a509f79e2965,pipeline_assets_v2.csv,asset=TOUR006,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
26,BLIND-0026,BATCH-02,TRIAL-022-SAFETY,trial_safety_result,support,support,"For NCT06106828, the safety field matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=849 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06106828 | canonical=result_trial_curation_v2.csv::trial_id=NCT06106828; field=safety,PASS,NA (no correction required),849,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06106828,result_trial_curation_v2.csv,trial_id=NCT06106828; field=safety,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
27,BLIND-0027,BATCH-02,TRIAL-003-INTERPRETATION,trial_primary_interpretation,support,support,"For NCT01269749, the primary interpretation/disposition matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=769 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT01269749 | canonical=result_trial_curation_v2.csv::trial_id=NCT01269749; field=primary_interpretation,PASS,NA (no correction required),769,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT01269749,result_trial_curation_v2.csv,trial_id=NCT01269749; field=primary_interpretation,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
28,BLIND-0028,BATCH-02,ASSET-037,complete_asset_inventory_row,support,support,"For SHR-1314, every displayed identity/indication/target/stage/status/tier/confidence field matched the canonical asset row, its row hash, and resolved source IDs.",sources=833 | exact_anchors=CANONICAL:pipeline_assets_v2.csv::asset=SHR-1314;row_sha256=646f66804a8fe65633317315a28b373218bba404d836db4ea8f1c39373d4ec56 | canonical=pipeline_assets_v2.csv::asset=SHR-1314,PASS,NA (no correction required),833,CANONICAL:pipeline_assets_v2.csv::asset=SHR-1314;row_sha256=646f66804a8fe65633317315a28b373218bba404d836db4ea8f1c39373d4ec56,pipeline_assets_v2.csv,asset=SHR-1314,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
29,BLIND-0029,BATCH-02,ENDPOINT-001,analytical_endpoint_definition,support,support,This is an operational endpoint definition applied across the frozen contract and SoC table: on-treatment FT4/FT3 normalization is kept distinct from treatment-free remission.,sources=NA (internal canonical evidence) | exact_anchors=CANONICAL:plan2.md | clinical_trials_v2.csv | soc_outcomes_v2.csv::frozen endpoint-semantics contract | clinical_trials.primary_endpoints | soc_outcomes.endpoint_semantics | canonical=plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv::frozen endpoint-semantics contract; clinical_trials.primary_endpoints; soc_outcomes.endpoint_semantics,PASS,NA (no correction required),NA (internal canonical evidence),CANONICAL:plan2.md | clinical_trials_v2.csv | soc_outcomes_v2.csv::frozen endpoint-semantics contract | clinical_trials.primary_endpoints | soc_outcomes.endpoint_semantics,plan2.md; clinical_trials_v2.csv; soc_outcomes_v2.csv,frozen endpoint-semantics contract; clinical_trials.primary_endpoints; soc_outcomes.endpoint_semantics,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
30,BLIND-0030,BATCH-02,TRIAL-025-SAFETY,trial_safety_result,support,support,"For NCT06384547, the safety field matched the approved curation row; curation-row, clinical-trial-row, and frozen-registry-document hashes all matched, with posted-result status verified.",sources=859 | exact_anchors=TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06384547 | canonical=result_trial_curation_v2.csv::trial_id=NCT06384547; field=safety,PASS,NA (no correction required),859,TRIAL_RESULT_ANCHOR:TRIAL-RESULT-NCT06384547,result_trial_curation_v2.csv,trial_id=NCT06384547; field=safety,bd6555815600e9877c817d5e15e3c2c626bbb6789847c9cbc4111e63ca00df81,2026-09-11,2026-09-10,"Same coordinator, stance-hidden second pass; within-agent bias reduction, not independent validation."
