blind_order,blind_id,claim_id,claim_type,machine_status,checks_total,checks_failed,failed_checks,evidence_locator,source_ids,exact_anchor_count,evidence_digest,claim_text,value
11,BLIND-0011,SOC-CONFLICT-KR-RAI,source_conflict_disclosure,PASS,6,0,NA (no failed structural checks),"source_anchors_v2.csv::anchors=KR-KTA2025-RAI-R5.3-NARRATIVE,KR-KTA2025-RAI-R5.3-TABLE",28,2,"KR-KTA2025-RAI-R5.3-NARRATIVE: 5.3. In patients with inactive moderate-to-severe TED, prophylactic 
corticosteroid therapy may be considered during RAI treatment 
when add || KR-KTA2025-RAI-R5.3-TABLE: Inactive No steroid prophylaxis 
required
Consider steroid 
prophylaxis
No steroid prophylaxis 
required
Steroid prophylaxis 
recommended","Korean RAI Recommendation 5.3은 narrative의 ‘may be considered’와 Table 3의 ‘Steroid prophylaxis recommended’를 모두 보존하며, strength discrepancy를 conclusion-neutral Severity 3로 공개한다.","Korean RAI Recommendation 5.3은 narrative의 ‘may be considered’와 Table 3의 ‘Steroid prophylaxis recommended’를 모두 보존하며, strength discrepancy를 conclusion-neutral Severity 3로 공개한다."
12,BLIND-0012,METHOD-019,internal_methodological_statement,PASS,6,0,NA (no failed structural checks),clinical_trials_v2.csv + pipeline_assets_v2.csv::trials: overall_status in TERMINATED/WITHDRAWN/SUSPENDED; assets: target startswith 'Not ',NA (internal canonical evidence),1,CANONICAL:clinical_trials_v2.csv + pipeline_assets_v2.csv::trials: overall_status in TERMINATED/WITHDRAWN/SUSPENDED | assets: target startswith 'Not ',"TERMINATED 11개, WITHDRAWN 5개, SUSPENDED 1개 trial과 target-unverified/registry-unspecified asset 4개를 inventory에 유지했다.","TERMINATED 11개, WITHDRAWN 5개, SUSPENDED 1개 trial과 target-unverified/registry-unspecified asset 4개를 inventory에 유지했다."
13,BLIND-0013,RND-FRAME-001,internal_rd_scoring_definition,PASS,7,0,NA (no failed structural checks),"pipeline_assets_v2.csv::fields=potential_driver_specificity_0_3,potential_durability_0_3,potential_selectivity_0_3,potential_translatability_0_3,potential_developability_0_3,weighted_potential_0_3,r_and_d_score_scope",NA (internal canonical evidence),1,"CANONICAL:pipeline_assets_v2.csv::fields=potential_driver_specificity_0_3,potential_durability_0_3,potential_selectivity_0_3,potential_translatability_0_3,potential_developability_0_3,weighted_potential_0_3,r_and_d_score_scope","R&D potential은 driver proximity, potential durability, selectivity, translational/PD tractability, developability를 합성한 hypothesis-weighted 0–3 score이며 임상 성공 확률, 투자 등급 또는 cross-trial efficacy ranking이 아니다.","R&D potential은 driver proximity, potential durability, selectivity, translational/PD tractability, developability를 합성한 hypothesis-weighted 0–3 score이며 임상 성공 확률, 투자 등급 또는 cross-trial efficacy ranking이 아니다."
14,BLIND-0014,METHOD-002,internal_inventory_count,PASS,6,0,NA (no failed structural checks),qa_summary.json::registry.triaged,NA (internal canonical evidence),1,CANONICAL:qa_summary.json::registry.triaged,사전 정의된 scope로 193개 record를 audit triage했다.,193
15,BLIND-0015,ASSET-023,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=LCA-0321,1; 2,1,CANONICAL:pipeline_assets_v2.csv::asset=LCA-0321;row_sha256=d3f83cca2442583eef2496263861fa58cb9fc373d4923b6d67bc0f7887b7c559,"LCA-0321: indication=GD; TED; target=anti-TSHR autoantibodies; highest_stage=Phase 1; status=Ongoing, recruiting; tier=Core; evidence_confidence=Low.","Phase 1 | Ongoing, recruiting | Low"
16,BLIND-0016,METHOD-006,internal_status_count,PASS,7,0,NA (no failed structural checks),clinical_trials_v2.csv::field=overall_status; value=COMPLETED,NA (internal canonical evidence),1,CANONICAL:clinical_trials_v2.csv::field=overall_status | value=COMPLETED,COMPLETED status trial은 66개였다.,66
17,BLIND-0017,METHOD-015,randomization_semantics_count,PASS,6,0,NA (no failed structural checks),"clinical_trials_v2.csv::fields=registry_allocation,n_randomized,randomization_basis",NA (internal canonical evidence),1,"CANONICAL:clinical_trials_v2.csv::fields=registry_allocation,n_randomized,randomization_basis",Randomized trials with posted participant flow: 17개; n_randomized는 first-period participant-flow STARTED 합계로 정의했다.,17
18,BLIND-0018,TRIAL-021-DURABILITY,trial_durability_result_or_limit,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT06021054; field=durability,845,1,TRIAL-RESULT-NCT06021054: THRIVE-2에서 chronic TED Week 15 PRR가 크게 개선되었다.,NCT06021054: Efficacy durability beyond Week 15 not posted.,Efficacy durability beyond Week 15 not posted.
19,BLIND-0019,TRIAL-022-SAFETY,trial_safety_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT06106828; field=safety,849,1,TRIAL-RESULT-NCT06106828: SatraGO-2는 active-TED Week 24 primary PRR를 충족했다.,"NCT06106828: SAE 2/64 vs 3/62; ALT 6/64 vs 1/62, AST 4/64 vs 1/62, neutrophils decreased 4/64 vs 1/62.","SAE 2/64 vs 3/62; ALT 6/64 vs 1/62, AST 4/64 vs 1/62, neutrophils decreased 4/64 vs 1/62."
20,BLIND-0020,ASSET-002,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Allogeneic CD19/BCMA CAR-T,884; 893,1,CANONICAL:pipeline_assets_v2.csv::asset=Allogeneic CD19/BCMA CAR-T;row_sha256=c880f030057d4251c8b04e09d59031ae74bd6a7f196117714ad3a107abae1da0,Allogeneic CD19/BCMA CAR-T: indication=GD / autoimmune hyperthyroidism; target=CD19/BCMA; highest_stage=Highest registered phase: EARLY_PHASE1; status=Registered statuses: RECRUITING; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: EARLY_PHASE1 | Registered statuses: RECRUITING | Low (registry-level completeness row; not an efficacy judgment)
21,BLIND-0021,TRIAL-015-SAFETY,trial_safety_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT04583735; field=safety,817,1,TRIAL-RESULT-NCT04583735: chronic/low-activity TED에서도 teprotumumab은 Week 24 proptosis를 유의하게 개선했다.,NCT04583735: SAE 1/41 vs 1/20; hyperglycemia 6/41 vs 2/20; hearing impairment 9/41 vs 2/20; muscle spasms 17/41 vs 2/20.,SAE 1/41 vs 1/20; hyperglycemia 6/41 vs 2/20; hearing impairment 9/41 vs 2/20; muscle spasms 17/41 vs 2/20.
22,BLIND-0022,ASSET-044,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Unspecified immunosuppressive agent,826,1,CANONICAL:pipeline_assets_v2.csv::asset=Unspecified immunosuppressive agent;row_sha256=7469022e3b1f29c4c16ae7aba9b17d44ab04805a0848ddec6e37aa4db625be4a,"Unspecified immunosuppressive agent: indication=TED, activity/severity not registry-specified; target=Not registry-specified; highest_stage=Highest registered phase: NA; status=Registered statuses: UNKNOWN; tier=Watchlist; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).",Highest registered phase: NA | Registered statuses: UNKNOWN | Low (registry-level completeness row; not an efficacy judgment)
23,BLIND-0023,SOC-FRAME-001,internal_soc_coverage,PASS,6,0,NA (no failed structural checks),soc_outcomes_v2.csv::all rows; region_code×category,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::all rows | region_code×category,Regional SoC matrix는 5개 region 각각에 15개 category를 유지해 총 75개 row를 포함한다.,Regional SoC matrix는 5개 region 각각에 15개 category를 유지해 총 75개 row를 포함한다.
24,BLIND-0024,TRIAL-011-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT03298867; field=primary_interpretation,807,1,TRIAL-RESULT-NCT03298867: OPTIC에서 teprotumumab은 Week 24 proptosis response를 크게 높였다.,NCT03298867: OPTIC에서 teprotumumab은 Week 24 proptosis response를 크게 높였다.,positive_randomized
25,BLIND-0025,DIRECT-LCA-EVIDENCE-BOUNDARY,direct_program_mechanism_or_status,PASS,6,0,NA (no failed structural checks),claim_evidence_anchors_v2.csv::DIRECT_ANCHOR:LCA0321-SPONSOR-DESIGN;DIRECT_ANCHOR:LCA0321-CTIS-PHASE-STATUS;DIRECT_ANCHOR:LCA0321-CTIS-SAD-MAD-TITLE,1; 2,3,"LCA0321-SPONSOR-DESIGN: LCA-0321 is designed to specifically bind and rapidly eliminate the disease-causing Thyroid Stimulating Hormone Receptor (TSHR) autoantibodi || LCA0321-CTIS-PHASE-STATUS: 2025-524053-14-00 Protocol LCA-0321-01 Human pharmacology (Phase I) - First administration to humans Ongoing, recruiting || LCA0321-CTIS-SAD-MAD-TITLE: # Phase 1 Single Ascending and Multiple Ascending Dose Study with LCA-0321","Frozen evidence package에는 LCA-0321의 human efficacy, immunogenicity, autoantibody rebound, normal TSH physiology preservation, TED–biochemical concordance 또는 off-treatment durability를 확립한 human result가 포함되지 않았다.","Frozen evidence package에는 LCA-0321의 human efficacy, immunogenicity, autoantibody rebound, normal TSH physiology preservation, TED–biochemical concordance 또는 off-treatment durability를 확립한 human result가 포함되지 않았다."
26,BLIND-0026,TRIAL-022-EFFICACY,trial_efficacy_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT06106828; field=efficacy,849,1,TRIAL-RESULT-NCT06106828: SatraGO-2는 active-TED Week 24 primary PRR를 충족했다.,"NCT06106828: Active PRR 52.9% vs 23.4%, p=0.0011; RD 28.9 points (95.03% CI 11.5–46.2); adjusted proptosis difference −1.02 mm, p=0.0027.","Active PRR 52.9% vs 23.4%, p=0.0011; RD 28.9 points (95.03% CI 11.5–46.2); adjusted proptosis difference −1.02 mm, p=0.0027."
27,BLIND-0027,TRIAL-003-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT01269749; field=primary_interpretation,769,1,TRIAL-RESULT-NCT01269749: pediatric RAI/ATD 연구지만 posted outcome-measurement row가 없어 efficacy 또는 remission을 추론할 수 없다.,NCT01269749: pediatric RAI/ATD 연구지만 posted outcome-measurement row가 없어 efficacy 또는 remission을 추론할 수 없다.,no_posted_efficacy
28,BLIND-0028,TRIAL-009-EFFICACY,trial_efficacy_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT02973802; field=efficacy,800,1,TRIAL-RESULT-NCT02973802: ATX-GD-59 Phase 1에서 thyroid/antibody biomarker 개선 신호가 있었지만 remission proof는 아니다.,NCT02973802: Week 22: TBII −0.6602 IU/L; TSAb −54 %SRR; FT3 −14.19%; FT4 −14.54%; TSH +0.309 mIU/L.,Week 22: TBII −0.6602 IU/L; TSAb −54 %SRR; FT3 −14.19%; FT4 −14.54%; TSH +0.309 mIU/L.
29,BLIND-0029,ENDPOINT-001,analytical_endpoint_definition,PASS,6,0,NA (no failed structural checks),soc_outcomes_v2.csv::field=endpoint_semantics across 75 regional rows,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::field=endpoint_semantics across 75 regional rows,Biochemical control은 치료 중 FT4/FT3가 정상화된 상태이며 off-treatment remission과 동일하지 않다.,NA (not a scalar claim)
30,BLIND-0030,TRIAL-025-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT06384547; field=primary_interpretation,859,1,TRIAL-RESULT-NCT06384547: STRIVE는 placebo 없는 active-dose safety comparison으로 efficacy 또는 dose response를 확립하지 못한다.,NCT06384547: STRIVE는 placebo 없는 active-dose safety comparison으로 efficacy 또는 dose response를 확립하지 못한다.,active_dose_uncontrolled
31,BLIND-0031,TRIAL-012-DURABILITY,trial_durability_result_or_limit,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT03461211; field=durability,809,1,TRIAL-RESULT-NCT03461211: OPTIC-X는 prior-placebo crossover와 selected retreatment/nonresponder cohorts에서 추가 response를 보였다.,NCT03461211: Crossover responders 중 Week 48 PRR maintenance 29/32.,Crossover responders 중 Week 48 PRR maintenance 29/32.
32,BLIND-0032,TRIAL-025-SAFETY,trial_safety_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT06384547; field=safety,859,1,TRIAL-RESULT-NCT06384547: STRIVE는 placebo 없는 active-dose safety comparison으로 efficacy 또는 dose response를 확립하지 못한다.,NCT06384547: Week 52 TEAE 159/173 vs 55/58; SAE 10/173 vs 3/58; deaths 0; class-like muscle spasm/hearing/reproductive events.,Week 52 TEAE 159/173 vs 55/58; SAE 10/173 vs 3/58; deaths 0; class-like muscle spasm/hearing/reproductive events.
33,BLIND-0033,SOC-FRAME-004,analytical_unresolved_status_boundary,PASS,6,0,NA (no failed structural checks),"soc_outcomes_v2.csv::fields=authorization_status_scope,reimbursement_access,uncertainty; unresolved semantics",NA (internal canonical evidence),1,"CANONICAL:soc_outcomes_v2.csv::fields=authorization_status_scope,reimbursement_access,uncertainty | unresolved semantics",unresolved는 documented official-source pass에서 positive official evidence를 확정하지 못했다는 뜻이며 ‘not authorized’ 또는 ‘not reimbursed’를 의미하지 않는다.,unresolved는 documented official-source pass에서 positive official evidence를 확정하지 못했다는 뜻이며 ‘not authorized’ 또는 ‘not reimbursed’를 의미하지 않는다.
34,BLIND-0034,REG-KR-TEPEZZA-AUTH,regional_authorization_status,PASS,9,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-KR-TED-TEPEZZA; field=authorization_status_scope,745,1,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-KR-TED-TEPEZZA;field=authorization_status_scope,South Korea Tepezza authorization: unresolved (no relevant official MFDS/NEDrug product record identified; this does not prove non-authorization),unresolved (no relevant official MFDS/NEDrug product record identified; this does not prove non-authorization)
35,BLIND-0035,ASSET-032,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Rilzabrutinib,880,1,CANONICAL:pipeline_assets_v2.csv::asset=Rilzabrutinib;row_sha256=cd567645a8657db4845de069ab1f8f04e975b9786fe6c00e516f0e66647e5f4c,Rilzabrutinib: indication=Active TED; target=BTK; highest_stage=Highest registered phase: PHASE2; status=Registered statuses: RECRUITING; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE2 | Registered statuses: RECRUITING | Low (registry-level completeness row; not an efficacy judgment)
36,BLIND-0036,TRIAL-017-SAFETY,trial_safety_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT05176639; field=safety,829,1,TRIAL-RESULT-NCT05176639: THRIVE에서 veligrotug은 Week 15에 큰 proptosis/overall response 효과를 보였다.,NCT05176639: SAE 7/75 vs 0/38; muscle spasms 34/75 vs 3/38; infusion reaction 13/75 vs 2/38; hearing-related symptoms present.,SAE 7/75 vs 0/38; muscle spasms 34/75 vs 3/38; infusion reaction 13/75 vs 2/38; hearing-related symptoms present.
37,BLIND-0037,ASSET-014,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=IBI3031,619; 913,1,CANONICAL:pipeline_assets_v2.csv::asset=IBI3031;row_sha256=2223939c18838bc09a67543e59661384d1c1950d99c136b0b5b96c277cd49340,IBI3031: indication=TED; target=IGF-1R and TSHR; highest_stage=Phase 1; status=Recruiting/early; tier=Core-adjacent; evidence_confidence=Low.,Phase 1 | Recruiting/early | Low
38,BLIND-0038,TRIAL-FRAME-001,internal_trial_reporting_boundary,PASS,6,0,NA (no failed structural checks),"result_trial_curation_v2.csv::all 25 rows; fields=disposition,efficacy,safety,durability,caveats",NA (internal canonical evidence),1,"CANONICAL:result_trial_curation_v2.csv::all 25 rows | fields=disposition,efficacy,safety,durability,caveats","Result-bearing 25개 trial을 positive/negative 이분법으로 축약하지 않고 disposition, efficacy, safety, durability와 caveat를 분리했다.","Result-bearing 25개 trial을 positive/negative 이분법으로 축약하지 않고 disposition, efficacy, safety, durability와 caveat를 분리했다."
39,BLIND-0039,TRIAL-024-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT06226545; field=primary_interpretation,853,1,TRIAL-RESULT-NCT06226545: LASN01은 Week 37 CAS response 신호를 보였지만 PRR는 placebo와 유사했다.,NCT06226545: LASN01은 Week 37 CAS response 신호를 보였지만 PRR는 placebo와 유사했다.,mixed_small_randomized
40,BLIND-0040,ASSET-016,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=IMVT-1402,875; 882; 896,1,CANONICAL:pipeline_assets_v2.csv::asset=IMVT-1402;row_sha256=82db253cb9d50df59a60563b08f39b3974ad0e717a205f696b47c951982fd413,IMVT-1402: indication=GD / autoimmune hyperthyroidism; target=FcRn; highest_stage=Highest registered phase: PHASE2; status=Registered statuses: RECRUITING; ENROLLING_BY_INVITATION; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE2 | Registered statuses: RECRUITING; ENROLLING_BY_INVITATION | Low (registry-level completeness row; not an efficacy judgment)
41,BLIND-0041,ASSET-SUMMARY-TARGET-UNKNOWN,internal_asset_retention_count,PASS,7,0,NA (no failed structural checks),pipeline_assets_v2.csv::field=target startswith 'Not ',NA (internal canonical evidence),1,CANONICAL:pipeline_assets_v2.csv::field=target startswith 'Not ',"Publicly or registry-unverified target label을 가진 asset 4개도 inventory에 유지했다: KHN939, SCTT11, Technetium-99 methylene diphosphonate (99Tc-MDP), Unspecified immunosuppressive agent.",4
42,BLIND-0042,ASSET-040,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Teprotumumab,190; 191; 274; 780; 807; 809; 817; 823; 855; 860; 869; 873; 885; 895; 899; 907,1,CANONICAL:pipeline_assets_v2.csv::asset=Teprotumumab;row_sha256=fb3a63174e22fbb733c118b9bdf3cfc461f41d710a1cd3b3866217727ac21080,Teprotumumab: indication=TED (US); target=IGF-1R; highest_stage=Approved US; status=Approved; tier=Comparator; evidence_confidence=High for TED.,Approved US | Approved | High for TED
43,BLIND-0043,SOC-FRAME-002,analytical_soc_boundary,PASS,6,0,NA (no failed structural checks),"soc_outcomes_v2.csv::categories=Adult ATD,Adult RAI,Adult thyroidectomy",NA (internal canonical evidence),1,"CANONICAL:soc_outcomes_v2.csv::categories=Adult ATD,Adult RAI,Adult thyroidectomy","GD의 Adult ATD, Adult RAI, Adult thyroidectomy는 각 region에서 별도 pathway로 유지되며 biochemical control, destructive/surgical control, remission을 합치지 않는다.","GD의 Adult ATD, Adult RAI, Adult thyroidectomy는 각 region에서 별도 pathway로 유지되며 biochemical control, destructive/surgical control, remission을 합치지 않는다."
44,BLIND-0044,REG-US-TEPEZZA-ACCESS,regional_reimbursement_access_status,PASS,9,0,NA (no failed structural checks),soc_outcomes_v2.csv::soc_id=SOC-US-TED-TEPEZZA; field=reimbursement_access,NA (internal canonical evidence),1,CANONICAL:soc_outcomes_v2.csv::soc_id=SOC-US-TED-TEPEZZA;field=reimbursement_access,United States Tepezza reimbursement/access: unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요),unresolved (본 curated source set에서 region-wide reimbursement/coverage를 공식 근거로 확정하지 않음; 개별 payer·기관 확인 필요)
45,BLIND-0045,ASSET-030,complete_asset_inventory_row,PASS,8,0,NA (no failed structural checks),pipeline_assets_v2.csv::asset=Otelixizumab,767,1,CANONICAL:pipeline_assets_v2.csv::asset=Otelixizumab;row_sha256=8434074732239db44a023205f935072c75c3816dcc0f5b21cf1c60cd345ba0a6,Otelixizumab: indication=Active TED; target=CD3; highest_stage=Highest registered phase: PHASE2; status=Registered statuses: TERMINATED; tier=Completeness; evidence_confidence=Low (registry-level completeness row; not an efficacy judgment).,Highest registered phase: PHASE2 | Registered statuses: TERMINATED | Low (registry-level completeness row; not an efficacy judgment)
46,BLIND-0046,TRIAL-011-EFFICACY,trial_efficacy_result,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT03298867; field=efficacy,807,1,TRIAL-RESULT-NCT03298867: OPTIC에서 teprotumumab은 Week 24 proptosis response를 크게 높였다.,"NCT03298867: PRR 82.9% vs 9.5%, p<0.001; RD 73.45 points; overall response 78.0% vs 7.1%; CAS 0/1 58.5% vs 21.4%.","PRR 82.9% vs 9.5%, p<0.001; RD 73.45 points; overall response 78.0% vs 7.1%; CAS 0/1 58.5% vs 21.4%."
47,BLIND-0047,TRIAL-021-INTERPRETATION,trial_primary_interpretation,PASS,12,0,NA (no failed structural checks),result_trial_curation_v2.csv::trial_id=NCT06021054; field=primary_interpretation,845,1,TRIAL-RESULT-NCT06021054: THRIVE-2에서 chronic TED Week 15 PRR가 크게 개선되었다.,NCT06021054: THRIVE-2에서 chronic TED Week 15 PRR가 크게 개선되었다.,positive_randomized
48,BLIND-0048,METHOD-011,internal_status_count,PASS,7,0,NA (no failed structural checks),clinical_trials_v2.csv::field=overall_status; value=ACTIVE_NOT_RECRUITING,NA (internal canonical evidence),1,CANONICAL:clinical_trials_v2.csv::field=overall_status | value=ACTIVE_NOT_RECRUITING,ACTIVE_NOT_RECRUITING status trial은 8개였다.,8
