source_id,selected_title,selected_url,selection_rule,distinct_title_url_variants,collision_disposition,tool_name,document_sha256,data_cut,schema_version
459,MHB018A Treatment in Patients With Active Thyroid Eye Disease,https://clinicaltrials.gov/study/NCT06989918,source ID plus URL substring: NCT06989918,1,No title/URL collision,WebSearch,df1b97d649f8d2f7e7aa79f3a728a90d842bd409169163446ffdda82cb7166e9,2026-09-10,2.0.0
460,"Treatment of Active Thyroid Eye Disease With MHB018A in a Randomized, Placebo-Controlled Study",https://clinicaltrials.gov/study/NCT07622108,source ID plus URL substring: NCT07622108,1,No title/URL collision,WebSearch,85015cf2bac05f0d1ddf94fb205d12e57d871e57f5def48e20a3447b6fa4786a,2026-09-10,2.0.0
461,MHB018A shows clinical activity in active and chronic thyroid eye disease - touchOPHTHALMOLOGY,https://biospectrumasia.com/article/pdf/27818,source ID plus URL substring: biospectrumasia.com/article/pdf/27818,1,No title/URL collision,WebSearch,7cc96ce1553fb73d6049d88463a67a07667f4a2c7eb44867f41a2cf0b29ec13d,2026-09-10,2.0.0
483,WP 1302 - AdisInsight,https://adisinsight.springer.com/drugs/800048191,source ID plus URL substring: adisinsight.springer.com/drugs/800048191,1,No title/URL collision,WebSearch,6f113bafa6e8ae98cb613d486cfdd2b9a6fd4dcfd7923f3e67d97b8044acb9b8,2026-09-10,2.0.0
495,Biocytogen and Nanjing Chia Tai Tianqing Announce IND Approval in China for Co-Developed Anti-IGF-1R Antibody NTB003 (BCG009),https://biocytogen.com/news/biocytogen-and-nanjing-chia-tai-tianqing-announce-ind-approval-in-china-for-co-developed-anti-igf-1r-antibody-ntb003-bcg009-us,source ID plus URL substring: biocytogen.com/news,1,No title/URL collision,WebSearch,b024604a2696fa01cc52227cac96971301144f9828610b6c6322323f2ecdf93e,2026-09-10,2.0.0
521,IL-11 receptor is a novel target for drug development with pharmacological activity in fibro-inflammatory disease — article PDF,https://www.nature.com/articles/s41598-026-51600-0_reference.pdf,source ID plus URL substring: s41598-026-51600-0_reference.pdf,1,No title/URL collision,WebFetch,b230ec3447584edc0b3cf3d301d19180e2c22a5516221cea6bf9732a1c9b13dd,2026-09-10,2.0.0
541,GenSci098,http://static.cninfo.com.cn/finalpage/2026-01-16/1224935532.PDF,source ID plus URL substring: 1224935532.PDF,1,No title/URL collision,WebSearch,e9bbd5fb2697b0c3ffee18b69bd2391de20e86be9b17b22e0e8e00668fe4f2c5,2026-09-10,2.0.0
564,"UCB to acquire Candid Therapeutics, building upon its existing immunology pipeline with novel T-cell engagers | UCB",https://www.ucb.com/newsroom/press-releases/article/ucb-to-acquire-candid-therapeutics-building-upon-its-existing-immunology-pipeline-with-novel-t-cell-engagers,source ID plus URL substring: ucb.com/newsroom/press-releases/article/ucb-to-acquire,2,Collision resolved by claim/asset context and exact URL,WebSearch,738794d964226295ad3db3f7ddebf3127d2127086d5f8e538c9f0b1a7e764fba,2026-09-10,2.0.0
619,NCT07622368,https://clinicaltrials.gov/api/v2/studies/NCT07622368,source ID plus URL substring: clinicaltrials.gov/api/v2/studies/NCT07622368,1,No title/URL collision,WebFetch,d06e8230d46a08ddb073a294b2d6cb1833ec3804435736484f49857a7995dd5a,2026-09-10,2.0.0
645,"UCB completes acquisition of Candid Therapeutics, strengthening next generation immunology pipeline | UCB",https://www.ucb.com/newsroom/press-releases/article/ucb-completes-acquisition-of-candid-therapeutics-strengthening-next-generation-immunology-pipeline,source ID plus URL substring: ucb.com/newsroom/press-releases/article/ucb-completes-acquisition,1,No title/URL collision,WebSearch,903a3eaeaf9e45dc7c63d0b42c0c57d66db04de801ac334d0da41f8a84ff68f6,2026-09-10,2.0.0
672,Tepezza: First Drug for Thyroid Eye Disease | BioPharma.News,https://biopharma.news/tepezza-first-drug-for-thyroid-eye-disease-1167/,source ID plus URL substring: biopharma.news/tepezza-first-drug,1,No title/URL collision,WebSearch,f49af4abf9e0a5bc4521c4a3f780ef18ccfc96d56f3477bbc4a64a4fba910a6a,2026-09-10,2.0.0
699,Primary Results of the Phase-3 SatraGO-1 and SatraGO 2 Trials: Efficacy and Safety of Satralizumab▼ in Thyroid Eye Disease,https://medically.gene.com/content/dam/pdmahub/restricted/ophthalmology/apao-2026/APAO-2026-presentation-li-primary-results-of-the-phase-3-satrago-1-and-satrago-2-trials.pdf,source ID plus URL substring: medically.gene.com,1,No title/URL collision,WebSearch,a07f910ac07bbc84e20650c43373ccba3680768367fd8fc5425157436fe799a2,2026-09-10,2.0.0
701,"FDA grants Priority Review to Roche’s Enspryng, the first and only at-home subcutaneous treatment option for thyroid eye disease (TED)",https://www.roche.com/investors/updates/inv-update-2026-06-30,source ID plus URL substring: roche.com/investors/updates/inv-update-2026-06-30,1,No title/URL collision,WebSearch,093cf2280a322a437d3eb71a812933b7047d98ec9739194fa5b34d579446c589,2026-09-10,2.0.0
710,VRDN-001-302,https://cdn.clinicaltrials.gov/large-docs/75/NCT06179875/Prot_000.pdf,source ID plus URL substring: NCT06179875/Prot_000.pdf,1,No title/URL collision,WebSearch,de0999f4d11d2edd50db36111c7a9a8957283be891001ac6e3447bec019636cc,2026-09-10,2.0.0
711,Statistical Analysis Plan,https://cdn.clinicaltrials.gov/large-docs/75/NCT06179875/SAP_001.pdf,source ID plus URL substring: NCT06179875/SAP_001.pdf,1,No title/URL collision,WebSearch,113b6120fef3fe5119c11f9391c1a26b1731cebbd62387d0614e546ed51798f0,2026-09-10,2.0.0
712,News Details,https://investors.viridiantherapeutics.com/news/news-details/2024/Viridian-Therapeutics-Announces-Positive-Topline-Results-from-Veligrotug-Phase-3-THRIVE-2-Clinical-Trial-in-Patients-with-Chronic-Thyroid-Eye-Disease/default.aspx,source ID plus URL substring: THRIVE-2-Clinical-Trial,1,No title/URL collision,WebSearch,fcf140bbf590d978bfdfe8ba2247246c9124c38f50bc73ca34b12357d2fdc127,2026-09-10,2.0.0
713,"Viridian Therapeutics, Inc. - Viridian Therapeutics Announces Positive Long-Term Durability Data from the Veligrotug Phase 3 THRIVE Clinical Trial in Patients with Active Thyroid Eye Disease (TED)",https://investors.viridiantherapeutics.com/news/news-details/2025/Viridian-Therapeutics-Announces-Positive-Long-Term-Durability-Data-from-the-Veligrotug-Phase-3-THRIVE-Clinical-Trial-in-Patients-with-Active-Thyroid-Eye-Disease-TED/default.aspx,source ID plus URL substring: Long-Term-Durability-Data,1,No title/URL collision,WebSearch,09f350bd6607c1aefcb651de95388a07d033fdbdb684651f89b0777e5eb385a5,2026-09-10,2.0.0
714,"A Phase 2b, Study of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",https://clinicaltrials.gov/study/NCT05276063,source ID plus URL substring: clinicaltrials.gov/study/NCT05276063,1,No title/URL collision,WebSearch,be08a4aa68f72d4d184ea9af20bf41ebdd54812f197bbe242c20e443810ca359,2026-09-10,2.0.0
715,News - Sling Therapeutics,https://slingtx.com/news-updates/,source ID plus URL substring: slingtx.com/news-updates,1,No title/URL collision,WebSearch,e081b18043c460802fe8984c142b307b4dd9f1eb741828ea7822ec3e8e13a465,2026-09-10,2.0.0
